word,chosen index,def 0 ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
digiti,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
saliva,0,a clear liquid secreted into the mouth by the salivary glands and mucous glands of the mouth; moistens the mouth and starts the digestion of starches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elbow,0,hinge joint between the forearm and upper arm and the corresponding joint in the forelimb of a quadruped,a sharp bend in a road or river,a length of pipe with a sharp bend in it,the part of a sleeve that covers the elbow joint,the joint of a mammal or bird that corresponds to the human elbow,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mouth,0,the opening through which food is taken in and vocalizations emerge,the externally visible part of the oral cavity on the face and the system of organs surrounding the opening,an opening that resembles a mouth (as of a cave or a gorge),the point where a stream issues into a larger body of water,a person conceived as a consumer of food,a spokesperson (as a lawyer),an impudent or insolent rejoinder,the opening of a jar or bottle,,,,,,,,,,,,,,,,,,,,,,,,,
headache,0,something or someone that causes anxiety; a source of unhappiness,pain in the head caused by dilation of cerebral arteries or muscle contractions or a reaction to drugs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
face,0,the front of the human head from the forehead to the chin and ear to ear,the feelings expressed on a person's face,the general outward appearance of something,the striking or working surface of an implement,a part of a person that is used to refer to a person,a surface forming part of the outside of an object,the part of an animal corresponding to the human face,the side upon which the use of a thing depends (usually the most prominent surface of an object),a contorted facial expression,a specific size and style of type within a type family,status in the eyes of others,impudent aggressiveness,a vertical surface of a building or cliff,,,,,,,,,,,,,,,,,,,,
sweating,0,the process of the sweat glands of the skin secreting a salty fluid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teeth,1,the kind and number and arrangement of teeth (collectively) in a person or animal,hard bonelike structures in the jaws of vertebrates; used for biting and chewing or for attack and defense,something resembling the tooth of an animal,toothlike structure in invertebrates found in the mouth or alimentary canal or on a shell,a means of enforcement,one of a number of uniform projections on a gear,,,,,,,,,,,,,,,,,,,,,,,,,,,
eye,0,the organ of sight,good discernment (either visually or as if visually),attention to what is seen,an area that is approximately central within some larger region,a small hole or loop (as in a needle),,,,,,,,,,,,,,,,,,,,,,,,,,,,
nostril,0,either one of the two external openings to the nasal cavity in the nose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
breath,0,the process of taking in and expelling air during breathing,the air that is inhaled and exhaled in respiration,a short respite,an indirect suggestion,a slight movement of the air,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stomach,0,an enlarged and muscular saclike organ of the alimentary canal; the principal organ of digestion,the region of the body of a vertebrate between the thorax and the pelvis,an inclination or liking for things involving conflict or difficulty or unpleasantness,an appetite for food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
