word,chosen index,def 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
tow,0,the act of hauling something (as a vehicle) by means of a hitch or rope,,,,,,,,,,,,,,,,,,,,,,,,,
fornaise,0,,,,,,,,,,,,,,,,,,,,,,,,,,
hammered,0,,,,,,,,,,,,,,,,,,,,,,,,,,
siefe,0,,,,,,,,,,,,,,,,,,,,,,,,,,
skillet,0,a pan used for frying foods,,,,,,,,,,,,,,,,,,,,,,,,,
ditch-spade,0,,,,,,,,,,,,,,,,,,,,,,,,,,
copper,0,a ductile malleable reddish-brown corrosion-resistant diamagnetic metallic element; occurs in various minerals but is the only metal that occurs abundantly in large masses; used as an electrical and thermal conductor,a copper penny,uncomplimentary terms for a policeman,a reddish-brown color resembling the color of polished copper,any of various small butterflies of the family Lycaenidae having coppery wings,,,,,,,,,,,,,,,,,,,,,
pouch,0,a small or medium size container for holding or carrying things,an enclosed space,(anatomy) saclike structure in any of various animals (as a marsupial or gopher or pelican),,,,,,,,,,,,,,,,,,,,,,,
filter,0,device that removes something from whatever passes through it,an electrical device that alters the frequency spectrum of signals passing through it,,,,,,,,,,,,,,,,,,,,,,,,
sheath,0,a protective covering (as for a knife or sword),an enveloping structure or covering enclosing an animal or plant organ or part,a dress suitable for formal occasions,,,,,,,,,,,,,,,,,,,,,,,
trepan,0,a surgical instrument used to remove sections of bone from the skull,a drill for cutting circular holes around a center,,,,,,,,,,,,,,,,,,,,,,,,
napkin,0,a small piece of table linen that is used to wipe the mouth and to cover the lap in order to protect clothing,garment consisting of a folded cloth drawn up between the legs and fastened at the waist; worn by infants to catch excrement,,,,,,,,,,,,,,,,,,,,,,,,
chisel,0,an edge tool with a flat steel blade with a cutting edge,,,,,,,,,,,,,,,,,,,,,,,,,
cushionet,0,,,,,,,,,,,,,,,,,,,,,,,,,,
pestled,0,,,,,,,,,,,,,,,,,,,,,,,,,,
bedsheet,0,,,,,,,,,,,,,,,,,,,,,,,,,,
shale,0,a sedimentary rock formed by the deposition of successive layers of clay,,,,,,,,,,,,,,,,,,,,,,,,,
ampul,0,a small bottle that contains a drug (especially a sealed sterile container for injection by needle),,,,,,,,,,,,,,,,,,,,,,,,,
pestling,0,,,,,,,,,,,,,,,,,,,,,,,,,,
basket,0,a container that is usually woven and has handles,the quantity contained in a basket,horizontal circular metal hoop supporting a net through which players try to throw the basketball,a score in basketball made by throwing the ball through the hoop,,,,,,,,,,,,,,,,,,,,,,
lathe,0,machine tool for shaping metal or wood; the workpiece turns about a horizontal axis against a fixed tool,,,,,,,,,,,,,,,,,,,,,,,,,
board,0,a committee having supervisory powers,a stout length of sawn timber; made in a wide variety of sizes and used for many purposes,a flat piece of material designed for a special purpose,food or meals in general,a vertical surface on which information can be displayed to public view,a table at which meals are served,electrical device consisting of a flat insulated surface that contains switches and dials and meters for controlling other electrical devices,a printed circuit that can be inserted into expansion slots in a computer to increase the computer's capabilities,a flat portable surface (usually rectangular) designed for board games,,,,,,,,,,,,,,,,,
bottle,0,a glass or plastic vessel used for storing drinks or other liquids; typically cylindrical without handles and with a narrow neck that can be plugged or capped,the quantity contained in a bottle,a vessel fitted with a flexible teat and filled with milk or formula; used as a substitute for breast feeding infants and very young children,,,,,,,,,,,,,,,,,,,,,,,
dish,0,a piece of dishware normally used as a container for holding or serving food,a particular item of prepared food,the quantity that a dish will hold,a very attractive or seductive looking woman,directional antenna consisting of a parabolic reflector for microwave or radio frequency radiation,an activity that you like or at which you are superior,,,,,,,,,,,,,,,,,,,,
ruler,0,a person who rules or commands,measuring stick consisting of a strip of wood or metal or plastic with a straight edge that is used for drawing straight lines and measuring lengths,,,,,,,,,,,,,,,,,,,,,,,,
spoonful,0,as much as a spoon will hold,,,,,,,,,,,,,,,,,,,,,,,,,
fustée,0,,,,,,,,,,,,,,,,,,,,,,,,,,
