folio,text in tag,before,after
tc_p001r_preTEI,fleur de,"['des', 'escrivains', 'pres', 'sainct', 'Jaques', 'de', 'la', 'boucherie', 'courroyeur', 'essayer']",['pastel']
tc_p001v_preTEI,foeilles de ,"['Antonin', '&', 'si', 'tu', 'veulx', 'parmy', 'tu', 'pourras', 'mectre', 'des']","['mauves', '&', 'de', 'viole', 'y', 'adjoustant', 'du', 'sucre', '&', 'si']"
tc_p001v_preTEI,sucre,"['des', 'foeilles', 'de', 'mauves', '&', 'de', 'viole', 'y', 'adjoustant', 'du']","['&', 'si', 'on', 'veult', 'un', 'peu', 'de', 'canelle', 'pour', 'lestomac']"
tc_p001v_preTEI,bouillon de ,"['Ou', 'bien', 'dans', 'un']","['poulet', 'de', 'la', 'racine', 'de', 'guimave', 'la', 'fresche', 'est', 'plus']"
tc_p001v_preTEI,racinede ,"['Ou', 'bien', 'dans', 'un', 'bouillon', 'de', 'poulet', 'de', 'la']","['guimave', 'la', 'fresche', 'est', 'plus', 'remollitive']"
tc_p001v_preTEI,cirop de ,"['Battre', 'du']","['guindoles', 'doulces', 'avecq', 'de', 'leau', '&', 'en', 'prendre', 'au', 'matin']"
tc_p001v_preTEI,eau,"['Battre', 'du', 'cirop', 'de', 'guindoles', 'doulces', 'avecq', 'de', 'l']","['&', 'en', 'prendre', 'au', 'matin', 'lasche', 'le', 'ventre']"
tc_p002r_preTEI,Huile de tourmentine,[],"['huile', 'de', 'jacob', 'Et', 'sel', 'tire', 'de', 'la', 'cendre', 'de']"
tc_p002r_preTEI,huile de jacob,"['Huile', 'de', 'tourmentine']","['Et', 'sel', 'tire', 'de', 'la', 'cendre', 'de', 'choux']"
tc_p002r_preTEI,sel tire dela cendre,"['Huile', 'de', 'tourmentine', 'huile', 'de', 'jacob', 'Et']","['de', 'choux']"
tc_p002v_preTEI,miniu,"['Jai', 'prins']","['m', '26', '℥', 'christal', 'et', 'broie', 'sur', 'le', 'marbre', '12']"
tc_p002v_preTEI,marbre,"['Jai', 'prins', 'minium', '26', '℥', 'christal', 'et', 'broie', 'sur', 'le']","['12', '℥', 'verdet', '3', '|ʒ|', 'Incorpores', 'le', 'tout', 'ensemble', 'mis']"
tc_p002v_preTEI,v,"['26', '℥', 'christal', 'et', 'broie', 'sur', 'le', 'marbre', '12', '℥']","['erdet', '3', '|ʒ|', 'Incorpores', 'le', 'tout', 'ensemble', 'mis', 'dans', 'un']"
tc_p002v_preTEI,miniu,"['Jai', 'prins']","['m', '12', '℥', 'christal', '6', '℥', 'verdet', '2', 'grains', 'fuzion']"
tc_p002v_preTEI,v,"['Jai', 'prins', 'minium', '12', '℥', 'christal', '6', '℥']","['erdet', '2', 'grains', 'fuzion', 'doulce', 'v', 'i', 'heures', 'recuicte', '24']"
tc_p002v_preTEI,Caillous,[],"['ou', 'christal', '8', '℥', 'minium', '16', '℥', 'sel', 'de', 'febvre']"
tc_p002v_preTEI,miniu,"['Caillous', 'ou', 'christal', '8', '℥']","['m', '16', '℥', 'sel', 'de', 'febvre', '4', '℥', 'coryal', 'extincellent']"
tc_p002v_preTEI,sel de,"['Caillous', 'ou', 'christal', '8', '℥', 'minium', '16', '℥']","['febvre', '4', '℥', 'coryal', 'extincellent', '4', 'grains', 'fuzion', '6', 'heures']"
tc_p002v_preTEI,coryal,"['8', '℥', 'minium', '16', '℥', 'sel', 'de', 'febvre', '4', '℥']","['extincellent', '4', 'grains', 'fuzion', '6', 'heures']"
tc_p003r_preTEI,boys,"['Il', 'fault', 'premierement', 'faire', 'les', 'branches', 'de']","['ou', 'prendre', 'une', 'branche', 'despine', 'bisarre', 'puys', 'fondre', 'une', 'lb']"
tc_p003r_preTEI,branche despine,"['premierement', 'faire', 'les', 'branche', 's', 'de', 'boys', 'ou', 'prendre', 'une']","['bisarre', 'puys', 'fondre', 'une', 'lb', 'de', 'poix', 'resine', 'claire', 'de']"
tc_p003r_preTEI,poix resine claire,"['prendre', 'une', 'branche', 'despine', 'bisarre', 'puys', 'fondre', 'une', 'lb', 'de']","['de', 'la', 'plus', 'belle', 'et', 'y', 'mectre', 'une', 'once', 'de']"
