folio,text in tag,before,after
tc_p001v_preTEI,au matin,"['de', 'guindoles', 'doulces', 'avecq', 'de', 'le', 'au', '&', 'en', 'prendre']","['lasche', 'le', 'ventre']"
tc_p002v_preTEI,heures,"['lute', 'qui', 'ait', 'un', 'trou', 'dans', 'le', 'hault', 'fuzion', '7']","['sans', 'soufler', 'la', 'mace', 'a', 'este', 'dun', 'beau', 'vert']"
tc_p002v_preTEI,heures,"['℥', 'christal', '6', '℥', 'verdet', '2', 'grains', 'fuzion', 'doulce', 'vi']","['recuicte', '24', 'heures', 'la', 'mace', 'a', 'este', 'de', 'vert', 'Jaulne']"
tc_p002v_preTEI,heures,"['℥', 'verdet', '2', 'grains', 'fuzion', 'doulce', 'vi', 'heures', 'recuicte', '24']","['la', 'mace', 'a', 'este', 'de', 'vert', 'Jaulne', '&', 'rouge']"
tc_p002v_preTEI,heures,"['de', 'febvre', '4', '℥', 'coryal', 'extincellent', '4', 'grains', 'fuzion', '6']",[]
tc_p003r_preTEI,heure,"['fais', 'fondre', 'la', 'resine', '&', 'bouillir', 'sur', 'brasier', 'une', 'bonne']","['&', 'jusques', 'a', 'ce', 'quelle', 'ne', 'demonstre', 'estre', 'poinct', 'espesse']"
tc_p003r_preTEI,jour au lendemain,"['jaulnir', 'Et', 'seiche', 'a', 'lombre', '&', 'au', 'soleil', '&', 'du']","['Et', 'aussy', 'bien', 'en', 'hiver', 'quen', 'este', 'il', 'se', 'vend']"
tc_p003r_preTEI,en hiver,"['du', 'jour', 'au', 'l', 'en', 'demain', 'Et', 'aussy', 'bi', 'en']","['qu', 'en', 'este', 'il', 'se', 'v', 'en', 'd', 'communem', 'en']"
tc_p003r_preTEI,en este,"['l', 'en', 'demain', 'Et', 'aussy', 'bi', 'en', 'en', 'hiver', 'qu']","['il', 'se', 'v', 'en', 'd', 'communem', 'en', 't', 'quinze', 'sols']"
tc_p003r_preTEI,moys,"['qui', 'est', 'long', 'a', 'seicher', '&', 'degoute', 'plus', 'de', 'deux']","['apres', 'quil', 'a', 'este', 'aplique', 'aulx', 'planchers', 'Mais', 'cestuy', 'cy']"
tc_p003r_preTEI,du temps passe,"['aulx', 'planchers', 'Mais', 'cestuy', 'cy', 'ne', 'degoute', 'poinct', 'comme', 'celuy']","['qui', 'estoit', 'faict', 'dhuile', 'de', 'lin', 'daux', 'bouillis', 'dedans', 'pour']"
tc_p003v_preTEI,en heure,"['grande', 'quantite', 'dhuile', 'de', 'tourm', 'en', 'tine', 'scavoir', 'un', 'seau']","['Et', 'nimporte', 'quelle', 'tourm', 'en', 'tine', 'ce', 'soict', 'ou', 'fine']"
tc_p004r_preTEI,un quart dheure,"['deau', 'contre', 'le', 'tableau', 'pour', 'le', 'nettoyer', 'Apres', 'mects', 'le']","['au', 'soleil', 'pour', 'le', 'faire', 'seicher', 'et', 'revenir', 'les', 'couleurs']"
tc_p004v_preTEI,un bon quartdheure,"['adjoustent', 'des', 'crostes', 'de', 'pain', 'que', 'tu', 'feras', 'bouillir', 'dedans']","['Apres', 'mects', 'dans', 'un', 'e', 'lb', 'dhuile', 'ainsy', 'bouilly', 'la']"
tc_p004v_preTEI,un bon quart dheure,"['sans', 'oster', 'les', 'aulx', '&', 'oignons', 'Et', 'laisser', 'bouillir', 'ensemble']","['Et', 'quand', 'la', 'poix', 'est', 'bien', 'fondue', '&', 'que', 'lhuile']"
tc_p004v_preTEI,un demy,"['y', 'a', 'quantite', 'de', 'vernis', 'il', 'fault', 'bien', 'quil', 'bouille']","['jourCar', 'il', 'est', 'meilleur', 'tant', 'plus', 'il', 'boult', 'Il', 'est']"
tc_p004v_preTEI,heures,"['que', 'daultre', 'en', 'vinaigre', 'bien', 'fort', '&', 'le', 'laisse', 'XX4']","['devant', 'quen', 'user', '&', 'tout', 'se', 'destrempera', 'Apres', 'estens', 'de']"
tc_p005r_preTEI,heures,"['ou', 'linge', '&', 'le', 'laisser', 'ainsy', 'xx4']","['&', 'il', 'sera', 'grave', 'Mays', 'si', 'tu', 'voulois', 'promptement', 'graver']"
tc_p005v_preTEI,de nuict,"['Tu', 'feras', 'lumiere', 'bien', 'loing']","['a', 'quelquun', 'si', 'tu', 'poses', 'le', 'mirouer', 'concave', 'derriere', 'la']"
tc_p007r_preTEI,nuict,"['en', 'eau', 'de', 'vye', 'de', 'vinaigre', 'en', 'vin', 'blanc', 'une']","['puys', 'on', 'la', 'faict', 'fondre', 'a', 'feu', 'lent', 'Aultres', 'la']"
tc_p009r_preTEI,de nuict ,"['nature', 'fort', 'sec', 'les', 'mestiviers', 'le', 'plus', 'souvent', 'le', 'battent']","['a', 'la', 'frescheur', '&', 'aux', 'rays', 'de', 'la', 'lune', 'Ce']"
tc_p009r_preTEI,soleil ne soit vers le midy,"['soleil', 'par', 'dessus', 'Et', 'gueres', 'on', 'ne', 'bat', 'que', 'le']","['Incontinent', 'que', 'le', 'mil', 'est', 'couppe', 'il', 'fault', 'labourer', 'la']"
tc_p009r_preTEI,ala prochaine semence,"['de', 'sa', 'fertilite', '&', 'c', 'ce', 'qui', 'se', 'coignoist', 'bien']","['quon', 'faict', 'apres', 'Mays', 'sur', 'tout', 'le', 'bled', 'appelle', 'pomole']"
