folio,text in tag,before,after
tcn_p003r_preTEI,sols,"['en', 'hiver', 'qu', 'en', 'esté', 'Il', 'se', 'vend', 'communement', 'quinze']","['la', 'lb']"
tcn_p003v_preTEI,sols,"['aultre', 'Cestuy', 'cy', 'ne', 'reviendra', 'qu', 'à', 'cinq', 'ou', 'six']","['la', 'lb', '&', 'se', 'vend', '40', 'sols', 'la', 'lb']"
tcn_p003v_preTEI,s,"['au', 'lieu', 'de', 'tourmentine', 'fine', 'Et', 'tu', 'pourra']","['mectre', 's', 'ur', 'deulx', 'lb', 'de', 'tourmentine', 'commune', 'une', 'lb']"
tcn_p003v_preTEI,s,"['Ce', 'vai']","['s', 'eau', 'e', 's', 't', 'pour', 'faire', 'grande', 'quantité', 'd']"
tcn_p004v_preTEI,s,"['En', 'cinq', 'ou']","['ix', 'lb', 'd', 'huile', 'on', 'mect', 'une', 'lb', 'de', 'galipot']"
tcn_p009v_preTEI,livres,"['septembre', '1581', '/', 'pour', '1', 'cane', 'toille', 'babtiste', 'à', '8']","['canne', 'je', 'dis', '___', '___', '___', '___', '8', 'lb', 't']"
tcn_p009v_preTEI,livres,"['septembre', '1581', '/', 'pour', '1', 'canne', 'toille', 'babtiste', 'à', '8']","['canne', 'ainsy', 'que', 'appert', 'au', 'brouillart', 'à', 'c', '25']"
tcn_p009v_preTEI,livres,"['7', '/', 'à', 'c', '55', '/', 'la', 'somme', 'de', '8']","['/', 'de', 'laquelle', 'ledict', 'du', 'Cros', 'en', 'a', 'faict', 'cedulle']"
tcn_p009v_preTEI,lb,"['de', 'la', 'Sainct', 'André', 'prochainne', 'par', 'ce', 'dis', '___', '8']",['t']
tcn_p017r_preTEI,lb,"['en', 'metal', 'de', 'petites', 'cloches', 'Le', 'metal', 'coste', 'communement', 'xv']","['&', 'la', 'rosette', 'fine', 'xv', 'ou', 'xvi']"
tcn_p017v_preTEI,lb,"['plus', 'de', 'pouldre', 'Sa', 'charge', 'ordinayre', 'est', 'p', 'de', 'xx']","['de', 'pouldre', 'sa', 'balle', 'de', '40', 'lb', 'Il', 'fault', 'xxv']"
tcn_p017v_preTEI,lb,"['p', 'de', 'xx', 'lb', 'de', 'pouldre', 'sa', 'balle', 'de', '40']","['Il', 'fault', 'xxv', 'chevaulx', 'pour', 'le', 'tirer', 'Quand', 'on', 'tire']"
tcn_p017v_preTEI,lb,"['metal', '#', 'Le', 'metal', 'se', 'compose', 'au', 'commancement', 'de', 'huict']","['d', 'estain', 'sur', 'un', 'quintal', 'de', 'rosette', 'et', 'encores', 'aulx']"
tcn_p020r_preTEI,s,"['Le', 'verre', 'de', 'Lorraine', 'e']","['t', 'plu', 's', 'plain', '&', 'plu', 's', 'uny', 'que', 'le']"
tcn_p020r_preTEI,lb,"['contient', '24', 'plats', 'qui', 'se', 'vendent', 'communement', 'x', 'ou', 'douze']",[]
tcn_p030r_preTEI,frans,"['pour', 'les', 'riches', 'car', 'un', 'moule', 'coste', 'quinze', 'ou', 'seize']","['On', 'en', 'faict', 'principallement', 'de', 'metal', 'pour', 'bassins', '&', 'esguieres']"
tcn_p032v_preTEI,lb,"['Ils', 'acheptent', 'xx']","['le', 'quintal', 'de', 'rosette', 'laquelle', 'est', 'plus', 'dure', 'à', 'fondre']"
tcn_p032v_preTEI,lb,"['fine', 'rosette', 'de', 'per', 'chauldronier', 'se', 'vend', 'xxx', 'ou', '40']","['D', 'aultre', 'dont', 'les', 'fondeurs', 'usent', 'se', 'vent', 'xii', 'ou']"
tcn_p032v_preTEI,lb,"['aultre', 'dont', 'les', 'fondeurs', 'usent', 'se', 'vent', 'xii', 'ou', 'xv']","['Le', 'quintal', 'de', 'metal', 'six', 'lb', 'Le', 'met']"
tcn_p032v_preTEI,lb,"['vent', 'xii', 'ou', 'xv', 'lb', 'Le', 'quintal', 'de', 'metal', 'six']","['Le', 'met']"
