folio,text in tag,before,after
tcn_p001v_preTEI,au matin,"['guindoles', 'doulces', 'avecq', 'de', 'l', 'e', 'au', '&', 'en', 'prendre']","['lasche', 'le', 'ventre']"
tcn_p002v_preTEI,heures,"['luté', 'qui', 'ait', 'un', 'trou', 'dans', 'le', 'hault', 'Fuzion', '7']","['sans', 'soufler', 'La', 'mace', 'a', 'esté', 'd', 'un', 'beau', 'vert']"
tcn_p002v_preTEI,heures,"['℥', 'christal', '6', '℥', 'verdet', '2', 'grains', 'Fuzion', 'doulce', 'vi']","['recuicte', '24', 'heures', 'La', 'mace', 'a', 'esté', 'de', 'vert', 'jaulne']"
tcn_p002v_preTEI,heures,"['℥', 'verdet', '2', 'grains', 'Fuzion', 'doulce', 'vi', 'heures', 'recuicte', '24']","['La', 'mace', 'a', 'esté', 'de', 'vert', 'jaulne', '&', 'rouge']"
tcn_p002v_preTEI,heures,"['de', 'febvre', '4', '℥', 'coryal', 'extincellent', '4', 'grains', 'Fuzion', '6']",[]
tcn_p003r_preTEI,heure,"['fais', 'fondre', 'la', 'resine', '&', 'bouillir', 'sur', 'brasier', 'une', 'bonne']","['&', 'jusques', 'à', 'ce', 'qu', 'elle', 'ne', 'demonstre', 'estre', 'poinct']"
tcn_p003r_preTEI,du jour au lendemain,"['jaulnir', 'Et', 'seiche', 'à', 'l', 'ombre', '&', 'au', 'soleil', '&']","['et', 'aussy', 'bien', 'en', 'hiver', 'qu', 'en', 'esté', 'Il', 'se']"
tcn_p003r_preTEI,en hiver,"['du', 'jour', 'au', 'l', 'en', 'demain', 'et', 'aussy', 'bi', 'en']","['qu', 'en', 'esté', 'Il', 'se', 'v', 'en', 'd', 'communem', 'en']"
tcn_p003r_preTEI,en esté,"['l', 'en', 'demain', 'et', 'aussy', 'bi', 'en', 'en', 'hiver', 'qu']","['Il', 'se', 'v', 'en', 'd', 'communem', 'en', 't', 'quinze', 'sols']"
tcn_p003r_preTEI,moys,"['qui', 'est', 'long', 'à', 'seicher', '&', 'degoute', 'plus', 'de', 'deux']","['aprés', 'qu', 'il', 'a', 'esté', 'apliqué', 'aulx', 'planchers', 'Mais', 'cestuy']"
