folio,text in tag,before,after
tcn_p008r_preTEI,harquebuse,"['entrer', 'un', 'peu', 'à', 'force', '&', 'fort', 'justement', 'dans', 'l']","['ou', 'pistole', 'Et', 'plustost', 'que', 'tirer', 'cha', 'fais', 's', 'il']"
tcn_p008r_preTEI,pistole,"['peu', 'à', 'force', '&', 'fort', 'justement', 'dans', 'l', 'harquebuse', 'ou']","['Et', 'plustost', 'que', 'tirer', 'cha', 'fais', 's', 'il', 'est', 'possible']"
tcn_p008r_preTEI,mortier,"['faict', 'trou', 'dans', 'la', 'muraille', 'comme', 'tu', 'sçais', 'mects', 'un']","['dedans', 'chargé', 'de', 'pouldre', 'qui', 'soict', 'quasi', 'comme', 'couché', '&']"
tcn_p015r_preTEI,artiglerie,"['pas', 'tant', 'On', 'gecte', 'en', 'terre', 'les', 'grands', 'ouvraiges', 'comme']","['cloches', '&', 'choses', 'semblables', '&', 'le', 'cuivre', 'gecté', 'en', 'terre']"
tcn_p017r_preTEI,canon,['Le'],"['tire', 'de', 'poincte', 'en', 'blanc', 'cinq', 'ou', 'six', 'cens', 'pas']"
tcn_p017r_preTEI,canon,"['communement', 'du', 'qualibre', 'du', 'roy', '40', 'lb', 'Il', 'y', 'a']","['perrier', 'qui', 'poyse', 'xxv', 'quintals', 'qui', 'sont', 'petits', 'canon', 's']"
tcn_p017r_preTEI,petits canonscourt,"['y', 'a', 'canon', 'perrier', 'qui', 'poyse', 'xxv', 'quintals', 'qui', 'sont']","['C', 'est', 'pour', 'battre', 'les', 'cassemattes', 'des', 'fossés', '&', 'pour']"
tcn_p017r_preTEI,piece,"['pour', 'cella', 'qu', 'il', 'la', 'surcharge', 'car', 'cella', 'faulce', 'la']","['Et', 'pour', 'la', 'premiere', 'foys', '&', 'jusques', 'à', 'ce', 'qu']"
tcn_p017r_preTEI,piece,"['jusques', 'à', 'ce', 'qu', 'elle', 'aye', 'tiré', 'cinq', 'ou', 'six']","['s', 'coups', 'il', 'est', 'mieulx', 'de', 'ne', 'luy', 'donner', 'pas']"
tcn_p017r_preTEI,harquebus,"['donner', 'sa', 'charge', 'de', 'xx', 'lb', 'de', 'fine', 'pouldre', 'd']","['au', 'lieu', 'de', 'pouldre', 'ordinayre', 'de', 'canon', 'Et', 'quattre', 'bons']"
tcn_p017r_preTEI,canon,"['a', 'canon', 'perrier', 'qui', 'poyse', 'xxv', 'quintals', 'qui', 'sont', 'petits']","['s', 'court', 'C', 'est', 'pour', 'battre', 'les', 'cassemattes', 'des', 'fossés']"
tcn_p017r_preTEI,piece,"['de', 'ne', 'luy', 'donner', 'pas', 'sa', 'charge', 'entiere', 'car', 'la']","['s', 'asseure', 'Et', 'l', 'essay', 'qu', 'on', 'peult', 'fayre', 'c']"
tcn_p017r_preTEI,piece,"['à', 'la', 'pouldre', '&', 'danger', 'de', 'se', 'crever', 'à', 'la']","['c', 'est', 'la', 'longueur', 'de', 'la', 'piece', 'pour', 'ce', 'que']"
tcn_p017r_preTEI,longue piece,"['impetuosité', 'est', 'plus', 'long', 'temps', 'tenue', 'contraincte', 'en', 'une', 'petite']","['qu', 'en', 'une', 'gr', 'courte', 'Le', 'canon', 'perrier', 'est', 'communement']"
tcn_p017r_preTEI,canon perrier,"['communement', 'du', 'qualibre', 'du', 'roy', '40', 'lb', 'Il', 'y', 'a']","['qui', 'poyse', 'xxv', 'quintals', 'qui', 'sont', 'petits', 'canon', 's', 'court']"
tcn_p017r_preTEI,canons,"['a', 'canon', 'perrier', 'qui', 'poyse', 'xxv', 'quintals', 'qui', 'sont', 'petits']","['court', 'C', 'est', 'pour', 'battre', 'les', 'cassemattes', 'des', 'fossés', '&']"
tcn_p017r_preTEI,canons,"['roy', 'qui', 'n', 'est', 'pas', 'usité', 'en', 'la', 'fonte', 'de']","['pour', 'les', 'faire', 'bons', 'Car', 'le', 'pan', 'de', 'Montpellier', 'estant']"
tcn_p017r_preTEI,canon perrier,"['une', 'petite', 'longue', 'piece', 'qu', 'en', 'une', 'gr', 'courte', 'Le']","['est', 'communement', 'de', 'sept', 'à', 'huict', 'pans', 'de', 'long', 'Il']"
tcn_p017r_preTEI,canon perrier,['Le'],"['n', 'a', 'pas', 'grand', 'portée', 'sinon', 'de', 'pres']"
tcn_p017r_preTEI,piece,"['On', 'cognoist', 'la', 'bonne', 'ligue', 'd', 'une']","['en', 'la', 'voyant', 'Car', 'si', 'avecq', 'la', 'verdeur', 'qu', 'elles']"
tcn_p017r_preTEI,pieces,"['La', 'bonne', 'ligue', 'de']","['est', 'de', 'trois', 'pars', 'de', 'rosette', '&', 'une', 'de', 'metal']"
tcn_p017r_preTEI,piece,"['Il', 'fault', 'pour', 'bien', 'un', 'pointer', 'une']","['qu', 'elle', 'soict', 'aussy', 'haulte', 'du', 'bort', 'de', 'la', 'gueule']"
tcn_p017v_preTEI,grand canon,['Le'],"['qui', 'est', 'pour', 'grand', 'es', 'batteries', 'poise', 'communement', 'cinquante', 'cinq']"
tcn_p017v_preTEI,canon,"['Le', 'grand']","['qui', 'est', 'pour', 'grandes', 'batteries', 'poise', 'communement', 'cinquante', 'cinq', 'ou']"
tcn_p017v_preTEI,canon,"['portée', 'ordinayre', 'on', 'y', 'mect', 'demy', 'lanterne', 'de', 'pouldre', 'de']","['dadvantaige', 'Un', 'canon', 'peult', 'tirer', 'par', 'jour', '4xx', 'ou', 'cent']"
tcn_p017v_preTEI,grands canons,"['cuivre', 'ou', 'deulx', 'quintals', '&', 'demy', 'si', 'c', 'est', 'pour']","['on', 'mect', 'un', 'quintal', 'de', 'metal', '#', 'Le', 'metal', 'se']"
tcn_p017v_preTEI,canon,"['y', 'mect', 'demy', 'lanterne', 'de', 'pouldre', 'de', 'canon', 'dadvantaige', 'Un']","['peult', 'tirer', 'par', 'jour', '4xx', 'ou', 'cent', 'coups', 'mays', 'il']"
tcn_p017v_preTEI,grandes,"['Le', 'grand', 'canon', 'qui', 'est', 'pour']","['batteries', 'poise', 'communement', 'cinquante', 'cinq', 'ou', 'lx', 'quintals', 'Sur', 'la']"
tcn_p017v_preTEI,canons,"['ou', 'deulx', 'quintals', '&', 'demy', 'si', 'c', 'est', 'pour', 'grands']","['on', 'mect', 'un', 'quintal', 'de', 'metal', '#', 'Le', 'metal', 'se']"
tcn_p017v_preTEI,petites pieces,"['pour', 'quintal', 'de', 'grandes', 'pieces', '&', 'comme', 'canons', 'et', 'pour']","['L', 'lb', 'Car', 'tant', 'plus', 'yl', 'y', 'a', 'de', 'matiere']"
tcn_p017v_preTEI,canons perriers,"['maistre', 'y', 'a', 'proffit', 'On', 'fond', 'un', 'aultre', 'sorte', 'de']","['de', 'xxx', 'quintals', 'qui', 'sont', 'plus', 'longs', 'que', 'les', 'aultres']"
tcn_p017v_preTEI,canon,"['Ain', 'On', 'luy', 'donne', 'deulx', 'lanternes', 'de', 'pouldre', 'à']","['pour', 'sa', 'charge', '&', 'une', '&', 'demye', 'de', 'pouldre', 'd']"
tcn_p017v_preTEI,harquebus,"['pour', 'sa', 'charge', '&', 'une', '&', 'demye', 'de', 'pouldre', 'd']","['&', 'aulx', 'aultres', 'le', 'mesme']"
tcn_p017v_preTEI,canons,"['#', 'La', 'composition', 'des']","['de', 'France', 'est', 'd', 'un', 'quintal', 'de', 'metal', 'sur', 'deulx']"
tcn_p017v_preTEI,pieces ancienes,['Les'],"['sont', 'composées', 'presque', 'de', 'dem', 'd', 'aultant', 'd', 'un', 'que']"
tcn_p018r_preTEI,colevrines ,['Les'],"['sont', 'grandes', 'de', 'batterie', '&', 'faussée', 'sont', 'de', 'quarante', 'quintals']"
tcn_p018r_preTEI,canon,"['est', 'de', '30', 'lb', 'et', 'ainsy', 'moindre', 'que', 'celle', 'du']","['Et', 'par', 'ainsy', 'elle', 'ne', 'porte', 'pas', 'tant', 'de', 'munition']"
tcn_p018r_preTEI,canon,"['munition', 'car', 'il', 'suffist', 'quinze', 'lb', 'pour', 'sa', 'charge', 'Le']","['faict', 'plus', 'd', 'ouverture', 'à', 'cause', 'de', 'la', 'grandeur', 'de']"
tcn_p018r_preTEI,colevrine,['Les'],"['s', 'sont', 'grandes', 'de', 'batterie', '&', 'faussée', 'sont', 'de', 'quarante']"
tcn_p018r_preTEI,colevrines,['Les'],"['sont', 'grandes', 'de', 'batterie', '&', 'faussée', 'sont', 'de', 'quarante', 'quintals']"
tcn_p018r_preTEI,canons,"['quand', 'on', 'ne', 'peult', 'commodement', 'faire', 'les', 'aproches', 'et', 'les']","['s', 'aprochent', 'de', 'plus', 'pres', 'Elles', 'servent', 'aussy', 'pour', 'soubstenir']"
tcn_p018r_preTEI,canon,"['quand', 'on', 'ne', 'peult', 'commodement', 'faire', 'les', 'aproches', 'et', 'les']","['s', 's', 'aprochent', 'de', 'plus', 'pres', 'Elles', 'servent', 'aussy', 'pour']"
tcn_p018r_preTEI,pieces,"['tout', 'de', 'mesme', 'ligue', 'que', 'le', 'canon', 'comme', 'sont', 'toutes']","['qui', 'excedent', 'moindres', 'que', 'la', 'moyenne', 'car', 'à', 'celles', 'là']"
tcn_p018r_preTEI,petites pieces,"['rosette', 'on', 'mect', 'six', 'vints', 'lb', 'de', 'metal', 'pour', 'les']","['Elles', 'portent', 'de', 'poincte', 'en', 'blanc', '8', 'ou', '9', 'cens']"
tcn_p018r_preTEI,canons,"['Aulcuns', 'ont', 'inventé', 'de', 'charger', 'les']","['à', 'cartuche']"
tcn_p018r_preTEI,canon,"['Aulcuns', 'po', 'ne', 'mectent', 'pas', 'la', 'pouldre', 'dans', 'le']","['tout', 'à', 'un', 'coup', 'mays', 'à', 'deulx', '&', 'à', 'chasque']"
tcn_p018r_preTEI,grandes pieces,"['un', 'poulse', 'Mays', 'cela', 'n', 'est', 'gueres', 'asseuré', 'pour', 'les']","['qui', 'portent', 'beaucoup', 'de', 'pouldre']"
tcn_p018r_preTEI,bastarde,['La'],"['qui', 'est', 'une', 'colevrine', 'piece', 'moyenne', 'poise', 'trente', 'quintals', 'et']"
tcn_p018r_preTEI,colevrine,"['La', 'bastarde', 'qui', 'est', 'une']","['piece', 'moyenne', 'poise', 'trente', 'quintals', 'et', 'sa', 'balle', 'poise', 'xx']"
