folio,text in tag,before,after
tl_p003r_preTEI,sous,"['well', 'as', 'in', 'the', 'summer', 'It', 'is', 'commonly', 'sold', '15']","['a', 'lb']"
tl_p003v_preTEI,sous,"['one', 'will', 'cost', 'you', 'no', 'more', 'than', 'five', 'or', 'six']","['per', 'lb', '&', 'is', 'sold', 'for', '40', 'sous', 'per', 'lb']"
tl_p003v_preTEI,sous,"['or', 'six', 'sous', 'per', 'lb', '&', 'is', 'sold', 'for', '40']","['per', 'lb']"
tl_p003v_preTEI,sous,"['cooler', 'on', 'the', 'top', 'The', 'lb', 'is', 'sold', 'at', 'xii']","['&', 'at', 'the', 'bottom', 'of', 'the', 'vessel', 'remains', 'the', 'colophony']"
tl_p004v_preTEI,sous,"['one', 'must', 'put', 'one', 'lb', 'of', 'galipot', 'which', 'costs', '4']","['&', 'some', 'peeled', 'garlic', 'cloves', 'This', 'varnish', 'in', 'and', 'of']"
tl_p009v_preTEI,livres,"['2nd', 'September', '1581', 'for', '1', 'cane', 'of', 'cambric', 'at', '8']","['per', 'canne', 'I', 'make', 'this', '8', 'lb', 't']"
tl_p009v_preTEI,lb t.,"['t', '8', 'livres', 'per', 'canne', 'I', 'make', 't', 'his', '8']",[]
tl_p009v_preTEI,livres,"['2nd', 'September', '1581', 'for', '1', 'canne', 'of', 'cambric', 'at', '8']","['per', 'canne', 'as', 'appears', 'in', 'the', 'waste', 'book', 'at', 'c']"
tl_p009v_preTEI,livres,"['book', 'No', '7', 'at', 'c', '55', 'the', 'sum', 'of', '8']","['of', 'which', 'the', 'said', 'du', 'Cros', 'has', 'made', 'a', 'bill']"
tl_p009v_preTEI,lb t.,"['Andrew', 's', 'day', 'nex', 't', 'I', 'make', 't', 'his', '8']",[]
tl_p017r_preTEI,lb,"['the', 'metal', 'of', 'small', 'bells', 'The', 'metal', 'commonly', 'costs', 'xv']","['&', 'fine', 'rosette', 'xv', 'or', 'xvi']"
tl_p017v_preTEI,lb,"['it', 'more', 'powder', 'Its', 'common', 'load', 'is', 'p', 'of', 'xx']","['of', 'powder', 'its', 'ball', 'of', '40', 'lb', 'One', 'needs', 'xxv']"
tl_p017v_preTEI,lb,"['p', 'of', 'xx', 'lb', 'of', 'powder', 'its', 'ball', 'of', '40']","['One', 'needs', 'xxv', 'horses', 'to', 'draw', 'it', 'When', 'one', 'fires']"
tl_p017v_preTEI,lb,"['#', 'The', 'metal', 'is', 'composed', 'at', 'the', 'beginning', 'of', 'eight']","['of', 'tin', 'for', 'one', 'quintal', 'of', 'rosette', 'while', 'for', 'large']"
tl_p020r_preTEI,sous,"['is', 'composed', 'of', 'three', 'tablets', 'The', 'bundle', 'costs', 'usually', 'x']","['Plate', 'glass', 'is', 'sold', 'in', 'made', 'in', 'France', 'it', 'is']"
tl_p020r_preTEI,lb,"['24', 'plates', 'that', 'are', 'commonly', 'sold', 'at', 'x', 'or', 'twelve']",[]
tl_p030r_preTEI,frans,"['for', 'the', 'rich', 'because', 'a', 'mold', 'costs', 'fifteen', 'or', 'sixteen']","['They', 'are', 'mainly', 'made', 'of', 'metal', 'for', 'basins', '&', 'ewers']"
tl_p032v_preTEI,lb,"['They', 'buy', 'rosette', 'at', 'xx']","['a', 'quintal', 'which', 'is', 'harder', 'to', 'melt', 'than', 'latten', 'because']"
tl_p032v_preTEI,lb,"['fine', 'coppersmith', 's', 'rosette', 'is', 'sold', 'for', 'xxx', 'or', '40']","['Another', 'which', 'founders', 'use', 'is', 'sold', 'for', 'xii', 'or', 'xv']"
tl_p032v_preTEI,lb,"['Another', 'which', 'founders', 'use', 'is', 'sold', 'for', 'xii', 'or', 'xv']","['The', 'quintal', 'of', 'metal', 'six', 'lb', 'Put', 'in']"
tl_p032v_preTEI,lb,"['for', 'xii', 'or', 'xv', 'lb', 'The', 'quintal', 'of', 'metal', 'six']","['Put', 'in']"
tl_p036r_preTEI,liard,"['puckered', 'has', 'a', 'round', 'hole', 'as', 'large', 'as', 'a', 'double']","['Take', 'one', 'two', 'similar', 'boxwood', 'balls', '&', 'let', 'one', 'be']"
tl_p038v_preTEI,lb,"['Because', 'one', 'aulne', 'costs', 'seven', 'or', 'eight']","['to', 'dye', 'they', 'use', 'cloths', 'worth', 'seven', 'or', 'eight', 'francs']"
tl_p038v_preTEI,francs,"['lb', 'to', 'dye', 'they', 'use', 'cloths', 'worth', 'seven', 'or', 'eight']","['an', 'aulne', 'But', 'whoever', 'wants', 'something', 'beautiful', 'se', 'la', 'should']"
tl_p038v_preTEI,francs,"['something', 'beautiful', 'se', 'la', 'should', 'buy', 'white', 'cloth', 'worth', 'fifteen']","['an', 'aulne', '&', 'have', 'it', 'dyed', 'with', 'pure', 'scarlet', 'pastel']"
tl_p039r_preTEI,sous,"['to', 'assemble', 'in', 'order', 'to', 'save', 'borax', 'which', 'costs', 'viii']","['per', 'ounce', '&', 'saltpeter', 'x', 'sous', 'per', 'lb']"
tl_p039r_preTEI,sous,"['borax', 'which', 'costs', 'viii', 'sous', 'per', 'ounce', '&', 'saltpeter', 'x']","['per', 'lb']"
tl_p039r_preTEI,florins,"['it', 'dyes', 'fifteen', 'times', 'it', 'is', 'said', 'to', 'be', 'fifteen']","['if', 'it', 'gives', 'xx', 'dyings', 'xx', 'florins', 'The', 'good', 'kind']"
tl_p039r_preTEI,florins,"['to', 'be', 'fifteen', 'florins', 'if', 'it', 'gives', 'xx', 'dyings', 'xx']","['The', 'good', 'kind', 'dyes', 'up', 'to', '30', 'times', '&', 'commonly']"
tl_p039v_preTEI,pistolet,"['has', 'a', 'similar', 'hardness', 'for', 'engraving', 'as', 'fine', 'silver', 'or']",['gold']
tl_p044v_preTEI,sous,"['They', 'sell', 'them', 'by', 'the', 'dozen', '&', 'each', 'dozen', 'xxx']","['They', 'bring', 'them', 'to', 'Toulouse', 'to', 'transport', 'them', 'afterward', 'to']"
tl_p053v_preTEI,s,"['They', 'are', 'produced', 'from']","['eed', 'that', 'i', 's', 'to', 's', 'ay', 'egg', 's', 'that']"
tl_p058v_preTEI,sous,"['oil', 'Walnut', 'oil', 'in', 'Flanders', 'costs', 'at', 'least', 'a', 'hundred']","['a', 'pint', 'The', 'azure', 'requires', 'a', 'little', 'fatty', 'oil', 'because']"
tl_p085v_preTEI,sous,"['hollow', '&', 'of', 'the', 'thickness', 'of', 'a', 'coin', 'of', 'forty']","['I', 'cast', 'very', 'hot']"
tl_p094r_preTEI,sous,"['quite', 'convenient', 'To', 'The', 'beautiful', 'skin', 'costs', 'fifty', 'or', 'lx']","['&', '4', 'or', 'five', 'dozen', 'grips', 'are', 'made', 'from', 'it']"
tl_p094v_preTEI,sous,"['A', 'grip', 'of', 'fine', 'gold', 'is', 'worth', '18', 'or', '20']",[]
tl_p095r_preTEI,lb,"['Blades', 'from', 'Vienne', 'commonly', 'cost', 'xviii', 'or', '19']","['a', 'dozen']"
tl_p095r_preTEI,liard,"['or', 'has', 'done', 'by', 'locksmiths', 'or', 'farriers', 'giving', 'him', 'some']","['for', 'his', 'charcoal', 'Next', 'they', 'pass', 'it', 'over', 'a', 'grindstone']"
tl_p095v_preTEI,sous,"['end', 'is', 'bought', 'ready-made', 'by', 'the', 'dozen', 'which', 'costs', 'six']","['for', 'the', 'small', 'ones', 'but', 'for', 'the', 'the', 'big', 'ones']"
tl_p095v_preTEI,lb,"['by', 'dozens', 'the', 'dozen', 'of', 'plain', 'ones', 'commonly', 'costs', 'x']","['The', 'worked', 'piece', '30', 'sous', 'or', 'depending', 'on', 'its', 'fashion']"
tl_p095v_preTEI,sous,"['plain', 'ones', 'commonly', 'costs', 'x', 'lb', 'The', 'worked', 'piece', '30']","['or', 'depending', 'on', 'its', 'fashion']"
tl_p095v_preTEI,sous,"['ready', 'made', 'a', 'hundred', 'for', 'xv', 'or', 'xx', 'or', '30']","['depending', 'on', 'the', 'distance', 'from', 'the', 'place', 'where', 'they', 'are']"
tl_p096r_preTEI,sous,"['or', 'calf', 'A', 'waxed', 'scabbard', 'is', 'worth', 'at', 'least', 'xxx']","['a', 'cow', 'one', 'xx', 'sous']"
tl_p096r_preTEI,sous,"['is', 'worth', 'at', 'least', 'xxx', 'sous', 'a', 'cow', 'one', 'xx']",[]
