folio,text in tag,before,after
tl_p002v_preTEI,℥,"['I', 'have', 'taken', 'minium', '26']","['crystal', 'and', 'ground', 'on', 'marble', '12', '℥', 'verdet', '3', '|ʒ|']"
tl_p002v_preTEI,℥,"['taken', 'minium', '26', '℥', 'crystal', 'and', 'ground', 'on', 'marble', '12']","['verdet', '3', '|ʒ|', 'Incorporate', 'all', 'together', 'put', 'in', 'a', 'crucible']"
tl_p002v_preTEI,|ʒ|,"['℥', 'crystal', 'and', 'ground', 'on', 'marble', '12', '℥', 'verdet', '3']","['Incorporate', 'all', 'together', 'put', 'in', 'a', 'crucible', 'covered', 'with', 'another']"
tl_p002v_preTEI,℥,"['I', 'have', 'taken', 'minium', '12']","['crystal', '6', '℥', 'verdet', '2', 'grains', 'Soft', 'fusion', 'vi', 'hours']"
tl_p002v_preTEI,℥,"['I', 'have', 'taken', 'minium', '12', '℥', 'crystal', '6']","['verdet', '2', 'grains', 'Soft', 'fusion', 'vi', 'hours', 'refired', '24', 'hours']"
tl_p002v_preTEI,grains,"['have', 'taken', 'minium', '12', '℥', 'crystal', '6', '℥', 'verdet', '2']","['Soft', 'fusion', 'vi', 'hours', 'refired', '24', 'hours', 'The', 'mass', 'was']"
tl_p002v_preTEI,℥,"['Pebbles', 'or', 'crystal', '8']","['minium', '16', '℥', 'blacksmith', 's', 'salt', '4', '℥', 'sparkling', 'coryal']"
tl_p002v_preTEI,℥,"['Pebbles', 'or', 'crystal', '8', '℥', 'minium', '16']","['blacksmith', 's', 'salt', '4', '℥', 'sparkling', 'coryal', '4', 'grains', 'Fusion']"
tl_p002v_preTEI,℥,"['crystal', '8', '℥', 'minium', '16', '℥', 'blacksmith', 's', 'salt', '4']","['sparkling', 'coryal', '4', 'grains', 'Fusion', '6', 'hours']"
tl_p002v_preTEI,grains,"['16', '℥', 'blacksmith', 's', 'salt', '4', '℥', 'sparkling', 'coryal', '4']","['Fusion', '6', 'hours']"
tl_p003r_preTEI,lb,"['wood', 'or', 'take', 'a', 'bizarre', 'thorn', 'branch', 'then', 'melt', 'a']","['of', 'the', 'most', 'beautiful', 'clear', 'pitch', 'resin', 'and', 'put', 'in']"
tl_p003r_preTEI,ounce,"['the', 'most', 'beautiful', 'clear', 'pitch', 'resin', 'and', 'put', 'in', 'one']","['of', 'subtly', 'ground', 'vermilion', 'with', 'walnut', 'oil', 'and', 'if', 'you']"
tl_p003r_preTEI,quarter part,"['well', 'purified', 'For', 'counterfeiting', 'your', 'coral', 'you', 'can', 'mix', 'a']","['of', 'mastic', 'into', 'your', 'purified', 'resin', 'to', 'render', 'it', 'more']"
tl_p003r_preTEI,lb,"['Take', 'a']","['of', 'Venice', 'turpentine', '&', 'heat', 'it', 'in', 'a', 'pot', 'until']"
tl_p003r_preTEI,lb,"['a', 'pot', 'until', 'it', 'simmers', 'and', 'put', 'in', 'half', 'a']","['of', 'the', 'turpentine', 'oil', 'of', 'the', 'whitest', 'you', 'can', 'find']"
tl_p003r_preTEI,lb,"['in', 'the', 'summer', 'It', 'is', 'commonly', 'sold', '15', 'sous', 'a']",[]
tl_p003v_preTEI,lb,"['instead', 'of', 'fine', 'turpentine', 'And', 'you', 'can', 'put', 'into', 'two']","['of', 'tou', 'common', 'turpentine', 'one', 'lb', 'of', 'fine', 'turpentine', 'oil']"
tl_p003v_preTEI,lb,"['can', 'put', 'into', 'two', 'lb', 'of', 'tou', 'common', 'turpentine', 'one']","['of', 'fine', 'turpentine', 'oil', '&', 'do', 'everything', 'as', 'with', 'the']"
tl_p003v_preTEI,lb,"['cost', 'you', 'no', 'more', 'than', 'five', 'or', 'six', 'sous', 'per']","['&', 'is', 'sold', 'for', '40', 'sous', 'per', 'lb']"
tl_p003v_preTEI,lb,"['sous', 'per', 'lb', '&', 'is', 'sold', 'for', '40', 'sous', 'per']",[]
tl_p003v_preTEI,bucket,"['large', 'quantities', 'of', 'turpentine', 'oil', 'that', 'is', 'to', 'say', 'a']","['an', 'hour', 'and', 'no', 'matter', 'which', 'turpentine', 'it', 'may', 'be']"
tl_p003v_preTEI,lb,"['keep', 'cold', 'water', 'in', 'the', 'cooler', 'on', 'the', 'top', 'The']","['is', 'sold', 'at', 'xii', 'sous', '&', 'at', 'the', 'bottom', 'of']"
tl_p004r_preTEI,lb,"['it', 'with', 'a', 'finger', 'it', 'is', 'ready', 'And', 'for', 'one']","['of', 'lavender', 'spike', 'oil', 'you', 'will', 'put', 'five', 'ounces', 'of']"
tl_p004r_preTEI,ounces,"['one', 'lb', 'of', 'lavender', 'spike', 'oil', 'you', 'will', 'put', 'five']","['of', 'pulverized', 'sandarac', 'although', 'some', 'only', 'put', 'in', 'four', 'ounces']"
