folio,text in tag,before,after
tl_p001r_preTEI,"Rue de la Heaumerie,","['Mestre', 'Nico', 'Costé', 'in', 'the']","['at', 'the', 'sign', 'of', 'St', 'Claude', '/', 'Mirrors', 'Mestre', 'Jehan']"
tl_p001r_preTEI,Faubourg Saint-Germain,"['Claude', '/', 'Mirrors', 'Mestre', 'Jehan', 'Cousin', 'who', 'resides', 'in', 'the']","['knows', 'of', 'the', 'master', 'Mestre', 'Jehan', 'Garnier', 'in', 'the', 'Rue']"
tl_p001r_preTEI,Rue desEscrivains,"['Saint-Germain', 'knows', 'of', 'the', 'master', 'Mestre', 'Jehan', 'Garnier', 'in', 'the']","['by', 'St', 'Jacques', 'de', 'la', 'Boucherie', 'currier', 'Try', 'pastel', 'woad']"
tl_p001r_preTEI,St Jacques de la Boucherie,"['master', 'Mestre', 'Jehan', 'Garnier', 'in', 'the', 'Rue', 'des', 'Escrivains', 'by']","['currier', 'Try', 'pastel', 'woad', 'flowers']"
tl_p001r_preTEI,Eleusinæ,"['The', 'harvester', 'that', 'leaves', 'some', 'ears', 'is', 'not', 'blamed', 'Sacra']","['deæ', 'propalare', 'nefas', 'Trumpets', 'see', 'the', 'book', 'of', 'funerals']"
tl_p001r_preTEI,Ingolstadiensis,"['Vuolfangus', 'Lazius', 'Petrus', 'Appianus', 'mathematicus']","['Comment', 'urb', 'rom', 'Hieronimo', 'Ruscelli', 'Hermolaus', 'Barbarus', 'Angelius', 'Bargæus', 'De']"
tl_p001r_preTEI,urb.rom.,"['Vuolfangus', 'Lazius', 'Petrus', 'Appianus', 'mathematicus', 'Ingolstadiensis', 'Comment']","['Hieronimo', 'Ruscelli', 'Hermolaus', 'Barbarus', 'Angelius', 'Bargæus', 'De', 'aucupio', 'et', 'venatione']"
tl_p001r_preTEI,italie,"['Salomonis', 'scripsit', 'monsieur', 'Cathalogue', 'des', 'villes', 'Calendrier', 'des', 'bergiers', 'Grammaire']","['ne', 'Arithmetique', 'of', 'Savonne', 'Instruction', 'pour', 'le', 'faict', 'des', 'finances']"
tl_p001r_preTEI,Lyon,"['aeigmatiques', 'Des', 'præceptes', 'd', 'agriculture', 'Le', 'secret', 'des', 'finances', 'à']","['Synesius', 'Olaus', 'Magnus', 'Mestre', 'Bernard', 'Palissi', 'inventor', 'of', 'rustic', 'figulines']"
tl_p001r_preTEI,Alexandria,"['Statius', 'Thebaidos', 'Servius', 'in', 'Aeneidem', 'Macrobius', 'Aulus', 'Gellius', 'Alexander', 'ab']","['Festus', 'Nonius', 'Magius', 'Miscellanea', 'Pollux', 'Onomasticon', 'Higinus', 'Berosus', 'Suetonius', 'Valerius']"
tl_p001r_preTEI,Romæ,"['Aquatilium', 'animalium', 'historiæ', 'Hypolito', 'Salviano', 'Typhernate', 'authore']",['1554']
tl_p001r_preTEI,Normandie,"['Les', 'Annales', 'de']",[]
tl_p001v_preTEI,Saint Antonin,"['Prunes', 'of']","['&', 'if', 'you', 'like', 'you', 'want', 'put', 'among', 'them', 'leaves']"
tl_p002v_preTEI,Brescia,"['Practica', 'cioè', 'nova', 'inventione', 'di', 'contegiare', 'stampata', 'in']","['per', 'Vincenzo', 'Sabio']"
tl_p003r_preTEI,Venice,"['with', 'walnut', 'oil', 'and', 'if', 'you', 'add', 'in', 'a', 'little']","['laque', 'platte', 'the', 'color', 'will', 'be', 'more', 'vivid', 'and', 'stir']"
tl_p003r_preTEI,Venice,"['Take', 'a', 'lb', 'of']","['turpentine', '&', 'heat', 'it', 'in', 'a', 'pot', 'until', 'it', 'simmers']"
tl_p005r_preTEI,Venice,"['polished', 'them', 'with', 'the', 'arene', 'you', 'can', 'smooth', 'them', 'with']","['tripoli', 'which', 'should', 'not', 'be', 'sandy', '&', 'next', 'with', 'putty']"
tl_p006r_preTEI,armeni,"['horsetail', 'to', 'render', 'it', 'well', 'polished', 'Next', 'take', 'fine', 'boli']","['&', 'sanguine', 'as', 'much', 'of', 'one', 'as', 'of', 'the', 'other']"
tl_p006r_preTEI,Venice,"['lay', 'in', 'rouge', 'clair', '&', 'glaze', 'with', 'it', 'de', 'grind']","['laque', 'platte', 'on', 'marble', 'with', 'walnut', 'or', 'linseed', 'oil', 'Once']"
tl_p009r_preTEI,Gascony,"['after', 'that', 'But', 'above', 'all', 'the', 'grain', 'called', 'pomole', 'in']","['or', 'baillard', 'in', 'France', 'makes', 'the', 'earth', 'shake', 'seven', 'years']"
tl_p009r_preTEI,France,"['all', 'the', 'grain', 'called', 'pomole', 'in', 'Gascony', 'or', 'baillard', 'in']","['makes', 'the', 'earth', 'shake', 'seven', 'years', 'later', 'according', 'to', 'the']"
tl_p010r_preTEI,Lyon,"['It', 'is', 'made', 'in']","['from', 'the', 'juice', 'of', 'weld', '&', 'chalk', 'mixed', 'together', 'or']"
tl_p011r_preTEI,Germany,"['loses', 'some', 'of', 'its', 'tint', 'Those', 'who', 'make', 'it', 'in']","['compound', 'it', 'like', 'enamel', 'in', 'large', 'pieces', 'which', 'they', 'pestle']"
tl_p012r_preTEI,Albi,"['is', 'greyer', 'and', 'the', 'the', 'one', 'from', 'the', 'region', 'of']","['is', 'whiter', 'It', 'must', 'be', 'cooked', 'with', 'a', 'closed', 'fire']"
tl_p012v_preTEI,Armenian,"['Grind', '&', 'pulverize', 'finely', 'brick', 'or']","['bole', 'or', 'sanguine', '&', 'incorporate', 'it', 'with', 'melted', 'wax', '&']"
tl_p016v_preTEI,Montauban,"['Otherwise', 'if', 'it', 'is', 'all', 'of', 'cotton', 'as', 'those', 'of']","['make', 'it', 'is', 'necessary', 'to', 'snuff', 'it', 'out', 'often', 'for']"
tl_p017r_preTEI,Montpellier,"['long', 'It', 'is', 'true', 'that', 'this', 'is', 'a', 'pan', 'of']","['&', 'not', 'a', 'King', 's', 'pan', 'which', 'is', 'not', 'used']"
tl_p017r_preTEI,Montpellier,"['of', 'cannons', 'for', 'making', 'them', 'good', 'For', 'the', 'pan', 'of']","['being', 'of', 'shorter', 'the', 'cannons', 'more', 'proportioned', 'there', 'are', 'shorter']"
tl_p017r_preTEI,Montpellier,"['The', 'pan', 'of']","['is', 'equivalent', 'to', 'six', 'of', 'the', 'King', 's', 'inches', 'which']"
tl_p017v_preTEI,France,"['#', 'The', 'composition', 'of', 'cannons', 'of']","['is', 'of', 'one', 'quintal', 'of', 'metal', 'for', 'two', 'of', 'rosette']"
tl_p017v_preTEI,Toulouse,"['quintal', 'of', 'metal', 'for', 'two', 'of', 'rosette', 'But', 'those', 'of']","['&', 'Poncet', 'puts', 'iii', 'of', 'rosette', '&', 'one', 'of', 'metal']"
tl_p018r_preTEI,LaRochelle,"['these', 'xxvii', 'or', 'xxviii', 'pans', 'long', 'like', 'the', 'Cow', 'of']","['But', 'to', 'such', 'pieces', 'one', 'gives', 'reinforcement', 'at', 'the', 'breech']"
tl_p020r_preTEI,Lorraine,"['Glass', 'from']","['is', 'smoother', '&', 'more', 'even', 'than', 'plate', 'glass', 'and', 'it']"
tl_p020r_preTEI,Lorraine,"['&', 'other', 'drugs', 'that', 'the', 'glassworkers', 'put', 'on', 'Glass', 'from']","['is', 'sold', 'by', 'the', 'bundle', '&', 'each', 'bundle', 'is', 'composed']"
tl_p020r_preTEI,France,"['usually', 'x', 'sous', 'Plate', 'glass', 'is', 'sold', 'in', 'made', 'in']","['it', 'is', 'whiter', '&', 'clearer', 'but', 'alternately', 'it', 'is', 'not']"
tl_p020r_preTEI,Lorraine,"['but', 'alternately', 'it', 'is', 'not', 'so', 'durable', 'as', 'that', 'from']","['It', 'is', 'also', 'commonly', 'blown', '&', 'in', 'that', 'case', 'it']"
tl_p020v_preTEI,Rodez,"['Bell', 'tower', 'of']","['church', 'of', 'Albi', 'bells', 'of', 'Mende', 'However', 'one', 'holds', 'the']"
tl_p020v_preTEI,Albi,"['Bell', 'tower', 'of', 'Rodez', 'church', 'of']","['bells', 'of', 'Mende', 'However', 'one', 'holds', 'the', 'bell', 'of', 'Toulouse']"
tl_p020v_preTEI,Mende,"['Bell', 'tower', 'of', 'Rodez', 'church', 'of', 'Albi', 'bells', 'of']","['However', 'one', 'holds', 'the', 'bell', 'of', 'Toulouse', 'named', 'Cardaillac', 'as']"
tl_p020v_preTEI,Toulouse,"['Albi', 'bells', 'of', 'Mende', 'However', 'one', 'holds', 'the', 'bell', 'of']","['named', 'Cardaillac', 'as', 'one', 'of', 'the', 'most', 'beautiful', 'in', 'France']"
tl_p020v_preTEI,France,"['Toulouse', 'named', 'Cardaillac', 'as', 'one', 'of', 'the', 'most', 'beautiful', 'in']","['all', 'the', 'more', 'since', 'it', 'weighs', 'two', 'hundred', 'and', 'fifty']"
tl_p024v_preTEI,France,"['Know', 'the', 'magazines', 'of']","['for', 'the', 'artillery']"
tl_p028v_preTEI,England,"['similar', 'jumble', 'to', 'cheat', 'on', 'the', 'weight', 'The', 'tin', 'from']","['is', 'so', 'hard', 'that', 'the', 'miners', 'put', 'in', 'lead', 'to']"
tl_p028v_preTEI,Germany,"['to', 'soften', 'it', 'The', 'one', 'that', 'comes', 'by', 'way', 'of']","['is', 'softer']"
tl_p029r_preTEI,Rome,"['&', 'all', 'colors', 'One', 'makes', 'ceiling', 'ornaments', 'with', 'it', 'in']","['One', 'can', 'make', 'bed', 'ornaments', 'with', 'it', 'If', 'you', 'want']"
tl_p030r_preTEI,Germany,"['The', 'best', 'fattest', '&', 'softest', 'is', 'brought', 'from']","['and', 'is', 'not', 'in', 'saulmon', 'but', 'in', 'lattes', 'of', 'around']"
tl_p030r_preTEI,Lyon,"['s', 'length', '&', 'three', 'fingers', 'width', 'It', 'is', 'transported', 'to']","['and', 'from', 'this', 'the', 'leaf', 'is', 'made', 'for', 'small', 'mirrors']"
tl_p030r_preTEI,Nuremberg,"['from', 'this', 'the', 'leaf', 'is', 'made', 'for', 'small', 'mirrors', 'in']",[]
tl_p031r_preTEI,Flanders,[],"['varnish', 'made', 'with', 'turpentine', '&', 'oil', 'of', 'turpentine', 'or', 'mastic']"
tl_p032r_preTEI,Milan,"['Morions', 'from']","['are', 'all', 'in', 'one', 'piece', '&', 'thus', 'better', 'than', 'those']"
tl_p032r_preTEI,Flemish,"['soon', 'as', 'the', 'colors', 'of', 'panels', 'are', 'well', 'dried', 'the']","['varnish', 'them', 'so', 'they', 'do', 'not', 'die', 'any', 'more', 'than']"
tl_p032v_preTEI,Toulouse,"['They', 'make', 'two', 'kinds', 'of', 'them', 'in']","['one', 'to', 'hang', 'on', 'the', 'partition', 'walls', 'of', 'rooms', 'which']"
tl_p032v_preTEI,Germany,"['which', 'one', 'needs', 'to', 'reheat', 'Nonetheless', 'try', 'the', 'red', 'from']","['which', 'is', 'rouge', 'd', 'escaille', 'They', 'make', 'their', 'common', 'red']"
tl_p032v_preTEI,Germany,"['melts', 'that', 'is', 'why', 'solder', 'is', 'made', 'with', 'it', 'In']","['they', 'make', 'very', 'light', 'candlesticks', 'it', 'is', 'because', 'they', 'turn']"
tl_p036v_preTEI,Lorraine,"['One', 'says', 'that', 'in']","['&', 'in', 'Flanders', 'well-made', 'glass', 'is', 'made', 'of', 'fern', 'ashes']"
tl_p036v_preTEI,Flanders,"['One', 'says', 'that', 'in', 'Lorraine', '&', 'in']","['well-made', 'glass', 'is', 'made', 'of', 'fern', 'ashes', '&', 'pebbles', 'and']"
tl_p036v_preTEI,England,"['annealing', 'furnace', 'It', 'is', 'made', 'in', 'the', 'same', 'way', 'in']","['more', 'beautifully', 'Near', 'Rouen', 'in', 'France', 'plate', 'glass', 'is', 'made']"
tl_p036v_preTEI,Rouen,"['made', 'in', 'the', 'same', 'way', 'in', 'England', 'more', 'beautifully', 'Near']","['in', 'France', 'plate', 'glass', 'is', 'made', 'with', 'some', 'salt', 'of']"
