parent,culprit,correction
http://fieldnotes.makingandknowing.org/mainSpace/.htmlDH%20Field%20Notes%20-%20Spring%202017,http://fieldnotes.makingandknowing.org/mainSpace/Anisha%20Padma%20-%20DH%20Field%20Notes%20SP17.html,
http://fieldnotes.makingandknowing.org/mainSpace/.htmlDH%20Field%20Notes%20-%20Spring%202017,http://fieldnotes.makingandknowing.org/mainSpace/Sarah%20Pearlman%20Shapiro%20-%20DH%20Field%20Notes%20SP17.html,
http://fieldnotes.makingandknowing.org/mainSpace/Hiebert%20-%20Field%20Notes%20-%20SP17.html,http://fieldnotes.makingandknowing.org/mainSpace/First%20Metadata%20Assignment.html,
http://fieldnotes.makingandknowing.org/mainSpace/Sau-yi%20Fong%20-%20Field%20Notes%20FA16.html,http://fieldnotes.makingandknowing.org/mainSpace/Fong%20-%20HCR%20FA16.html,
http://fieldnotes.makingandknowing.org/mainSpace/Sau-yi%20Fong%20-%20Field%20Notes%20FA16.html,http://fieldnotes.makingandknowing.org/mainSpace/Bread%20Molding.html,
http://fieldnotes.makingandknowing.org/mainSpace/Sau-yi%20Fong%20-%20Field%20Notes%20FA16.html,http://fieldnotes.makingandknowing.org/mainSpace/Sau-yi%20Fong%20-%20Verdigris%20FA%2016.html,
http://fieldnotes.makingandknowing.org/mainSpace/Sau-yi%20Fong%20-%20Field%20Notes%20FA16.html,http://fieldnotes.makingandknowing.org/mainSpace/Sau-yi%20Fong%20-%20Annotation%20Plans%20FA%2016.html,
http://fieldnotes.makingandknowing.org/mainSpace/Sau-yi%20Fong%20-%20Field%20Notes%20FA16.html,http://fieldnotes.makingandknowing.org/mainSpace/Sau-yi%20Fong%20-%20Madder%20Lake%20Making%20FA%2016.html,
http://fieldnotes.makingandknowing.org/mainSpace/Sau-yi%20Fong%20-%20Field%20Notes%20FA16.html,http://fieldnotes.makingandknowing.org/mainSpace/Fong%20-%20Annotation%20Buckram%20Sausage%20FA%2016.html,
http://fieldnotes.makingandknowing.org/mainSpace/Benjamin%20Hiebert%20-%20Field%20Notes%20FA16.html,http://fieldnotes.makingandknowing.org/mainSpace/Hiebert%20-%20HCR%20FA16.html,
http://fieldnotes.makingandknowing.org/mainSpace/Benjamin%20Hiebert%20-%20Field%20Notes%20FA16.html,http://fieldnotes.makingandknowing.org/mainSpace/Bread%20Molding%20Reconstruction-Ben%20Hiebert%20and%20Sau-Yi%20Fong.html,
http://fieldnotes.makingandknowing.org/mainSpace/Benjamin%20Hiebert%20-%20Field%20Notes%20FA16.html,http://fieldnotes.makingandknowing.org/mainSpace/Verdigris%20-%20Ben%20Hiebert%20FA16.html,
http://fieldnotes.makingandknowing.org/mainSpace/Benjamin%20Hiebert%20-%20Field%20Notes%20FA16.html,http://fieldnotes.makingandknowing.org/mainSpace/Hiebert%20-%20Annotation%20Field%20Notes%20FA16.html,
http://fieldnotes.makingandknowing.org/mainSpace/Benjamin%20Hiebert%20-%20Field%20Notes%20FA16.html,http://fieldnotes.makingandknowing.org/mainSpace/Madder%20lake%20pigment.html,
http://fieldnotes.makingandknowing.org/mainSpace/Charles%20Kang%20-%20Field%20Notes%20FA16.html,http://fieldnotes.makingandknowing.org/mainSpace/Kang%20HCR%20FA16.html,
http://fieldnotes.makingandknowing.org/mainSpace/Charles%20Kang%20-%20Field%20Notes%20FA16.html,http://fieldnotes.makingandknowing.org/mainSpace/Bread%20Molding%20Reconstruction%20FA16%20Lores-Chavez%20%26%20Kang.html,
http://fieldnotes.makingandknowing.org/mainSpace/Charles%20Kang%20-%20Field%20Notes%20FA16.html,http://fieldnotes.makingandknowing.org/mainSpace/Kang%20-%20Verdigris%20FA16.html,
http://fieldnotes.makingandknowing.org/mainSpace/Charles%20Kang%20-%20Field%20Notes%20FA16.html,http://fieldnotes.makingandknowing.org/mainSpace/Kang%20%26%20Lores-Chavez%20Annotation%20Plans.html,
http://fieldnotes.makingandknowing.org/mainSpace/Charles%20Kang%20-%20Field%20Notes%20FA16.html,http://fieldnotes.makingandknowing.org/mainSpace/Kang%20%26%20Lores-Chavez%20-%20Black%20Sulfur%20Wax%20FA16.html,
http://fieldnotes.makingandknowing.org/mainSpace/Charles%20Kang%20-%20Field%20Notes%20FA16.html,http://fieldnotes.makingandknowing.org/mainSpace/Kang%20-%20Red%20%28Madder%29%20Lake.html,
http://fieldnotes.makingandknowing.org/mainSpace/Charles%20Kang%20-%20Field%20Notes%20FA16.html,http://fieldnotes.makingandknowing.org/mainSpace/Kang%20%26%20Lores-Chavez%20-%20Annotation%20Field%20Notes%20Black%20Sulfured%20Wax%20FA16.html,
http://fieldnotes.makingandknowing.org/mainSpace/Emma%20Le%20Pouesard%20-%20Field%20Notes%20FA16.html,http://fieldnotes.makingandknowing.org/mainSpace/Bread%20Mold%20Reconstruction.html,
http://fieldnotes.makingandknowing.org/mainSpace/Emma%20Le%20Pouesard%20-%20Field%20Notes%20FA16.html,http://fieldnotes.makingandknowing.org/mainSpace/Verdigris%20Painting%20Out.html,
http://fieldnotes.makingandknowing.org/mainSpace/Emma%20Le%20Pouesard%20-%20Field%20Notes%20FA16.html,http://fieldnotes.makingandknowing.org/mainSpace/Annotations%20Plan.html,
http://fieldnotes.makingandknowing.org/mainSpace/Emma%20Le%20Pouesard%20-%20Field%20Notes%20FA16.html,http://fieldnotes.makingandknowing.org/mainSpace/Madder%20for%20Lake.html,
http://fieldnotes.makingandknowing.org/mainSpace/Field%20Notes%20-%20Fall%202016.html,http://fieldnotes.makingandknowing.org/mainSpace/Isabella%20Lores-Chavez%20-%20Field%20Notes%20FA16.html,
http://fieldnotes.makingandknowing.org/mainSpace/Caitlyn%20Sellar%20-%20Field%20Notes%20FA16.html,http://fieldnotes.makingandknowing.org/mainSpace/Sellar%20-%20HCR%20FA16.html,
