entry_id,version,position,render,length
001r_1,tc,left-middle,wide,278
001r_1,tcn,left-middle,wide,287
001r_1,tl,left-middle,wide,284
001r_2,tc,left-middle,wide,128
001r_2,tcn,left-middle,wide,133
001r_2,tl,left-middle,wide,126
001r_3,tc,left-middle,wide,941
001r_3,tc,right-top,tall,505
001r_3,tc,left-middle,wide,25
001r_3,tcn,left-middle,wide,947
001r_3,tcn,right-top,tall,510
001r_3,tcn,left-middle,wide,25
001r_3,tl,left-middle,wide,949
001r_3,tl,right-top,tall,510
001r_3,tl,left-middle,wide,24
001r_4,tc,left-middle,wide,77
001r_4,tcn,left-middle,wide,81
001r_4,tl,left-middle,wide,81
003r_1,tc,left-top,tall,875
003r_1,tc,left-top,,46
003r_1,tc,top,,66
003r_1,tc,right-top,,212
003r_1,tcn,left-top,tall,900
003r_1,tcn,left-top,,47
003r_1,tcn,top,,68
003r_1,tcn,right-top,,220
003r_1,tl,left-top,tall,859
003r_1,tl,left-top,,46
003r_1,tl,top,,67
003r_1,tl,right-top,,224
003r_2,tc,left-bottom,,309
003r_2,tc,left-bottom,wide,174
003r_2,tcn,left-bottom,tall,317
003r_2,tcn,left-bottom,wide,178
003r_2,tl,left-bottom,tall,318
003r_2,tl,left-bottom,wide,156
003r_3,tc,left-middle,,108
003r_3,tc,left-middle,,119
003r_3,tcn,left-middle,,110
003r_3,tcn,left-middle,,126
003r_3,tl,left-middle,,120
003r_3,tl,left-middle,,121
004r_1,tc,left-middle,,162
004r_1,tcn,left-middle,,169
004r_1,tl,left-middle,,177
004r_2,tc,left-middle,,36
004r_2,tcn,left-middle,,38
004r_2,tl,left-middle,,38
004v_1,tc,left-middle,,85
004v_1,tc,left-middle,,41
004v_1,tc,left-middle,,245
004v_1,tc,left-middle,tall,162
004v_1,tc,left-middle,tall,86
004v_1,tcn,left-middle,,85
004v_1,tcn,left-middle,,43
004v_1,tcn,left-middle,,259
004v_1,tcn,left-middle,tall,170
004v_1,tcn,left-middle,tall,89
004v_1,tl,left-middle,,87
004v_1,tl,left-middle,,33
004v_1,tl,left-middle,,249
004v_1,tl,left-middle,tall,186
004v_1,tl,left-middle,tall,88
005r_1,tc,left-middle,,1
005r_1,tcn,left-middle,,1
005r_1,tl,left-middle,,1
006v_1,tc,right-middle,,124
006v_1,tcn,right-middle,,126
006v_1,tl,right-middle,,119
007r_4,tc,left-middle,,148
007r_4,tcn,left-middle,,150
007r_4,tl,left-middle,,144
009v_3,tc,left-middle,,35
009v_3,tc,left-middle,,36
009v_3,tcn,left-middle,,34
009v_3,tcn,left-middle,,35
009v_3,tl,left-middle,,34
009v_3,tl,left-middle,,37
010r_1,tc,left-middle,tall,724
010r_1,tcn,left-middle,tall,743
010r_1,tl,left-middle,tall,638
012r_1,tc,left-middle,,375
012r_1,tcn,left-middle,,385
012r_1,tl,left-middle,,379
012r_2,tc,left-middle,,175
012r_2,tcn,left-middle,,180
012r_2,tl,left-middle,,174
012r_4,tc,left-middle,,141
012r_4,tcn,left-middle,,145
012r_4,tl,left-middle,,133
012v_1,tc,left-middle,,74
012v_1,tcn,left-middle,,75
012v_1,tl,left-middle,,62
015r_2,tc,left-middle,,30
015r_2,tcn,left-middle,,30
015r_2,tl,left-middle,,30
016r_1,tc,left-middle,,125
016r_1,tc,left-middle,wide,1
016r_1,tc,right-middle,,205
016r_1,tc,left-middle,,329
016r_1,tcn,left-middle,,127
016r_1,tcn,left-middle,wide,1
016r_1,tcn,right-middle,,211
016r_1,tcn,left-middle,,336
016r_1,tl,left-middle,,134
016r_1,tl,left-middle,wide,1
016r_1,tl,right-middle,,194
016r_1,tl,left-middle,,316
017r_1,tc,left-middle,,159
017r_1,tc,left-middle,,51
017r_1,tc,left-middle,,325
017r_1,tc,left-middle,,219
017r_1,tc,left-middle,,81
017r_1,tc,left-bottom,wide,135
017r_1,tc,left-middle,,164
017r_1,tc,left-middle,,139
017r_1,tc,left-middle,,158
017r_1,tc,left-middle,,92
017r_1,tc,left-middle,,267
017r_1,tc,left-middle,,53
017r_1,tc,left-middle,,273
017r_1,tc,left-middle,,93
017r_1,tc,left-middle,,743
017r_1,tc,left-middle,,98
017r_1,tc,left-middle,,69
017r_1,tc,left-middle,,529
017r_1,tcn,left-middle,,164
017r_1,tcn,left-middle,,53
017r_1,tcn,left-middle,,338
017r_1,tcn,left-middle,,223
017r_1,tcn,left-middle,,83
017r_1,tcn,left-bottom,wide,141
017r_1,tcn,left-middle,,170
017r_1,tcn,left-middle,,142
017r_1,tcn,left-middle,,161
017r_1,tcn,left-middle,,95
017r_1,tcn,left-middle,,278
017r_1,tcn,left-middle,,54
017r_1,tcn,left-middle,,278
017r_1,tcn,left-middle,,96
017r_1,tcn,left-middle,,767
017r_1,tcn,left-middle,,100
017r_1,tcn,left-middle,,66
017r_1,tcn,left-middle,,543
017r_1,tl,left-middle,,173
017r_1,tl,left-middle,,62
017r_1,tl,left-middle,,339
017r_1,tl,left-middle,,225
017r_1,tl,left-middle,,105
017r_1,tl,left-bottom,wide,145
017r_1,tl,left-middle,,147
017r_1,tl,left-middle,,135
017r_1,tl,left-middle,,161
017r_1,tl,left-middle,,94
017r_1,tl,left-middle,,293
017r_1,tl,left-middle,,54
017r_1,tl,left-middle,,245
017r_1,tl,left-middle,,89
017r_1,tl,left-middle,,683
017r_1,tl,left-middle,,110
017r_1,tl,left-middle,,79
017r_1,tl,left-middle,,534
020r_2,tc,left-middle,,104
020r_2,tcn,left-middle,,107
020r_2,tl,left-middle,,106
021r_2,tc,left-middle,,105
021r_2,tcn,left-middle,,110
021r_2,tl,left-middle,,98
022r_1,tc,top,,41
022r_1,tcn,top,,44
022r_1,tl,top,,46
022v_1,tc,left-middle,,1
022v_1,tcn,left-middle,,1
022v_1,tl,left-middle,,1
023r_1,tc,left-middle,,305
023r_1,tc,left-middle,,429
023r_1,tc,left-middle,tall,1
023r_1,tcn,left-middle,,314
023r_1,tcn,left-middle,,443
023r_1,tcn,left-middle,tall,1
023r_1,tl,left-middle,,308
023r_1,tl,left-middle,,467
023r_1,tl,left-middle,tall,1
024v_1,tc,left-middle,,48
024v_1,tc,left-middle,,149
024v_1,tc,bottom,extra-wide,314
024v_1,tcn,left-middle,,50
024v_1,tcn,left-middle,,152
024v_1,tcn,bottom,extra-wide,321
024v_1,tl,left-middle,,48
024v_1,tl,left-middle,,177
024v_1,tl,bottom,extra-wide,307
024v_2,tc,left-top,tall,255
024v_2,tcn,left-top,tall,262
024v_2,tl,left-top,tall,256
024v_3,tc,left-top,tall,223
024v_3,tcn,left-top,tall,230
024v_3,tl,left-top,,253
024v_4,tc,left-top,tall,85
024v_4,tcn,left-top,tall,88
024v_4,tl,left-top,,80
026r_1,tc,top,extra-wide,94
