word from manuscript,index chosen,index 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
bituman,0,,,,,,,,,,,,,,,,,,
crêpe,0,,,,,,,,,,,,,,,,,,
cinnamon,0,aromatic bark used as a spice,tropical Asian tree with aromatic yellowish-brown bark; source of the spice cinnamon,spice from the dried aromatic bark of the Ceylon cinnamon tree; used as rolled strips or ground,,,,,,,,,,,,,,,
floret,0,a diminutive flower (especially one that is part of a composite flower),,,,,,,,,,,,,,,,,
vinegar,0,sour-tasting liquid produced usually by oxidation of the alcohol in wine or cider and used as a condiment or food preservative,dilute acetic acid,,,,,,,,,,,,,,,,
grai,0,,,,,,,,,,,,,,,,,,
niello,0,,,,,,,,,,,,,,,,,,
calamine,0,a white mineral; a common ore of zinc,,,,,,,,,,,,,,,,,
porfidio,0,,,,,,,,,,,,,,,,,,
lute,0,a substance for packing a joint or coating a porous surface to make it impervious to gas or liquid,"chordophone consisting of a plucked instrument having a pear-shaped body, a usually bent neck, and a fretted fingerboard",,,,,,,,,,,,,,,,
quill,0,pen made from a bird's feather,a stiff hollow protective spine on a porcupine or hedgehog,any of the larger wing or tail feathers of a bird,the hollow spine of a feather,,,,,,,,,,,,,,
foil,0,a piece of thin and flexible sheet metal,anything that serves by contrast to call attention to another thing's good qualities,a device consisting of a flat or curved piece (as a metal plate) so that its surface reacts to the water it is passing through,picture consisting of a positive photograph or drawing on a transparent base; viewed with a projector,a light slender flexible sword tipped by a button,,,,,,,,,,,,,
fenugreek,0,annual herb or southern Europe and eastern Asia having off-white flowers and aromatic seeds used medicinally and in curry,aromatic seeds used as seasoning especially in curry,,,,,,,,,,,,,,,,
civet,0,cat-like mammal typically secreting musk used in perfumes,,,,,,,,,,,,,,,,,
rainwater,0,drops of fresh water that fall as precipitation from clouds,,,,,,,,,,,,,,,,,
flour,0,fine powdery foodstuff obtained by grinding and sifting the meal of a cereal grain,,,,,,,,,,,,,,,,,
bronze,0,an alloy of copper and tin and sometimes other elements; also any copper-base alloy containing other elements in place of tin,a sculpture made of bronze,,,,,,,,,,,,,,,,
nastiness,0,a state characterized by foul or disgusting dirt and refuse,malevolence by virtue of being malicious or spiteful or nasty,the quality of being unpleasant,,,,,,,,,,,,,,,
tinned,0,,,,,,,,,,,,,,,,,,
regulu,0,,,,,,,,,,,,,,,,,,
aquamarine,0,a transparent variety of beryl that is blue green in color,a shade of blue tinged with green,,,,,,,,,,,,,,,,
turpentine,0,obtained from conifers (especially pines),volatile liquid distilled from turpentine oleoresin; used as paint thinner and solvent and medicinally,,,,,,,,,,,,,,,,
zedoary,0,,,,,,,,,,,,,,,,,,
pebble,0,a small smooth rounded rock,,,,,,,,,,,,,,,,,
varnish,0,"a coating that provides a hard, lustrous, transparent finish to a surface",,,,,,,,,,,,,,,,,
glue,0,cement consisting of a sticky substance that is used as an adhesive,,,,,,,,,,,,,,,,,
k,0,the basic unit of thermodynamic temperature adopted under the Systeme International d'Unites,a light soft silver-white metallic element of the alkali metal group; oxidizes rapidly in air and reacts violently with water; is abundant in nature in combined forms occurring in sea water and in carnallite and kainite and sylvite,the cardinal number that is the product of 10 and 100,a unit of information equal to 1000 bytes,a unit of information equal to 1024 bytes,the 11th letter of the Roman alphabet,street names for ketamine,,,,,,,,,,,
alabaster,0,"a compact fine-textured, usually white gypsum used for carving",a hard compact kind of calcite,a very light white,,,,,,,,,,,,,,,
weld,0,European mignonette cultivated as a source of yellow dye; naturalized in North America,United States abolitionist (1803-1895) (not an entity),a metal joint formed by softening with heat and fusing or hammering together,,,,,,,,,,,,,,,
mold,1,the distinctive form in which a thing is made,container into which liquid is poured to create a given shape when it hardens,loose soil rich in organic matter,the process of becoming mildewed,a fungus that produces a superficial growth on various kinds of damp or decaying organic matter,a dish or dessert that is formed in or on a mold,"a distinctive nature, character, or type",sculpture produced by molding,,,,,,,,,,
basan,0,,,,,,,,,,,,,,,,,,
mud,0,water soaked soil; soft wet earth,slanderous remarks or charges,,,,,,,,,,,,,,,,
air,0,a mixture of gases (especially oxygen) required for breathing; the stuff that the wind consists of,the region above the ground,a distinctive but intangible quality surrounding a person or thing,a slight wind (usually refreshing),the mass of air surrounding the Earth,once thought to be one of four elements composing the universe (Empedocles),a succession of notes forming a distinctive sequence,medium for radio and television broadcasting,travel via aircraft,,,,,,,,,
candle,0,stick of wax with a wick in the middle,"the basic unit of luminous intensity adopted under the Systeme International d'Unites; equal to 1/60 of the luminous intensity per square centimeter of a black body radiating at the temperature of 2,046 degrees Kelvin",,,,,,,,,,,,,,,,
fume,0,a cloud of fine particles suspended in a gas,,,,,,,,,,,,,,,,,
center,0,an area that is approximately central within some larger region,the piece of ground in the outfield directly ahead of the catcher,a building dedicated to a particular activity,a point equidistant from the ends of a line or the extremities of a figure,the choicest or most essential or most vital part of some idea or experience,the object upon which interest and attention focuses,a cluster of nerve cells governing a specific bodily process,the middle of a military or naval formation,(basketball) the person who plays center on a basketball team,(football) the person who plays center on the line of scrimmage and snaps the ball to the quarterback,a place where some particular activity is concentrated,politically moderate persons; centrists,(ice hockey) the person who plays center on a hockey team,the sweet central portion of a piece of candy that is enclosed in chocolate or some other covering,mercantile establishment consisting of a carefully landscaped complex of shops representing leading merchandisers; usually includes restaurants and a convenient parking area; a modern version of the traditional marketplace,the position on a hockey team of the player who participates in the face off at the beginning of the game,(American football) the position of the player on the line of scrimmage who puts the ball in play,a position on a basketball team of the player who participates in the jump that starts the game
