folio,folio_display,div_id,categories,heading_tc,heading_tcn,heading_tl,animal_tc,animal_tcn,animal_tl,body_part_tc,body_part_tcn,body_part_tl,currency_tc,currency_tcn,currency_tl,definition_tc,definition_tcn,definition_tl,environment_tc,environment_tcn,environment_tl,material_tc,material_tcn,material_tl,medical_tc,medical_tcn,medical_tl,measurement_tc,measurement_tcn,measurement_tl,music_tc,music_tcn,music_tl,plant_tc,plant_tcn,plant_tl,place_tc,place_tcn,place_tl,personal_name_tc,personal_name_tcn,personal_name_tl,profession_tc,profession_tcn,profession_tl,sensory_tc,sensory_tcn,sensory_tl,tool_tc,tool_tcn,tool_tl,time_tc,time_tcn,time_tl,weapon_tc,weapon_tcn,weapon_tl
001r,1r,001r_1,lists,,Liste de noms,List of names,aquatilium animalium; aucupio,aquatilium animalium; aucupio,aquatilium animalium; aucupio,,,,,,,,,,,,,fleur de pastel,fleur de pastel,pastel woad flowers,,,,,,,,,,pastel,pastel,pastel woad,romæ; rue des escrivains; rue de la heaumerie a limage sainct claude; sainct jaques de la boucherie; faulxbourgs de sainct germain; urb. rom.; normandie; lyon; italiene; alexandria,rue des escrivains; sainct jaques de la boucherie; faulxbourgs de sainct germain; urb. rom.; normandie; lyon; rue de la heaumerie à l’image sainct claude; romae; italiene; alexandria,"rue des escrivains; st jacques de la boucherie; italie; urb. rom.; faubourg saint-germain; normandie; romae; lyon; rue de la heaumerie, at the sign of st claude; alexandria",iulius firmicus; macrobius; budæus; mestre bernard palissi; iulius capitollinus; dionisius halicarnassensis; seneca; dion; cornelius nepos; flavius vopiscus; mestre jehan cousin; volaterranus; paulus manutius; mestre jehan garnier; pollux; athenæus; higinus; magius; mestre nicolas coste; savonne; festus; blondus; sabellicus; alexander aphrodisæus; synesius; appianus; servius; polydorus vergilius; spartianus; herodotus; olaus magnus; quintus curtius; nonius,iulius firmicus; macrobius; budaeus; mestre bernard palissi; dionisius halicarnassensis; iulius capitollinus; seneca; dion; mestre nicolas costé; cornelius nepos; flavius vopiscus; mestre jehan cousin; volaterranus; paulus manutius; mestre jehan garnier; pollux; higinus; magius; savonne; festus; blondus; athenaeus; sabellicus; synesius; appianus; servius; polydorus vergilius; spartianus; alexander aphrodisaeus; herodotus; olaus magnus; quintus curtius; nonius,iulius firmicus; macrobius; budaeus; mestre bernard palissi; dionisius halicarnassensis; seneca; dion; mestre nicolas costé; cornelius nepos; flavius vopiscus; mestre jehan cousin; volaterranus; paulus manutius; mestre jehan garnier; pollux; higinus; magius; savonne; festus; blondus; athenaeus; sabellicus; synesius; appianus; servius; spartianus; iulius capitollin; alexander aphrodisaeus; herodotus; olaus magnus; quintus curtius; nonius; polydorus verg,moissonneur; courroyeur; inventeur des rustiques figulines; mestre; royne mere; roy; bergiers,moissonneur; courroyeur; inventeur des rustiques figulines; mestre; royne mere; roy; bergiers,queen mother; historicus; harvester; master; inventor of rustic figulines; bergiers; currier; king,,,,,,,,,,,,
001r,1r,001r_2,lists,,Liste de noms,List of names,aquatilium animalium; aucupio,aquatilium animalium; aucupio,aquatilium animalium; aucupio,,,,,,,,,,,,,fleur de pastel,fleur de pastel,pastel woad flowers,,,,,,,,,,pastel,pastel,pastel woad,romæ; rue des escrivains; rue de la heaumerie a limage sainct claude; sainct jaques de la boucherie; faulxbourgs de sainct germain; urb. rom.; normandie; lyon; italiene; alexandria,rue des escrivains; sainct jaques de la boucherie; faulxbourgs de sainct germain; urb. rom.; normandie; lyon; rue de la heaumerie à l’image sainct claude; romae; italiene; alexandria,"rue des escrivains; st jacques de la boucherie; italie; urb. rom.; faubourg saint-germain; normandie; romae; lyon; rue de la heaumerie, at the sign of st claude; alexandria",iulius firmicus; macrobius; budæus; mestre bernard palissi; iulius capitollinus; dionisius halicarnassensis; seneca; dion; cornelius nepos; flavius vopiscus; mestre jehan cousin; volaterranus; paulus manutius; mestre jehan garnier; pollux; athenæus; higinus; magius; mestre nicolas coste; savonne; festus; blondus; sabellicus; alexander aphrodisæus; synesius; appianus; servius; polydorus vergilius; spartianus; herodotus; olaus magnus; quintus curtius; nonius,iulius firmicus; macrobius; budaeus; mestre bernard palissi; dionisius halicarnassensis; iulius capitollinus; seneca; dion; mestre nicolas costé; cornelius nepos; flavius vopiscus; mestre jehan cousin; volaterranus; paulus manutius; mestre jehan garnier; pollux; higinus; magius; savonne; festus; blondus; athenaeus; sabellicus; synesius; appianus; servius; polydorus vergilius; spartianus; alexander aphrodisaeus; herodotus; olaus magnus; quintus curtius; nonius,iulius firmicus; macrobius; budaeus; mestre bernard palissi; dionisius halicarnassensis; seneca; dion; mestre nicolas costé; cornelius nepos; flavius vopiscus; mestre jehan cousin; volaterranus; paulus manutius; mestre jehan garnier; pollux; higinus; magius; savonne; festus; blondus; athenaeus; sabellicus; synesius; appianus; servius; spartianus; iulius capitollin; alexander aphrodisaeus; herodotus; olaus magnus; quintus curtius; nonius; polydorus verg,moissonneur; courroyeur; inventeur des rustiques figulines; mestre; royne mere; roy; bergiers,moissonneur; courroyeur; inventeur des rustiques figulines; mestre; royne mere; roy; bergiers,queen mother; historicus; harvester; master; inventor of rustic figulines; bergiers; currier; king,,,,,,,,,,,,
001r,1r,001r_3,lists,,Liste de noms,List of names,aquatilium animalium; aucupio,aquatilium animalium; aucupio,aquatilium animalium; aucupio,,,,,,,,,,,,,fleur de pastel,fleur de pastel,pastel woad flowers,,,,,,,,,,pastel,pastel,pastel woad,romæ; rue des escrivains; rue de la heaumerie a limage sainct claude; sainct jaques de la boucherie; faulxbourgs de sainct germain; urb. rom.; normandie; lyon; italiene; alexandria,rue des escrivains; sainct jaques de la boucherie; faulxbourgs de sainct germain; urb. rom.; normandie; lyon; rue de la heaumerie à l’image sainct claude; romae; italiene; alexandria,"rue des escrivains; st jacques de la boucherie; italie; urb. rom.; faubourg saint-germain; normandie; romae; lyon; rue de la heaumerie, at the sign of st claude; alexandria",iulius firmicus; macrobius; budæus; mestre bernard palissi; iulius capitollinus; dionisius halicarnassensis; seneca; dion; cornelius nepos; flavius vopiscus; mestre jehan cousin; volaterranus; paulus manutius; mestre jehan garnier; pollux; athenæus; higinus; magius; mestre nicolas coste; savonne; festus; blondus; sabellicus; alexander aphrodisæus; synesius; appianus; servius; polydorus vergilius; spartianus; herodotus; olaus magnus; quintus curtius; nonius,iulius firmicus; macrobius; budaeus; mestre bernard palissi; dionisius halicarnassensis; iulius capitollinus; seneca; dion; mestre nicolas costé; cornelius nepos; flavius vopiscus; mestre jehan cousin; volaterranus; paulus manutius; mestre jehan garnier; pollux; higinus; magius; savonne; festus; blondus; athenaeus; sabellicus; synesius; appianus; servius; polydorus vergilius; spartianus; alexander aphrodisaeus; herodotus; olaus magnus; quintus curtius; nonius,iulius firmicus; macrobius; budaeus; mestre bernard palissi; dionisius halicarnassensis; seneca; dion; mestre nicolas costé; cornelius nepos; flavius vopiscus; mestre jehan cousin; volaterranus; paulus manutius; mestre jehan garnier; pollux; higinus; magius; savonne; festus; blondus; athenaeus; sabellicus; synesius; appianus; servius; spartianus; iulius capitollin; alexander aphrodisaeus; herodotus; olaus magnus; quintus curtius; nonius; polydorus verg,moissonneur; courroyeur; inventeur des rustiques figulines; mestre; royne mere; roy; bergiers,moissonneur; courroyeur; inventeur des rustiques figulines; mestre; royne mere; roy; bergiers,queen mother; historicus; harvester; master; inventor of rustic figulines; bergiers; currier; king,,,,,,,,,,,,
001r,1r,001r_4,lists,,Liste de noms,List of names,aquatilium animalium; aucupio,aquatilium animalium; aucupio,aquatilium animalium; aucupio,,,,,,,,,,,,,fleur de pastel,fleur de pastel,pastel woad flowers,,,,,,,,,,pastel,pastel,pastel woad,romæ; rue des escrivains; rue de la heaumerie a limage sainct claude; sainct jaques de la boucherie; faulxbourgs de sainct germain; urb. rom.; normandie; lyon; italiene; alexandria,rue des escrivains; sainct jaques de la boucherie; faulxbourgs de sainct germain; urb. rom.; normandie; lyon; rue de la heaumerie à l’image sainct claude; romae; italiene; alexandria,"rue des escrivains; st jacques de la boucherie; italie; urb. rom.; faubourg saint-germain; normandie; romae; lyon; rue de la heaumerie, at the sign of st claude; alexandria",iulius firmicus; macrobius; budæus; mestre bernard palissi; iulius capitollinus; dionisius halicarnassensis; seneca; dion; cornelius nepos; flavius vopiscus; mestre jehan cousin; volaterranus; paulus manutius; mestre jehan garnier; pollux; athenæus; higinus; magius; mestre nicolas coste; savonne; festus; blondus; sabellicus; alexander aphrodisæus; synesius; appianus; servius; polydorus vergilius; spartianus; herodotus; olaus magnus; quintus curtius; nonius,iulius firmicus; macrobius; budaeus; mestre bernard palissi; dionisius halicarnassensis; iulius capitollinus; seneca; dion; mestre nicolas costé; cornelius nepos; flavius vopiscus; mestre jehan cousin; volaterranus; paulus manutius; mestre jehan garnier; pollux; higinus; magius; savonne; festus; blondus; athenaeus; sabellicus; synesius; appianus; servius; polydorus vergilius; spartianus; alexander aphrodisaeus; herodotus; olaus magnus; quintus curtius; nonius,iulius firmicus; macrobius; budaeus; mestre bernard palissi; dionisius halicarnassensis; seneca; dion; mestre nicolas costé; cornelius nepos; flavius vopiscus; mestre jehan cousin; volaterranus; paulus manutius; mestre jehan garnier; pollux; higinus; magius; savonne; festus; blondus; athenaeus; sabellicus; synesius; appianus; servius; spartianus; iulius capitollin; alexander aphrodisaeus; herodotus; olaus magnus; quintus curtius; nonius; polydorus verg,moissonneur; courroyeur; inventeur des rustiques figulines; mestre; royne mere; roy; bergiers,moissonneur; courroyeur; inventeur des rustiques figulines; mestre; royne mere; roy; bergiers,queen mother; historicus; harvester; master; inventor of rustic figulines; bergiers; currier; king,,,,,,,,,,,,
001r,1r,001r_5,lists,,Liste de noms,List of names,aquatilium animalium; aucupio,aquatilium animalium; aucupio,aquatilium animalium; aucupio,,,,,,,,,,,,,fleur de pastel,fleur de pastel,pastel woad flowers,,,,,,,,,,pastel,pastel,pastel woad,romæ; rue des escrivains; rue de la heaumerie a limage sainct claude; sainct jaques de la boucherie; faulxbourgs de sainct germain; urb. rom.; normandie; lyon; italiene; alexandria,rue des escrivains; sainct jaques de la boucherie; faulxbourgs de sainct germain; urb. rom.; normandie; lyon; rue de la heaumerie à l’image sainct claude; romae; italiene; alexandria,"rue des escrivains; st jacques de la boucherie; italie; urb. rom.; faubourg saint-germain; normandie; romae; lyon; rue de la heaumerie, at the sign of st claude; alexandria",iulius firmicus; macrobius; budæus; mestre bernard palissi; iulius capitollinus; dionisius halicarnassensis; seneca; dion; cornelius nepos; flavius vopiscus; mestre jehan cousin; volaterranus; paulus manutius; mestre jehan garnier; pollux; athenæus; higinus; magius; mestre nicolas coste; savonne; festus; blondus; sabellicus; alexander aphrodisæus; synesius; appianus; servius; polydorus vergilius; spartianus; herodotus; olaus magnus; quintus curtius; nonius,iulius firmicus; macrobius; budaeus; mestre bernard palissi; dionisius halicarnassensis; iulius capitollinus; seneca; dion; mestre nicolas costé; cornelius nepos; flavius vopiscus; mestre jehan cousin; volaterranus; paulus manutius; mestre jehan garnier; pollux; higinus; magius; savonne; festus; blondus; athenaeus; sabellicus; synesius; appianus; servius; polydorus vergilius; spartianus; alexander aphrodisaeus; herodotus; olaus magnus; quintus curtius; nonius,iulius firmicus; macrobius; budaeus; mestre bernard palissi; dionisius halicarnassensis; seneca; dion; mestre nicolas costé; cornelius nepos; flavius vopiscus; mestre jehan cousin; volaterranus; paulus manutius; mestre jehan garnier; pollux; higinus; magius; savonne; festus; blondus; athenaeus; sabellicus; synesius; appianus; servius; spartianus; iulius capitollin; alexander aphrodisaeus; herodotus; olaus magnus; quintus curtius; nonius; polydorus verg,moissonneur; courroyeur; inventeur des rustiques figulines; mestre; royne mere; roy; bergiers,moissonneur; courroyeur; inventeur des rustiques figulines; mestre; royne mere; roy; bergiers,queen mother; historicus; harvester; master; inventor of rustic figulines; bergiers; currier; king,,,,,,,,,,,,
001v,1v,001v_1,medicine,Pour lascher le ventre,Pour lascher le ventre,For easing the belly,poulet,poulet,chicken,ventre; estomac,ventre; estomac,stomach; belly,,,,,,,,,,pruneaux de sainct antonin; sucre; canelle; foeilles de mauves &amp; de viole; racine de guimave; eau; bouillon de poulet; cirop de guindoles doulces,pruneaux de sainct antonin; sucre; canelle; foeilles de mauves &amp; de viole; racine de guimave; eau; bouillon de poulet; cirop de guindoles doulces,marshmallow root; cinnamon; water; sugar; leaves of mallow &amp; gilliflower; prunes of saint antonin; chicken broth; syrup of sweet jujubes,pour lestomac; remollitive; lasche le ventre; pour lascher le ventre,pour l’estomac; remollitive; lasche le ventre; pour lascher le ventre,for the stomach; for easing the belly; mollifying; eases the belly,,,,,,,canelle; guimave; pruneaux; guindoles; mauves; viole,canelle; guimave; pruneaux; guindoles; mauves; viole,cinnamon; prunes; marshmallow; gilliflower; jujubes; mallow,sainct antonin,sainct antonin,saint antonin,,,,,,,,,,,,,au matin,au matin,in the morning,,,
002r,2r,002r_1,lists,Livres a recouvrer,Livres à recouvrer,Books to recover,,,,,,,,,,,,,,,,huile de tourmentine; huile de jacob; sel tire de la cendre de choux,huile de tourmentine; huile de jacob; sel tiré de la cendre de choux,oil of jacob; salt extracted from cabbage ash; turpentine oil,contre douleurs,contre douleurs,against pains,,,,,,,choux,choux,cabbage,,,,,,,,,,,,,,,,,,,,,
002r,2r,002r_2,lists,Livres a recouvrer,Livres à recouvrer,Books to recover,,,,,,,,,,,,,,,,huile de tourmentine; huile de jacob; sel tire de la cendre de choux,huile de tourmentine; huile de jacob; sel tiré de la cendre de choux,oil of jacob; salt extracted from cabbage ash; turpentine oil,contre douleurs,contre douleurs,against pains,,,,,,,choux,choux,cabbage,,,,,,,,,,,,,,,,,,,,,
002v,2v,002v_1,lists,Liste de livres,Liste de livres,List of books,,,,,,,,,,,,,,,,coryal; lute; christal; safir; sel de febvre; caillous; marbre; verdet; esmeraldes de brissac; minium,coryal; christal; safir; sel de febvre; caillous; marbre; verdet; esmeraldes de brissac; minium; luté,coryal; pebbles; marble; sapphire; emeralds of brissac; luted; blacksmith’s salt; verdet; crystal; minium,,,,heures; ℥; grains; |ʒ|,heures; ℥; grains; |ʒ|,hours; ℥; grains; |ʒ|,,,,,,,brescia; brissac,brescia; brissac,brescia; brissac,vincenzo sabio,vincenzo sabio,vincenzo sabio,febvre,febvre,blacksmith,,,,marbre; croiset couvert dun aultre bien lute,marbre; croiset couvert d’un aultre bien luté; le hault,"crucible covered with another, well luted; marble",heures,heures,hours,,,
002v,2v,002v_2,lists,Liste de livres,Liste de livres,List of books,,,,,,,,,,,,,,,,coryal; lute; christal; safir; sel de febvre; caillous; marbre; verdet; esmeraldes de brissac; minium,coryal; christal; safir; sel de febvre; caillous; marbre; verdet; esmeraldes de brissac; minium; luté,coryal; pebbles; marble; sapphire; emeralds of brissac; luted; blacksmith’s salt; verdet; crystal; minium,,,,heures; ℥; grains; |ʒ|,heures; ℥; grains; |ʒ|,hours; ℥; grains; |ʒ|,,,,,,,brescia; brissac,brescia; brissac,brescia; brissac,vincenzo sabio,vincenzo sabio,vincenzo sabio,febvre,febvre,blacksmith,,,,marbre; croiset couvert dun aultre bien lute,marbre; croiset couvert d’un aultre bien luté; le hault,"crucible covered with another, well luted; marble",heures,heures,hours,,,
