entry_id,length_tc,length_tcn,length_tl,percent_marginal_tc,percent_marginal_tcn,percent_marginal_tl,percent_continued_tc,percent_continued_tcn,percent_continued_tl
001r_1,292,302,299,95.20547945205479,95.03311258278146,94.98327759197325,0.0,0.0,0.0
001r_2,133,140,131,96.2406015037594,95.0,96.18320610687023,0.0,0.0,0.0
001r_3,1502,1513,1511,97.93608521970705,97.95109054857899,98.14692256783587,0.0,0.0,0.0
001r_4,94,98,96,81.91489361702128,82.65306122448979,84.375,0.0,0.0,0.0
001v_1,392,406,372,0.0,0.0,0.0,0.0,0.0,0.0
002r_1,142,142,138,0.0,0.0,0.0,0.0,0.0,0.0
002r_2,87,89,82,0.0,0.0,0.0,0.0,0.0,0.0
002v_1,98,102,101,0.0,0.0,0.0,0.0,0.0,0.0
002v_2,388,415,404,0.0,0.0,0.0,0.0,0.0,0.0
002v_3,107,112,113,0.0,0.0,0.0,0.0,0.0,0.0
003r_1,1882,1929,1855,63.70882040382572,64.02280974598237,64.4743935309973,0.0,0.0,0.0
003r_2,1289,1326,1252,37.470907680372385,37.33031674208145,37.85942492012779,0.0,0.0,0.0
003r_3,1526,1574,1571,14.875491480996068,14.993646759847522,15.340547422024189,69.79030144167758,70.01270648030496,70.52832590706556
003v_1,459,471,443,0.0,0.0,0.0,0.0,0.0,0.0
004r_1,1491,1544,1448,10.865191146881287,10.94559585492228,12.223756906077348,0.0,0.0,0.0
004r_2,558,574,532,6.451612903225806,6.620209059233449,7.142857142857143,0.0,0.0,0.0
004v_1,1369,1424,1398,45.2154857560263,45.36516853932584,45.994277539341915,0.0,0.0,0.0
004v_2,329,338,333,0.0,0.0,0.0,0.0,0.0,0.0
004v_3,816,838,808,0.0,0.0,0.0,25.857843137254903,25.77565632458234,24.133663366336634
005r_1,1443,1501,1395,0.0693000693000693,0.06662225183211193,0.07168458781362007,0.0,0.0,0.0
005r_2,1835,1880,1973,0.0,0.0,0.0,79.12806539509536,79.09574468085107,76.9386720729853
005v_1,492,506,482,0.0,0.0,0.0,0.0,0.0,0.0
006r_1,2036,2095,2031,0.0,0.0,0.0,0.0,0.0,0.0
006v_1,1280,1315,1259,9.6875,9.581749049429657,9.451945988880064,0.0,0.0,0.0
006v_2,610,625,586,0.0,0.0,0.0,0.0,0.0,0.0
007r_1,1074,1115,1061,0.0,0.0,0.0,0.0,0.0,0.0
007r_2,369,381,396,0.0,0.0,0.0,0.0,0.0,0.0
007r_3,144,146,120,0.0,0.0,0.0,0.0,0.0,0.0
007r_4,593,604,542,24.957841483979763,24.834437086092716,26.568265682656826,0.0,0.0,0.0
007v_1,355,362,335,0.0,0.0,0.0,0.0,0.0,0.0
007v_2,448,456,432,0.0,0.0,0.0,0.0,0.0,0.0
007v_3,523,536,535,0.0,0.0,0.0,0.0,0.0,0.0
007v_4,250,253,254,0.0,0.0,0.0,0.0,0.0,0.0
008r_1,184,191,184,0.0,0.0,0.0,0.0,0.0,0.0
008r_2,160,162,140,0.0,0.0,0.0,0.0,0.0,0.0
008r_3,499,512,477,0.0,0.0,0.0,0.0,0.0,0.0
008r_4,223,229,221,0.0,0.0,0.0,0.0,0.0,0.0
008v_1,140,143,118,0.0,0.0,0.0,0.0,0.0,0.0
008v_2,354,365,351,0.0,0.0,0.0,0.0,0.0,0.0
008v_3,307,322,302,0.0,0.0,0.0,0.0,0.0,0.0
008v_4,206,213,180,0.0,0.0,0.0,0.0,0.0,0.0
008v_5,511,534,499,0.0,0.0,0.0,0.0,0.0,0.0
009r_1,841,860,828,0.0,0.0,0.0,0.0,0.0,0.0
009r_2,125,128,123,0.0,0.0,0.0,0.0,0.0,0.0
009r_3,596,610,567,0.0,0.0,0.0,0.0,0.0,0.0
009v_1,735,752,683,0.0,0.0,0.0,0.0,0.0,0.0
009v_2,179,182,172,0.0,0.0,0.0,0.0,0.0,0.0
009v_3,646,647,623,10.990712074303406,10.664605873261205,11.396468699839486,0.0,0.0,0.0
010r_1,1381,1419,1300,52.42577842143374,52.360817477096546,49.07692307692308,0.0,0.0,0.0
010r_2,163,165,162,0.0,0.0,0.0,0.0,0.0,0.0
010r_3,167,170,181,0.0,0.0,0.0,0.0,0.0,0.0
010r_4,274,282,279,0.0,0.0,0.0,0.0,0.0,0.0
010r_5,729,752,757,0.0,0.0,0.0,0.0,0.0,0.0
010v_1,532,549,539,0.0,0.0,0.0,0.0,0.0,0.0
010v_2,211,218,213,0.0,0.0,0.0,0.0,0.0,0.0
010v_3,114,116,100,0.0,0.0,0.0,0.0,0.0,0.0
010v_4,356,362,352,0.0,0.0,0.0,0.0,0.0,0.0
011r_1,2302,2383,2322,0.0,0.0,0.0,0.0,0.0,0.0
011v_1,227,234,212,0.0,0.0,0.0,0.0,0.0,0.0
011v_2,163,164,151,0.0,0.0,0.0,0.0,0.0,0.0
011v_3,156,162,174,0.0,0.0,0.0,0.0,0.0,0.0
011v_4,601,616,589,0.0,0.0,0.0,0.0,0.0,0.0
011v_5,206,215,234,0.0,0.0,0.0,0.0,0.0,0.0
012r_1,678,695,665,55.309734513274336,55.39568345323741,56.99248120300752,0.0,0.0,0.0
012r_2,625,643,651,28.0,27.993779160186627,26.72811059907834,0.0,0.0,0.0
012r_3,555,574,574,0.0,0.0,0.0,0.0,0.0,0.0
012r_4,687,702,734,20.524017467248907,20.655270655270655,18.11989100817439,0.0,0.0,0.0
012v_1,369,375,366,20.05420054200542,20.0,16.939890710382514,0.0,0.0,0.0
012v_2,216,220,207,0.0,0.0,0.0,0.0,0.0,0.0
012v_3,2153,2215,1995,0.0,0.0,0.0,39.15466790524849,39.05191873589165,38.64661654135338
013r_1,290,302,317,0.0,0.0,0.0,0.0,0.0,0.0
013r_2,189,196,189,0.0,0.0,0.0,0.0,0.0,0.0
