entry_id,title,fig_id,link,size,margin,categories,al,bp,cn,df,env,m,md,ms,mu,pa,pl,pn,pro,sn,tl,tmp,wp,de,el,it,la,oc,po
3r3,Thick varnish for planks,fig_p003v_1,https://drive.google.com/open?id=0B9-oNrvWdlO5ZUY4SkZBblA5MjA,medium,,['varnish'],[],[],"['sous', 'sous', 'sous']",[],['in the sun'],"['Thick varnish', 'varnish', 'linseed oil', 'garlic', 'wheat', 'coarse common turpentine', 'fine turpentine', 'common turpentine', 'fine turpentine oil', 'turpentine oil', 'turpentine it may be, whether fine or crude', 'cold water', 'colophony', 'pix græca', 'eau-de-vie', 'copper', 'charcoal', 'varnish', 'copper', 'tinned']",[],"['lb', 'lb', 'lb', 'lb', 'bucket an hour', 'bucket', 'lb']",[],[],[],[],[],[],"['vessel', 'vessel', 'vessel', 'oven', 'copper vessel', 'trivet', 'copper vessel']","['months', 'times past', 'hour']",[],[],[],[],['pix græca'],[],['warp']
6v1,For ga cach cages,fig_p006v_1,https://drive.google.com/open?id=0B9-oNrvWdlO5eVFRYjVCTmczcmM,medium,,['glass process'],[],['hand'],[],[],[],"['enamel cannules', 'latten or iron wire', 'wood', 'ash']",[],['size of a carnation pot'],[],['carnation'],[],[],['Glass button makers'],[],"['enamel cannules', 'cannules', 'cutting file', 'wood model', 'chafing-dish', 'lamp', 'small furnace', 'reverberatory furnace', 'cannule', 'small pincers with a long beak', 'small pincers', 'cannule', 'cannule', 'cannule', 'furnace', 'cannules', 'file', 'furnace', 'grate', 'furnace']",[],[],[],[],[],[],[],[]
14r1,For walls of earth and rustic construction,fig_p014r_1,https://drive.google.com/open?id=0B9-oNrvWdlO5b2lVN19SU1Z6UkU,small,left-middle,['household and daily life'],['Swallows'],['foot'],[],[],['good & fertile land'],"['earth', 'mud', 'wisps', 'stalks of hay or straw', 'stone', 'brick', 'earth', 'light earth', 'arene', 'earth', 'earth', 'branches of heather', 'earth', 'blocks of wood', 'earth', 'earth', 'earth', 'heather', 'heather', 'earth', 'bricks', 'saltpeter']",[],['foot'],[],"['heather', 'heather', 'heather']",[],[],['gunpowder makers'],[],"['ditch-spade', 'measuring line', 'long <-ch-> poles', 'chevron beams', 'boards', 'beaters', 'mallet', 'boards', 'bat']",[],[],[],[],[],[],[],"['ditch-spade', 'tamp', 'tamps']"
16r1,Founding of soft iron,fig_p016r_1,https://drive.google.com/open?id=0B9-oNrvWdlO5aUw0eThJNEVTelk,large,left-middle,['metal process'],[],['handfuls'],[],[],[],"['soft iron', 'iron', 'realgar', 'lead', 'orpiment', 'brittle iron', 'iron', 'soft iron', 'iron', 'wallwort', 'iron', 'water', 'iron', 'soft iron', 'iron', 'iron', 'metal', 'iron', 'tempered ashes']",[],"['pan & a half', 'pan & a half ', 'pans', 'pan', 'pan', 'pan', 'one & a half quintal', 'pan', 'quintals', 'handfuls', 'quintals', 'biggest', 'pans', 'lb', 'shovels', 'quintals']",[],['wallwort'],[],[],"['people', 'Alchemists', 'miners', 'workers']",[],"['small forges', 'iron pots', 'furnace', 'blast-pipe', 'bellows’ pipes', 'furnace', 'furnace', 'blast-pipe', 'square furnace', 'round furnace', 'blast-pipe', 'furnace', 'furnace', 'reverberatory furnace', 'bellows', 'forges', 'bellows', 'furnace', 'molds', 'furnace', 'biggest charcoal', 'furnace', 'mold', 'mold', 'large file', 'furnace', 'big charcoal', 'charcoals', 'furnace', 'new charcoal', 'furnace', 'charcoal', 'charcoal', 'furnace', 'molds', 'iron or metal shells', 'mold']",[],[],[],[],[],[],[],[]
17r1,On the gunner,fig_p019r_1,https://drive.google.com/open?id=0B9-oNrvWdlO5WWY3VjdlVktqZVk,x-small,,['arms and armor'],"['horses', 'horses', 'horses', 'horses', 'horses', 'good horses', 'horses', 'horse', 'horses']",['thumb'],"['lb', 'lb', 'lb', 'lb']","['cannon-perrier', 'pan of Montpellier', 'King’s inches', 'bastarde']","['ditch casemates', 'private houses', 'small towns', 'fortresses of little importance', 'casemates', 'trenches', 'edge of the ditch', 'gabions', 'garrets topped with a tower', 'city', 'city', 'barricade', 'house or elsewhere', 'cities', 'houses', 'walls', 'tower', 'houses', 'houses']","['fine arquebus powder', 'ordinary cannon powder', 'powder', 'powder', 'rosette', 'metal', 'rosette', 'fine metal of <-la-> large bells', 'rosette', 'metal of small bells', 'metal', 'fine rosette', 'powder', 'powder', 'cannon powder', 'copper', 'metal', 'metal', 'tin', 'rosette', 'fine tin', 'rosette', 'tin', 'charcoal', 'cannon powder', 'arquebus powder', 'metal', 'rosette', 'rosette', 'metal', 'rosette', 'filth', 'rosette', 'metal', 'metal', 'rosette', 'metal', 'powder', 'powder', 'powder', 'powder', 'powder', 'smoke', 'powder', 'powder', 'powder', 'powder', 'cannon powder', 'arquebus powder', 'powder', 'powder', 'powder', 'powder', 'powder', 'powder', 'arquebus powder', 'cannon powder', 'iron', 'metal', 'metal', 'metal', 'iron', 'iron', 'metal', 'metal', 'copper', 'iron', 'iron', 'lead', 'metal', 'iron', 'lead', 'lead']",[],"['paces', 'paces', 'paces', 'lb', 'King’s caliber', 'quintals', 'King’s caliber', 'lb', 'width of two balls & a quarter of a ball', 'width of one ball & a third of a ball', 'lb', 'lb', 'pans', 'pan of Montpellier', 'King’s pan', 'pan of Montpellier', 'King’s pan', 'paces', 'paces', 'three parts of rosette & one of the fine metal of <-la-> large bells', 'lb', 'pan of Montpellier', 'King’s inches', 'quintals', 'thickness of <-b-> two balls & one  <-l->of the three parts of one ball', 'thickness of one ball & <-two-> two of the three parts', 'pans', 'paces', 'paces', 'lb', 'lb', 'half ladle', 'per day', 'quintals', 'quintals & a half', 'quintal', 'lb', 'quintal', 'lb', 'quintal', 'lb per quintal', 'lb, according to the King’s ordinance, per quintal', 'lb', 'quintals', 'pans', 'thickness of half a ball', 'third part of a ball', 'ladles', 'one & a half of', 'one quintal of metal for two of rosette', 'as much of one as of the other', 'part', 'quintals', 'pans', 'King’s caliber', 'lb', 'lb', 'thickness of two of its balls & <-es->the  <-three-> third part<-s-> of a ball', 'thickness of one ball & two thirds', 'quintals', 'lb', 'paces', 'paces', 'league', 'thumb’s breadth', 'quintal', 'lb', 'lb', 'lb', 'thickness of two of its balls & the<-es-> th<-ree->ird part<-s-> of a ball', 'thickness of a ball & two of three parts', 'pans', 'thickness of three balls at the breech & at the front of two balls', 'quintal', 'pan', 'three balls at the breech & two in front', 'lb', 'pan', 'balls', 'league', 'a half league', 'quintals', 'pans', 'lb', 'pounds', 'thickness of three balls', 'paces', 'diameter of a ball & a half', 'escutcheon', 'thickness of two balls', 'thickness of three balls', 'up to the escutcheon', 'quintals', 'ladles', 'ladle', 'quintal', 'quintals', 'pans', 'lb', 'lb', 'At the breech it has three balls & two in front', 'caliber', '3 balls thick', 'quintals', 'pans', 'lb', 'lb', 'At the breech it has three balls & two in the front', 'quintals', 'pans', 'lb', 'lb', 'At the breech three balls', 'ladle', 'quintals', 'pans', 'half a lb', 'At the breech, 3 balls, & 2 in front', 'quintals', '3 balls & a twelfth part of a ball', 'quintal', 'pans', 'lb', 'At the breech 3 balls, two in front', 'balls', 'ball', 'up to the top of the escutcheon', 'balls', 'thickness of <-c-> five balls', 'ladle', 'lb', 'lb', 'lines', 'quintal', 'pans', 'quintal', 'up to the escutcheon', 'thickness of 4 balls', 'lb', 'pans', 'up to the escutcheon', 'the length of 4 balls']",[],[],"['Montpellier', 'Montpellier', 'Montpellier', 'France', 'Toulouse', 'La Rochelle']",['Poncet'],"['gunner', 'King', 'King', 'King', 'King', 'King', 'masters', 'master', 'King', 'master', 'King', 'cavalry', 'infantry', 'cavalry']","['bigger voice', 'sound']","['ladle', 'ladles', 'cauldrons', 'burin', 'burin', 'ladle', 'ladles', 'ladle', 'ladle', 'ladle', 'ladle', 'ladle']","['longer', 'day', 'by night']","['cannon', 'cannon-perrier', 'small, short cannons', 'piece', 'piece', 'arquebus', 'cannon', 'piece', 'piece', 'long piece', 'cannon-perrier', 'cannons', 'cannons', 'cannon-perrier', 'great cannon', 'cannon-perrier', 'piece', 'pieces', 'piece', 'cannon', 'cannon', 'cannon', 'cannons', 'gun', 'large pieces', 'cannons', 'small pieces', 'cannon-perriers', 'cannon', 'arquebus', 'cannons', 'Old pieces', 'Large culverins', 'cannon', 'cannon', 'culverin', 'Culverins', 'cannons', 'cannon', 'pieces', 'smaller pieces', 'cannons', 'cannon', 'large pieces', 'bastarde', 'culverin', 'piece', 'large cannon', 'large culverin', 'bastard culverin', 'bastarde piece', 'pleasure pieces', 'pieces', 'bastarde', 'cannon', 'culverin', 'small pieces', 'cannons', 'cannons', 'bastarde', 'cannons', 'large pieces', 'medium pieces', 'field pieces', 'passe-volant', 'pieces', 'pieces', 'cannon', 'piece', 'cannon', 'arquebus powder', 'field piece', 'pieces', 'large pieces', 'passe-volant', 'piece', 'pieces', 'cannons', 'culverins', 'bastardes', 'field', 'pieces', 'falconet', 'falconets', 'pieces', 'piece', 'double musket', 'small pieces', 'arquebus', 'cannon', 'cannon', 'simple musket', 'Arquebus à croc', 'arquebus à croc', 'orgues', 'orgues']",[],[],[],[],[],[]
19v1,  Mathematical figures without ruler and compass,fig_p019v_1,https://drive.google.com/open?id=0B9-oNrvWdlO5SUUzLXQ4UVlGR1U,small,,['painting'],[],"['nail of your right thumb', 'big finger']",[],[],[],"['paper', 'paper', 'ink', 'paper', 'ink', 'paper']",[],['required distance'],[],[],[],[],[],[],"['ruler', 'compass', 'quill', 'nail of your right thumb', 'big finger', 'ruler', 'compass']",[],[],[],[],[],[],[],[]
19v1,  Mathematical figures without ruler and compass,fig_p019v_2,https://drive.google.com/open?id=0B9-oNrvWdlO5cy0tdXF5MGJTLU0,small,,['painting'],[],"['nail of your right thumb', 'big finger']",[],[],[],"['paper', 'paper', 'ink', 'paper', 'ink', 'paper']",[],['required distance'],[],[],[],[],[],[],"['ruler', 'compass', 'quill', 'nail of your right thumb', 'big finger', 'ruler', 'compass']",[],[],[],[],[],[],[],[]
19v1,  Mathematical figures without ruler and compass,fig_p019v_3,https://drive.google.com/open?id=0B9-oNrvWdlO5R0VMdFQ3VC1lQmM,small,,['painting'],[],"['nail of your right thumb', 'big finger']",[],[],[],"['paper', 'paper', 'ink', 'paper', 'ink', 'paper']",[],['required distance'],[],[],[],[],[],[],"['ruler', 'compass', 'quill', 'nail of your right thumb', 'big finger', 'ruler', 'compass']",[],[],[],[],[],[],[],[]
19v1,  Mathematical figures without ruler and compass,fig_p019v_4,https://drive.google.com/open?id=0B9-oNrvWdlO5TGJOZGVvTmV1LW8,small,,['painting'],[],"['nail of your right thumb', 'big finger']",[],[],[],"['paper', 'paper', 'ink', 'paper', 'ink', 'paper']",[],['required distance'],[],[],[],[],[],[],"['ruler', 'compass', 'quill', 'nail of your right thumb', 'big finger', 'ruler', 'compass']",[],[],[],[],[],[],[],[]
20r1,For making millas ,fig_p020r_1,https://drive.google.com/file/d/1hyCXz2KOCrpNwqiDiCzKp4Tg4YGawMYm,x-small,,['household and daily life'],[],[],[],[],"['hearth', 'hearth']","['millas', 'millet', 'husks', 'flour', 'melted fresh butter', 'milk', 'dough to make fritters', 'egg yolks', 'flour', 'egg yolks', 'millas', 'saffron', 'earthenware', 'millas', 'dough', 'flour', 'dough', 'hay', 'embers']",[],['as much of one as the other'],[],"['millet', 'saffron']",[],[],[],[],"['hair sieve', 'molds', 'hearth', 'molds', 'molds', 'hearth', 'molds', 'lids', 'molds', 'lids']",[],[],[],[],[],[],"['millas', 'hair sieve', 'millas', 'millas']",[]
