prefLabel_en,verbatim_term,identity,title
aucupio,aucupio,p001r_3,List of books
chicken,chicken,p001v_1,For easing the belly
chicken,chicken,p055r_3,Against wounds
chicken,chicken,p103v_1,Enema
lamb,lamb,p006r_1,For laying down and seating burnished gold and giving red or green or blue
lamb,lambs,p057v_1,Sheath maker
dragon,dragon,p007r_3,Doublets
dragon,dragon,p029v_6,Dragon’s blood
dragon,dragon,p038v_2,Against nose bleed and for dyeing
dragon,dragon,p040v_1,Cross of the commanders of Malta
dragon,dragon,p098r_1,Varnish for lutes
dragon,dragon,p102v_1,Painting on crystal or glass
dragon,dragon,p165r_5,Dragon’s blood
codfish,codfish,p007r_4,Fish glue or isinglass and mouth glue
fish,fish,p007r_4,Fish glue or isinglass and mouth glue
fish,fish,p129v_4,Spider molded on a leaf
fish,fish,p155v_1,Rose
fish,fish,p156v_1,Molding a fly
fish,fish,p157r_5,Flies
fish,fish,p159r_3, Fish glue
fish,fish,p165r_6,Repairing snakes and lizards
fish,fish,p165v_7,Joining some fly wings, or similar
fish,fish,p169r_1,List of processes
fish,fishes,p068r_1,Fanciful tables
horse,horse,p010v_3,For cleaning gold leaf applied to iron
horse,horse,p013r_4,Fine sieves of raw silk
horse,horse,p015r_2,Foundry casting
horse,horse,p017r_1,On the gunner
horse,horse,p030r_2,Pewterer
horse,horse,p041r_1,Earth for casting, for founders
horse,horse,p044v_1,Horsehair sieves
horse,horse,p053r_6,Casting of lead and copper
horse,horse,p054v_2,For making a horse follow
horse,horse,p054v_4,For disguising a horse
horse,horse,p055r_4,Onenev elbirro hcihw sllik fi eno spets no a draob ro a ueirse purrits 
horse,horse,p056r_1,Excellent tempering bath for cuirass bodies
horse,horse,p063v_5,Flanders blue
horse,horse,p071r_4,Weary horses
horse,horse,p072r_1,Printer’s letters
horse,horse,p078r_3,For making green trwood
horse,horse,p083r_5,Another
horse,horse,p142v_3,Lute for luting your molds
horse,horse,p149r_1,Softening iron and rendering it very soft
horse,horses,p017r_1,On the gunner
horse,horses,p022v_1,Orgues
horse,horses,p052r_1,The work done in Algiers
horse,horses,p071r_4,Weary horses
horse,good horses,p017r_1,On the gunner
mutton,mutton,p011v_2,For getting rid of the redness of eyes or bruising
mutton,mutton,p120r_3,IlNightingale
lizard,lizard,p012r_1,For molding sulfur
lizard,lizard,p098r_3,Locksmith
lizard,lizard,p107r_1,Catching lizards and snakes
lizard,lizard,p114r_1,Second cast
lizard,lizard,p119v_2,Excellent secret for molding hollow and very delicately in fine gold
lizard,lizard,p128v_1,Whitening of cast silver
lizard,lizard,p129r_3,Viper color
lizard,lizard,p133v_3,Various animals entwined
lizard,lizard,p150v_1,Molding hollow
lizard,lizard,p152r_1,Molding a rat
lizard,lizard,p156r_2,Very light and hollow work of gold
lizard,lizards,p106r_2,Making gold run for casting
lizard,lizards,p107r_1,Catching lizards and snakes
lizard,lizards,p109v_2,Killing snakes for molding
lizard,lizards,p111v_4,Lizards
lizard,lizards,p112r_4,Putting to death the animal for molding
lizard,lizards,p120r_1,Medals stamped from wax
lizard,lizards,p124v_3,A means to make the gate for small female lizards
lizard,lizards,p135r_2,Gate
lizard,lizards,p137v_1,Tempering sand for molds of flat medals
lizard,lizards,p138v_2,Gold cast very thinly
lizard,lizards,p139r_1,Casts of lead and tin
lizard,lizards,p144r_1,Turtles
lizard,lizards,p150r_2,Various alloys of tin and lead
lizard,lizards,p152r_1,Molding a rat
lizard,lizards,p164r_3,Leady silver
lizard,lizards,p165r_6,Repairing snakes and lizards
lizard,female lizards,p111v_4,Lizards
lizard,female lizards,p122r_1,Arranging various animals
lizard,little lizard,p128v_1,Whitening of cast silver
lizard,large lizard,p131v_1,When the cast of tin or lead becomes porous
lizard,very small female lizard,p132v_2,Crocum ferri
lizard,large lizards,p133r_2,Feet of smalls female lizards for gold and silver
lizard,small female lizards,p133v_2,Thing that does not release
lizard,small wall lizard,p133v_3,Various animals entwined
lizard,wall lizard,p133v_3,Various animals entwined
hog,hog,p012v_3,For whitening enilanroc
hog,hog,p084v_4,Sand for lead, the most excellent of all, for high and low reliefs
hog,hog,p114r_1,Second cast
hog,hog,p145v_1,Molding plants and flowers
hog,hog,p163v_3,Repairing
animal,animal,p013r_2,For dyeing
toad,toad,p013v_3,Toadstone
toad,toad,p109v_1,Toad
toad,toad,p110r_3,Snakes
toad,toad,p142v_2,Molds
toad,toad,p143r_3,Toad
snake,snakes,p013v_4,Snakes
snake,snakes,p106r_2,Making gold run for casting
snake,snakes,p107r_1,Catching lizards and snakes
snake,snakes,p109r_5,Snakes for molding
snake,snakes,p109v_2,Killing snakes for molding
snake,snakes,p110r_3,Snakes
snake,snakes,p110v_3,Cast of lead and tin
snake,snakes,p116r_1,Molding bouquets, plants, and flowers
snake,snakes,p116v_1,Molding snakes in all weather
snake,snakes,p117r_1,A means of molding flowers and plants
snake,snakes,p117v_5,Blood of snakes
snake,snakes,p122r_1,Arranging various animals
snake,snakes,p123r_1, A means di far correr lotnegra
snake,snakes,p125v_1,Vipers and snakes
snake,snakes,p125v_2,Molding turtles
snake,snakes,p129v_1,Animals dried in the oven for a long time
snake,snakes,p129v_4,Spider molded on a leaf
snake,snakes,p130v_1,Molding a crab
snake,snakes,p139r_1,Casts of lead and tin
snake,snakes,p139v_1,Cast of wax to represent an animal that one has not got
snake,snakes,p143r_1,Molding turtles
snake,snakes,p144r_1,Turtles
snake,snakes,p152r_1,Molding a rat
snake,snakes,p165r_6,Repairing snakes and lizards
snake,snake,p013v_4,Snakes
snake,snake,p052r_1,The work done in Algiers
snake,snake,p107r_1,Catching lizards and snakes
snake,snake,p112v_1,For molding Making the arrangement and disposition of the animal
snake,snake,p114r_1,Second cast
snake,snake,p115r_1,Make the cast, reheat the molds, &amp;c Note about everything above |-|
snake,snake,p115r_2,Animal after release
snake,snake,p116v_1,Molding snakes in all weather
snake,snake,p117v_1,For making the ashes of flowers and plants leave molds
snake,snake,p117v_5,Blood of snakes
snake,snake,p122r_2,Flower in the mouth of the snake
snake,snake,p124v_3,A means to make the gate for small female lizards
snake,snake,p125v_1,Vipers and snakes
snake,snake,p129r_3,Viper color
snake,snake,p133v_3,Various animals entwined
snake,snake,p139v_1,Cast of wax to represent an animal that one has not got
snake,snake,p150v_1,Molding hollow
snake,snake,p164r_1,Gate
snake,water snakes,p112r_4,Putting to death the animal for molding
snake,common snake,p112v_1,For molding Making the arrangement and disposition of the animal
swine,swine,p013v_4,Snakes
swine,swine,p157r_5,Flies
swallow,swallows,p014r_1,For walls of earth and rustic construction
cuttlefish,cuttlefish,p015v_1,Tablets
cuttlefish,cuttlefish,p049r_3,Another
cuttlefish,cuttlefish,p053r_3,Casting of lead
cuttlefish,cuttlefish,p072v_1,Casting
cuttlefish,cuttlefish,p091r_2,Molding with cuttlefish bone
cuttlefish,cuttlefish,p139r_1,Casts of lead and tin
cuttlefish,cuttlefish,p145r_2,Cuttlefish bone
cuttlefish,cuttlefish,p157r_1,A means for goldsmiths for molding hollow
cat,cat,p019v_3,Enemas
cat,cats,p130r_1,Animals dried in an oven
swan,swan,p024r_1,Grenades
horses’,horses’,p024v_1,For bringing a cannon over land
pigeon,pigeon,p031r_1,New vine
pigeon,pigeon,p053v_1,Silkworms
pigeon,pigeon,p056r_1,Excellent tempering bath for cuirass bodies
