prefLabel_en,verbatim_term,identity,title
belly,belly,p001v_1,For easing the belly
stomach,stomach,p001v_1,For easing the belly
stomach,stomach,p020v_6,A form of regimen
stomach,stomach,p037r_2,Medicine for the stomach which heats it and unstops the liver
finger,finger,p003r_2,Varnish for panels
finger,finger,p004r_1,Varnish of spike lavender oil
finger,finger,p005r_2,Concave mirrors
finger,finger,p012r_4,Plaster
finger,finger,p013v_1,For knowing the good cendrée of azure for oil
finger,finger,p020v_6,A form of regimen
finger,finger,p023r_1,On petards
finger,finger,p024r_1,Grenades
finger,finger,p031r_4,Fruit made from sugar
finger,finger,p033r_1,Knife for cutting the nose or a finger
finger,finger,p034r_1,For telling someone that by putting holding a finger to his forehead, you will prevent him from exiting a chamber
finger,finger,p037r_2,Medicine for the stomach which heats it and unstops the liver
finger,finger,p037v_3,Yellow Amber
finger,finger,p043r_4,White bronzing
finger,finger,p052r_1,The work done in Algiers
finger,finger,p066r_6,* Or mat
finger,finger,p072v_1,Casting
finger,finger,p079r_2,For making water for disease of the eyes
finger,finger,p080v_1,Founders of small works  of tin
finger,finger,p086v_1,Excellent sand for lead, tin, and copper
finger,finger,p094r_1,Furbisher
finger,finger,p097v_1,Mastic varnish dry in a half hour
finger,finger,p098v_5,Founding
finger,finger,p106v_2,
finger,finger,p107r_1,Catching lizards and snakes
finger,finger,p116v_2,Mixture of tin and lead
finger,finger,p131v_1,When the cast of tin or lead becomes porous
finger,finger,p137v_1,Tempering sand for molds of flat medals
finger,finger,p139r_1,Casts of lead and tin
finger,finger,p139v_1,Cast of wax to represent an animal that one has not got
finger,finger,p140v_3,Cast of lead and tin in plaster
finger,finger,p144r_1,Turtles
finger,finger,p145v_2,
finger,finger,p163r_1,Perfumer
finger,finger,p164v_3,Molds
finger,fingers,p023r_1,On petards
finger,fingers,p024v_1,For bringing a cannon over land
finger,fingers,p033r_2,XFor relighting an extinguished candle between your hands without blowing
finger,fingers,p034v_1,For melting or transmuting a jewel put inside a box
finger,fingers,p035r_3,For boiling an egg in cold water without fire
finger,fingers,p036r_1,For transmuting a ball into a thimble, cunning
finger,fingers,p037v_1,Gardener
finger,fingers,p044v_1,Horsehair sieves
finger,fingers,p045r_1,Loading an arquebus with hail shot
finger,fingers,p049v_2,Grain of lead
finger,fingers,p052r_1,The work done in Algiers
finger,fingers,p068r_3,Casting
finger,fingers,p069r_2,Sand
finger,fingers,p072v_1,Casting
finger,fingers,p073r_1,For making blue varnish
finger,fingers,p084v_1,Sand
finger,fingers,p084v_4,Sand for lead, the most excellent of all, for high and low reliefs
finger,fingers,p085v_4,Experimented sands
finger,fingers,p090r_3,All sands can be rendered good
finger,fingers,p094r_1,Furbisher
finger,fingers,p097r_2,Gilding
finger,fingers,p102r_4,Glass vessels
finger,fingers,p105r_4,Gardening
finger,fingers,p109r_4,Bellows of the forge
finger,fingers,p110r_3,Snakes
finger,fingers,p111v_4,Lizards
finger,fingers,p117r_1,A means of molding flowers and plants
finger,fingers,p119v_1,Fashion of preparing a spalt spat
finger,fingers,p120v_6,Keeping dry flowers in the same state all year
finger,fingers,p121v_1,For casting in silver
finger,fingers,p128r_1,Casting in silver and gold
finger,fingers,p129v_3,Advice about casting
finger,fingers,p132r_2,Method for reheating the molds
finger,fingers,p132v_2,Crocum ferri
finger,fingers,p135r_2,Gate
finger,fingers,p135v_1,Casting in ☼
finger,fingers,p145r_2,Cuttlefish bone
finger,fingers,p147v_3,Crucible
finger,fingers,p150r_2,Various alloys of tin and lead
finger,fingers,p150v_1,Molding hollow
finger,fingers,p161v_1,Crocum ferri
finger,fingers,p167r_1,Petards
finger,fingers',p030r_1,Lead
finger,little finger,p005r_2,Concave mirrors
finger,little finger,p030r_2,Pewterer
finger,little finger,p033v_2,For making blood or wine issue from someone’s forehead or from a wall
finger,little finger,p148v_1,Molding turtles
finger,big finger,p019v_1, Mathematical figures without ruler and compass
finger,index finger,p033r_2,XFor relighting an extinguished candle between your hands without blowing
finger,index finger,p034v_1,For melting or transmuting a jewel put inside a box
finger,index finger,p066v_4,paintbrushes
finger,middle finger,p033r_2,XFor relighting an extinguished candle between your hands without blowing
finger,ring finger,p053v_1,Silkworms
handful,handful,p004v_1,Black varnish for sword guard, bands for trunks, &amp;c
handful,handful,p121v_1,For casting in silver
handful,handfuls,p016r_1,Founding of soft iron
handful,handfuls,p056r_1,Excellent tempering bath for cuirass bodies
face,face,p005r_2,Concave mirrors
face,face,p020v_1,For whitening the face
face,face,p033r_1,Knife for cutting the nose or a finger
face,face,p077r_1,Against redness of the face
face,face,p079v_2,Antidote against the fumes of metals
face,face,p103r_1,Against burns, excellent
face,face,p108r_2,Spalt
face,face,p123r_1, A means di far correr lotnegra
nipple,nipple,p005r_2,Concave mirrors
hand,hand,p006v_1,For ga cachcages
hand,hand,p024r_1,Grenades
hand,hand,p030r_2,Pewterer
hand,hand,p033r_1,Knife for cutting the nose or a finger
hand,hand,p033v_1,For making it seem that to someone that he has a piece of silver on his forehead
hand,hand,p033v_2,For making blood or wine issue from someone’s forehead or from a wall
hand,hand,p050r_1,Keeping fruit for the entire year
hand,hand,p053v_1,Silkworms
hand,hand,p058v_5,Paintbrushes
hand,hand,p065v_2,Painting large figures
hand,hand,p066v_4,paintbrushes
hand,hand,p076v_4,For gilding iron or tin
hand,hand,p089v_1,Sal ammoniac and alabaster
hand,hand,p094r_1,Furbisher
hand,hand,p105v_4,Nightingale
hand,hand,p107r_1,Catching lizards and snakes
hand,hand,p109v_1,Toad
hand,hand,p110r_3,Snakes
hand,hand,p115v_1,Cast of tin
hand,hand,p119r_1,Advice about the above
hand,hand,p120r_3,IlNightingale
hand,hand,p120v_6,Keeping dry flowers in the same state all year
hand,hand,p121r_1,For keeping fruits all year
hand,hand,p122r_2,Flower in the mouth of the snake
hand,hand,p145r_2,Cuttlefish bone
hand,hand,p160v_1,Molding a foot or hand
hand,hand,p167r_1,Petards
hand,hands,p033r_1,Knife for cutting the nose or a finger
hand,hands,p033r_2,XFor relighting an extinguished candle between your hands without blowing
hand,hands,p033v_1,For making it seem that to someone that he has a piece of silver on his forehead
hand,hands,p042r_2,Wax for seal and imprint
hand,hands,p069r_2,Sand
hand,hands,p074v_2,For making yellow varnish
hand,hands,p083v_2, Molding in relief on one part and hollow on the other.
hand,hands,p088v_2,Mineral sand
hand,hands,p091r_2,Molding with cuttlefish bone
hand,hands,p093r_1,Olives
hand,hands,p100r_5,Windows that the sun will not pass
hand,hands,p111r_4,Clay earth
hand,hands,p111v_5,Composition of sand
hand,hands,p112r_3,Molding en noyau. Mixture of sand
hand,hands,p112v_1,For molding Making the arrangement and disposition of the animal
hand,hands,p118v_1,Casting in frames
hand,hands,p163r_1,Perfumer
hand,right hand,p036r_1,For transmuting a ball into a thimble, cunning
hand,bare hand,p051r_2,Cutters of printing plates
hand,very light hand,p156r_3,Chasing
mouth,mouth,p007r_4,Fish glue or isinglass and mouth glue
mouth,mouth,p012v_3,For whitening enilanroc
mouth,mouth,p037v_2,Glassworker
mouth,mouth,p039r_2,Pastel woad
mouth,mouth,p044v_1,Horsehair sieves
mouth,mouth,p046r_1,For the teeth, oil of sulfur
mouth,mouth,p052r_1,The work done in Algiers
mouth,mouth,p077r_2, Medicine of the orientals against all maladies
mouth,mouth,p109r_1,Modeling in wax
mouth,mouth,p123r_1, A means di far correr lotnegra
mouth,mouth,p145v_1,Molding plants and flowers
matrix,matrix,p007v_2,Against windy colic
urine,urine,p007v_3,For relieving the pain of G.
urine,urine,p037v_3,Yellow Amber
urine,urine,p038r_4,Amber
urine,urine,p051r_2,Cutters of printing plates
urine,urine,p052r_1,The work done in Algiers
urine,urine,p057v_2,Painter
urine,urine,p060v_2,Cleaning panels
urine,urine,p063r_6,Verdigris and another very beautiful bright green
urine,urine,p076r_3,For making it blue
urine,urine,p076r_4,For making it violet 
urine,urine,p076r_5,For making it yellow
urine,urine,p081v_1,Sand
urine,urine,p112r_4,Putting to death the animal for molding
urine,urine,p115r_1,Make the cast, reheat the molds, &amp;c Note about everything above |-|
urine,urine,p129v_4,Spider molded on a leaf
urine,urine,p143r_1,Molding turtles
urine,urine,p144r_1,Turtles
urine,urine,p153r_1,Molding hollow for seals or other things
urine,urine,p160v_1,Molding a foot or hand
urine,urine,p163v_2,Crocum
urine,urine,p165v_1,Stance of animals
urine,urine,p165v_2,Keeping animals
urine,distilled urine,p031r_2,Colored waters
urine,old urine,p076r_2,For making wood red
urine,warm urine,p169v_2,Reducing a round figure to a hollow form
fingernail,fingernail,p011r_1,Painting esmail d’azur in oil
fingernail,fingernail,p053v_1,Silkworms
fingernail,fingernail,p068r_3,Casting
fingernail,fingernail,p087v_3,Sand of the mine of Thoulouse
fingernail,fingernail,p108r_2,Spalt
fingernail,fingernail,p111v_4,Lizards
fingernail,fingernail,p132v_2,Crocum ferri
eye,eyes,p011v_2,For getting rid of the redness of eyes or bruising
eye,eyes,p066v_3,Against bruising of the eyes
eye,eyes,p079r_2,For making water for disease of the eyes
eye,eyes,p123r_1, A means di far correr lotnegra
eye,eye,p015v_5,Ears
eye,eye,p062v_1,Drawing
eye,eye,p062v_2,Perspective
nail,nail,p011v_4,For diamond points for engraving
nail,nail,p106v_2,
nail,nail,p111v_4,Lizards
nail,nail of your right thumb,p019v_1, Mathematical figures without ruler and compass
foot,foot,p014r_1,For walls of earth and rustic construction
foot,foot,p024v_1,For bringing a cannon over land
foot,foot,p025v_1,Gunner
foot,foot,p094r_1,Furbisher
foot,foot,p102r_2,For the furnace
foot,foot,p110r_3,Snakes
foot,foot,p145r_2,Cuttlefish bone
foot,foot,p152v_1,Repairing cast things
foot,foot,p160v_1,Molding a foot or hand
foot,right d foot,p157v_3,For making h… wine f…rs
ear,ear,p015v_5,Ears
ear,ear,p015v_6,Tooth ache
ear,ear,p035r_1,For telling someone that you will show teach him something he does not know, and neither do you
ear,ear,p103v_4,Earwax
ear,ear,p125r_3,Hearing from afar
ear,ear,p145r_2,Cuttlefish bone
ear,ears,p015v_5,Ears
ear,ears,p033v_1,For making it seem that to someone that he has a piece of silver on his forehead
elbow,elbow,p015v_5,Ears
nostril,nostril,p015v_6,Tooth ache
tooth,tooth,p015v_6,Tooth ache
forehead,forehead,p016v_2,For removing fine hair from the forehead
forehead,forehead,p033v_1,For making it seem that to someone that he has a piece of silver on his forehead
forehead,forehead,p033v_2,For making blood or wine issue from someone’s forehead or from a wall
forehead,forehead,p034r_1,For telling someone that by putting holding a finger to his forehead, you will prevent him from exiting a chamber
forehead,forehead,p038v_2,Against nose bleed and for dyeing
thumb,thumb,p017r_1,On the gunner
thumb,thumb,p033v_1,For making it seem that to someone that he has a piece of silver on his forehead
thumb,thumb,p033v_2,For making blood or wine issue from someone’s forehead or from a wall
thumb,thumb,p037v_1,Gardener
thumb,thumb,p061v_4,Grinding colors
thumb,thumb,p066v_4,paintbrushes
thumb,thumb,p112v_1,For molding Making the arrangement and disposition of the animal
thumb,thumb,p121v_1,For casting in silver
thumb,thumbs,p102r_2,For the furnace
thumb,thumbs,p112v_1,For molding Making the arrangement and disposition of the animal
wind,wind,p019v_3,Enemas
wind,winds,p020v_2,Against winds, colic, &amp;c
wind,winds of the belly,p020v_2,Against winds, colic, &amp;c
wound,wounds,p024r_1,Grenades
feet,feet,p024v_1,For bringing a cannon over land
feet,feet,p069r_2,Sand
knee,knees,p028v_1,Pewterers
knee,knee,p145r_2,Cuttlefish bone
arm,arm's,p030r_1,Lead
arm,arm,p034r_1,For telling someone that by putting holding a finger to his forehead, you will prevent him from exiting a chamber
nose,nose,p033r_1,Knife for cutting the nose or a finger
nose,nose,p035r_1,For telling someone that you will show teach him something he does not know, and neither do you
nose,nose,p037v_2,Glassworker
nose,nose,p077r_2, Medicine of the orientals against all maladies
nose,nose,p097r_2,Gilding
nose,nose,p123r_1, A means di far correr lotnegra
thigh,thigh,p033r_1,Knife for cutting the nose or a finger
palm,palms,p033r_2,XFor relighting an extinguished candle between your hands without blowing
palm,palm,p074v_2,For making yellow varnish
saliva,saliva,p033v_1,For making it seem that to someone that he has a piece of silver on his forehead
saliva,saliva,p134v_3,Secret for soldering gold and silver in small works
saliva,saliva,p167r_1,Petards
head,head,p033v_1,For making it seem that to someone that he has a piece of silver on his forehead
head,head,p033v_2,For making blood or wine issue from someone’s forehead or from a wall
head,head,p077r_2, Medicine of the orientals against all maladies
head,head,p097v_1,Mastic varnish dry in a half hour
blood,blood,p033v_2,For making blood or wine issue from someone’s forehead or from a wall
blood,blood,p120v_1,Crocum ferri
fingertip,fingertips,p036r_1,For transmuting a ball into a thimble, cunning
fingertip,fingertips,p065v_2,Painting large figures
fingertip,fingertip,p051r_2,Cutters of printing plates
fingertip,fingertip,p097v_1,Mastic varnish dry in a half hour
liver,liver,p037r_2,Medicine for the stomach which heats it and unstops the liver
breathe,breathes,p037v_2,Glassworker
breathe,breathe,p065r_4,Fatty colors
breathe,breathe,p121r_1,For keeping fruits all year
breath,breath,p041v_3,Colors and gilding on glass
breath,breath,p097v_2,Working on glass
breath,breath,p155r_1,Molding a rose
ditto,ditto,p043r_3,Purple
teeth,teeth,p046r_1,For the teeth, oil of sulfur
teeth,teeth,p047r_1,For teeth
neck,neck,p047r_3,Against falling sickness or vertigo
temple,temples,p047r_5,Against diarrhea and dysentery
back,back,p048v_1,Extraction of regulus
back,back of your hand,p061r_4,Lights
leg,legs,p054v_5,Boots of hay
cheek,cheeks,p057v_2,Painter
teat,teats,p066v_1,For preventing teats from swelling d or to diminish overly large ones
fistful,fistfuls,p089v_1,Sal ammoniac and alabaster
two,two,p091r_2,Molding with cuttlefish bone
sweating,sweating,p094r_1,Furbisher
hair,hair,p103r_1,Against burns, excellent
flesh,flesh,p103r_1,Against burns, excellent
flesh,flesh,p111v_4,Lizards
burn,burn,p103r_1,Against burns, excellent
burn,burns,p103r_1,Against burns, excellent
