prefLabel_en,verbatim_term,identity,title
sou,sous,p003r_2,Varnish for panels
sou,sous,p003r_3,Thick varnish for planks
sou,sous,p004v_1,Black varnish for sword guard, bands for trunks, &amp;c
sou,sous,p020r_2,Glassworker
sou,sous,p039r_1,Goldsmith
sou,sous,p044v_1,Horsehair sieves
sou,sous,p058v_4,Azure
sou,sous,p085v_4,Experimented sands
sou,sous,p094r_1,Furbisher
sou,sous,p097r_2,Gilding
sou,sous,p121v_2,Silver for casting
sou,sous,p123r_1, A means di far correr lotnegra
sou,sous,p126v_1,Crocum ferri
sou,sou,p154r_3,Sweetening silver
sou,old sou,p154r_3,Sweetening silver
sou,sous from spain,p164r_3,Leady silver
sou,sous from france,p164r_3,Leady silver
livre,livres,p009v_3,Waste book
livre,livres,p170v_1,1578-9 original first page
lb,lb,p017r_1,On the gunner
lb,lb,p020r_2,Glassworker
lb,lb,p032v_3,Founder
lb,lb,p094r_1,Furbisher
fran,frans,p030r_2,Pewterer
liard,liard,p036r_1,For transmuting a ball into a thimble, cunning
liard,liard,p094r_1,Furbisher
liard,liard,p104r_2,For etching on iron
franc,francs,p038v_6,Scarlets
lb.,lb.,p038v_6,Scarlets
florin,florins,p039r_2,Pastel woad
pistolet,pistolet,p039v_1,Enamel
pistolet,pistolet,p124v_1,Rouge clair enamel
denier,deniers,p044r_1,The range of an arquebus
nan,s,p053v_1,Silkworms
carolu,carolus,p094r_1,Furbisher
carolu,carolus,p154r_3,Sweetening silver
teston,teston,p103v_2,Cast
teston,teston,p121v_2,Silver for casting
teston,teston,p128v_1,Whitening of cast silver
écu,écu,p124v_1,Rouge clair enamel
écu,écu,p170v_2,Against plague
écu,écus,p170v_1,1578-9 original first page
real,real,p128r_1,Casting in silver and gold
real,real,p154r_3,Sweetening silver
real,reals,p164r_3,Leady silver
billon,billon,p156r_2,Very light and hollow work of gold
lb t.,lb t.,p009v_3,Waste book
gold denier,gold denier,p149v_2,Gold solder
old douzain,old douzains,p149v_2,Gold solder
