prefLabel_en,verbatim_term,identity,title
rain,rain,p003r_2,Varnish for panels
rain,rain,p054v_5,Boots of hay
rain,rain,p125r_1,Plaster
rain,rains,p068r_2,Planting trees
rain,the first rain,p067r_4,Varnish on paper
courtyard,courtyard,p004v_1,Black varnish for sword guard, bands for trunks, &amp;c
sun,sun,p005r_2,Concave mirrors
sun,sun,p069r_2,Sand
sun,sun,p100r_5,Windows that the sun will not pass
sun,sun,p120v_6,Keeping dry flowers in the same state all year
sun,hot sun,p120v_6,Keeping dry flowers in the same state all year
sun,sun in june,p129v_1,Animals dried in the oven for a long time
window,window,p005r_2,Concave mirrors
street,street,p005r_2,Concave mirrors
wall,wall,p008r_4,For making a breach in a wall by night
wall,wall,p014r_1,For walls of earth and rustic construction
wall,wall,p033v_2,For making blood or wine issue from someone’s forehead or from a wall
wall,wall,p034r_3,For making a candlestick hold to the wall without making a hole in it
wall,walls,p014r_1,For walls of earth and rustic construction
wall,walls,p017r_1,On the gunner
wall,partition walls of rooms,p032v_1,Mat maker
court,court,p009r_3,Merchant
mountain,mountains,p012r_4,Plaster
mountain,mountains,p049v_3,Birds
chamber,chamber,p013v_3,Toadstone
chamber,chamber,p034r_1,For telling someone that by putting holding a finger to his forehead, you will prevent him from exiting a chamber
trench,trenches,p017r_1,On the gunner
gabion,gabions,p017r_1,On the gunner
barricade,barricade,p017r_1,On the gunner
house,houses,p017r_1,On the gunner
house,houses,p106v_3,Tiles
house,house,p166r_1,For the workshop
house,house or elsewhere,p017r_1,On the gunner
house,private houses,p017r_1,On the gunner
tower,tower,p017r_1,On the gunner
city,cities,p017r_1,On the gunner
city,city,p017r_1,On the gunner
city,cities where they are sworn masters,p044r_2,Pewterer
casemate,casemates,p017r_1,On the gunner
casemate,ditch casemates,p017r_1,On the gunner
hearth,hearth,p020r_1,For making millas
hearth,hearth,p093r_4,Sand
church,church,p020v_5,Common saying
church,church,p038r_3,Sapphire
church,churches,p049r_1,Casting of lead
land,land,p024v_1,For bringing a cannon over land
mine,mine,p028v_1,Pewterers
mine,mine,p050v_2,Curried steel and files
mine,mine,p063r_3,Casting
mine,mine,p084v_4,Sand for lead, the most excellent of all, for high and low reliefs
mine,mine,p085v_3,Sand from the mine
mine,mine,p086v_1,Excellent sand for lead, tin, and copper
mine,mine,p087v_3,Sand of the mine of Thoulouse
mine,mine,p088v_1,Sand from pulverized rock salt and sand from the mine finely ground on marble 
mine,mine,p089v_2,Glassmakers’ white sand from the mine, mixed with sal ammoniac
mine,mine,p090r_3,All sands can be rendered good
mine,mine,p132v_1,Common sand from the mine
mine,mine in thoulouse,p084r_5,Sand from a mine in Thoulouse
countryside,countryside,p028v_1,Pewterers
humidity,humidity,p031v_1,Painter
kitchen,kitchen,p035r_2,For supporting a bucket of water on the tips of three knives laid down without touching the ground
kitchen,kitchens,p093r_5,Sand
kitchen,big kitchens,p093r_5,Sand
burrow,burrows,p035r_4,For making rabbits come out of a burrow
burrow,burrow,p035r_4,For making rabbits come out of a burrow
chimney,chimney,p038r_4,Amber
grotto,grottos,p040r_5,Grottos
grotto,grottos,p118r_1,Snails
grotto,grottos,p118r_3,For grottos
grotto,grottos,p169r_1,List of processes
grotto,grotto,p110r_2,Rock &amp; grotto
grotto,grotto,p118r_3,For grottos
water,water,p041r_04,Ducks
water,water,p055v_3,For knowing the course one takes on the open sea
water,water,p112r_4,Putting to death the animal for molding
water,water,p143r_1,Molding turtles
water,water,p144r_1,Turtles
water,water,p146v_1,Molding turtles
water,water,p149r_3,Various arts from Germany
water,water,p160v_3,Catching crayfish
water,water where crayfish eat,p160v_3,Catching crayfish
cellar,cellar,p050r_1,Keeping fruit for the entire year
cellar,cellar,p083r_6,Excellent sand
cellar,cellar,p084r_3,Eau magistra
cellar,cellar,p088v_1,Sand from pulverized rock salt and sand from the mine finely ground on marble 
cellar,cellar,p090r_1,Sal ammoniac and iron dross
cellar,cellar,p121r_1,For keeping fruits all year
garden,gardens,p050v_1,Small birds
garden,gardens,p090v_2,Orange trees
garden,garden,p098r_2,Borders of a garden
garden,garden,p105v_1,Gardening
room,room,p053v_1,Silkworms
room,room,p160v_4,Catching passerines
room,rooms,p120v_6,Keeping dry flowers in the same state all year
room,well-closed room, where neither wind nor air may enter,p050r_1,Keeping fruit for the entire year
room,room accomodated with three or 4 levels of large shelves,p053v_1,Silkworms
room,the room, house, &amp;c,p170v_3,For preserving
quarry,quarry,p055v_4,For casting
quarry,quarry,p088v_2,Mineral sand
quarry,quarry,p108r_2,Spalt
quarry,quarries,p069r_2,Sand
workshop,workshop,p056v_1,Painter
workshop,workshop,p162r_1,For the workshop
workshop,workshop,p166r_1,For the workshop
light,light,p061r_4,Lights
firelight,firelight,p065r_3,Mirror
quarreriesry,quarreriesries,p069r_2,Sand
rock,rocks,p069r_2,Sand
sea,sea,p069r_2,Sand
sea,sea,p094r_1,Furbisher
sea,sea,p118r_1,Snails
sea,open sea,p055v_3,For knowing the course one takes on the open sea
river,river,p081v_3,Sand
river,river,p092v_1,Sand from river tellins and mussels
river,river,p169r_1,List of processes
river,rivers,p100v_1,Gemstones
river,rivers,p149r_2,Base gold from Germany, electrum
river,running river,p055r_4,Onenev elbirro hcihw sllik fi eno spets no a draob ro a ueirse purrits 
river,fresh water rivers,p092v_1,Sand from river tellins and mussels
wind,wind,p083v_3,Bellows
wind,wind,p093r_3,Grafts
wind,wind,p124r_1,Animals with hair and fragile and very thin flowers
wind,wind,p135v_1,Casting in ☼
wind,wind,p136v_1,For casting in latten
wind,wind,p137r_1,For casting in red copper
wind,autan wind,p013v_5,Candles
wind,wind or the cold,p115v_3,Reheating the noyau molds
wind,wind from a window,p132r_2,Method for reheating the molds
wind,the wind,p136v_1,For casting in latten
vineyard,vineyard,p087r_1,Sand from Thoulouse
vineyard,vineyard that is quite high up,p087r_1,Sand from Thoulouse
nature,nature,p088v_2,Mineral sand
cave,cave,p089v_1,Sal ammoniac and alabaster
town,town,p089v_2,Glassmakers’ white sand from the mine, mixed with sal ammoniac
freeze,freezes,p093r_2,Observation from rustics
frost,frost,p093r_2,Observation from rustics
frost,frost,p162v_1,Peach tree
path,paths,p100v_1,Gemstones
path,sandy paths,p069r_2,Sand
sunlight,sunlight,p103v_5,Enamels
cold,cold,p105v_5,Nightingale
