prefLabel_en,verbatim_term,identity,title
cinnamon,cinnamon,p001v_1,For easing the belly
cinnamon,cinnamon,p048r_3,Excellent mustard
cinnamon,cinnamon or clove oil,p047r_1,For teeth
sugar,sugar,p001v_1,For easing the belly
sugar,sugar,p020v_6,A form of regimen
sugar,sugar,p031r_4,Fruit made from sugar
sugar,sugar,p071r_3,Mulled and sugared wine
sugar,sugar,p106r_2,Making gold run for casting
sugar,sugar,p125v_2,Molding turtles
sugar,sugar,p126r_1,Molding fruits and animals in sugar
sugar,sugar,p139v_1,Cast of wax to represent an animal that one has not got
sugar,sugar,p169r_1,List of processes
sugar,sugar,p169v_2,Reducing a round figure to a hollow form
sugar,candy sugar,p006r_1,For laying down and seating burnished gold and giving red or green or blue
sugar,candy sugar,p032r_3,For layering gold in distemper
sugar,well clarified sugar,p126r_1,Molding fruits and animals in sugar
water,water,p001v_1,For easing the belly
water,water,p003r_1,Counterfeit coral
water,water,p004r_2,For removing varnish from an old panel that is yellowish &amp; varnishing it anew
water,water,p005r_1,Steel mirrors
water,water,p006r_1,For laying down and seating burnished gold and giving red or green or blue
water,water,p007v_3,For relieving the pain of G.
water,water,p008v_5,Perfect amalgam
water,water,p010r_5,Powder for hourglasses
water,water,p010v_1,For painting in oil on taffeta without the oil running
water,water,p011r_1,Painting esmail d’azur in oil
water,water,p011v_1,Color of Damascus steel on knives
water,water,p012r_1,For molding sulfur
water,water,p012r_4,Plaster
water,water,p016r_1,Founding of soft iron
water,water,p021r_2,For firing a cannon at night
water,water,p023r_1,On petards
water,water,p028v_1,Pewterers
water,water,p029r_1,Stucco for molding
water,water,p029v_2,Layer of burnished gold on paper
water,water,p029v_6,Dragon’s blood
water,water,p031r_3,Varnish resistant to water
water,water,p032r_3,For layering gold in distemper
water,water,p032v_3,Founder
water,water,p035r_2,For supporting a bucket of water on the tips of three knives laid down without touching the ground
water,water,p035r_3,For boiling an egg in cold water without fire
water,water,p037r_4,For keeping candles from dripping and making them white
water,water,p038r_4,Amber
water,water,p040r_2,Aquafortis
water,water,p040r_3,Vinegar
water,water,p042r_2,Wax for seal and imprint
water,water,p042v_1,Pounced design for scratching satin
water,water,p042v_2,Canvas for painting in oil without breaking
water,water,p044v_2,Excellent water against the plague of Monsieur de Montorsin
water,water,p047r_1,For teeth
water,water,p047v_1,A drink having a taste of wine
water,water,p048v_2,Lead, tin
water,water,p049v_2,Grain of lead
water,water,p050r_1,Keeping fruit for the entire year
water,water,p050v_2,Curried steel and files
water,water,p055v_3,For knowing the course one takes on the open sea
water,water,p055v_4,For casting
water,water,p056r_1,Excellent tempering bath for cuirass bodies
water,water,p056v_1,Painter
water,water,p057v_2,Painter
water,water,p058v_4,Azure
water,water,p058v_5,Paintbrushes
water,water,p059r_2,Azure
water,water,p061v_1,Water to give light for the painter
water,water,p061v_3,Azur d’esmail in oil
water,water,p062v_1,Drawing
water,water,p063r_6,Verdigris and another very beautiful bright green
water,water,p063v_3,Stil de grain yellow
water,water,p064r_3,Vermilion
water,water,p064r_4,Oil colors in water
water,water,p065r_4,Fatty colors
water,water,p065v_6,From nature
water,water,p066r_3,Painting in distemper on wood
water,water,p066r_6" continued="yes,* Or mat
water,water,p066v_4,Paintbrushes
water,water,p068r_3,Casting
water,water,p073r_1,For making blue varnish
water,water,p073r_2,For orange color
water,water,p073r_3,For ridding bone or horn of grease
water,water,p074v_2,For making yellow varnish
water,water,p075r_2,Bronze of copper
water,water,p077r_4,Recipe for making bronze and varnish of many sorts
water,water,p078r_2,For making red varnish
water,water,p078v_4,For making bronze
water,water,p080r_3,Fountains
water,water,p081r_3,Plaster
water,water,p081r_4,Carton
water,water,p083v_1,A way for molding excellently with water
water,water,p084v_4,Sand for lead, the most excellent of all, for high and low reliefs
water,water,p088v_2,Mineral sand
water,water,p090r_3,All sands can be rendered good
water,water,p090v_1,Terre fondue of potters
water,water,p092r_2,Molding hollow on one side and in relief on the other
water,water,p094r_1,Furbisher
water,water,p097v_1,Mastic varnish dry in a half hour
water,water,p098v_5,Founding
water,water,p100v_1,Gemstones
water,water,p102v_2,Infusion of anthos or rosemary
water,water,p103r_1,Against burns, excellent
water,water,p103r_2,Against dogs’ mange
water,water,p103v_5,Enamels
water,water,p104r_2,For etching on iron
water,water,p105v_2,Fountain maker
water,water,p106r_2,Making gold run for casting
water,water,p106v_2,
water,water,p107r_1,Catching lizards and snakes
water,water,p108r_2,Spalt
water,water,p110r_2,Rock &amp; grotto
water,water,p110v_1,Molds
water,water,p111r_4,Clay earth
water,water,p111v_1,Sal ammoniac water
water,water,p111v_5,Composition of sand
water,water,p112r_1,For tempering sand
water,water,p112v_1,For molding Making the arrangement and disposition of the animal
water,water,p113r_1,Tempering the sand and molding the first cast
water,water,p114r_1,Second cast
water,water,p115r_1,Make the cast, reheat the molds, &amp;c Note about everything above |-|
water,water,p116r_2,Molding de en noyau with the same sand, wax images or lead medals and suchlike
water,water,p116v_2,Mixture of tin and lead
water,water,p117r_1,A means of molding flowers and plants
water,water,p117v_4,Molding à noyau figures of wax or medals of lead
water,water,p118v_1,Casting in frames
water,water,p119v_1,Fashion of preparing a spalt spat
water,water,p121r_1,For keeping fruits all year
water,water,p121v_1,For casting in silver
water,water,p124r_3,Spider’s web
water,water,p124v_2,Casting with gold
water,water,p125r_1,Plaster
water,water,p126r_1,Molding fruits and animals in sugar
water,water,p128v_1,Whitening of cast silver
water,water,p131v_1,When the cast of tin or lead becomes porous
water,water,p135v_1,Casting in ☼
water,water,p136v_1,For casting in latten
water,water,p137r_1,For casting in red copper
water,water,p137r_2,Huile tingente to make metals run
water,water,p137v_1,Tempering sand for molds of flat medals
water,water,p139v_1,Cast of wax to represent an animal that one has not got
water,water,p141r_1,Molding a crayfish
water,water,p143r_2,Molders from Foix
water,water,p143v_2,Iron filings
water,water,p144r_1,Turtles
water,water,p145v_1,Molding plants and flowers
water,water,p146v_1,Molding turtles
water,water,p148r_1,Beautiful color for latten
water,water,p150v_1,Molding hollow
water,water,p154v_3,The casting of silver
water,water,p155r_1,Molding a rose
water,water,p157v_3,For making h… wine f…rs
water,water,p159v_4,Plaster alone
water,water,p160r_2,Sand for flowers
water,water,p161r_1,Preparation of sand for frames
water,water,p163r_2,Eau-de-vie
water,water,p164v_2,Sand
water,water,p165r_2,Lake
water,waters,p011r_1,Painting esmail d’azur in oil
water,waters,p055v_1,Another for waters
water,waters,p055v_2,Damascus steel
water,cold water,p003r_3,Thick varnish for planks
water,cold water,p035r_3,For boiling an egg in cold water without fire
water,cold water,p056v_1,Painter
water,cold water,p109r_3,Molding wax
water,cold water,p110v_1,Molds
