prefLabel_en,verbatim_term,identity,title
|ʒ|,|ʒ|,p002v_2,Emeralds of Brissac
hour,hours,p002v_2,Emeralds of Brissac
hour,hours,p002v_3,Sapphire
hour,hours,p004v_3,Varnish of iron etchers
hour,hours,p010v_1,For painting in oil on taffeta without the oil running
hour,hours,p015v_6,Tooth ache
hour,hours,p043v_1,Varied and transmuted wine
hour,hours,p044r_4,Lake
hour,hours,p066r_6,* Or mat
hour,hours,p074r_3,For making varnish
hour,hours,p076r_1,For making wood green
hour,hours,p079r_3,For making bronze in the color of gold
hour,hours,p086v_1,Excellent sand for lead, tin, and copper
hour,hours,p092v_2,Congealing mercury
hour,hours,p094r_1,Furbisher
hour,hours,p098v_5,Founding
hour,hours,p104r_1,For eating away and dissolving entirely pure gold
hour,hours,p104r_5,Enameling a cornaline
hour,hours,p106v_3,Tiles
hour,hours,p109r_5,Snakes for molding
hour,hours,p123r_1, A means di far correr lotnegra
hour,hour,p003r_1,Counterfeit coral
hour,hour,p060v_1,Varnish dry in an hour
hour,hour,p066r_6,* Or mat
hour,hour,p067v_3,Huiles d’essence
hour,hour,p075v_4,Recipe for putting all woods in color
hour,hour,p078v_3,For making bone or horn green
hour,hour,p096v_1,Grey guards
hour,good hours,p051r_2,Cutters of printing plates
hour,half hour,p097v_1,Mastic varnish dry in a half hour
hour,half hour,p115v_3,Reheating the noyau molds
hour,hour &amp; a half,p100v_1,Gemstones
hour,hour &amp; a half,p101r_1,Topaz
hour,quarter hour,p108r_2,Spalt
hour,quarter hour,p110r_3,Snakes
hour,quarter hour,p114r_1,Second cast
hour,an hour or a half,p112r_4,Putting to death the animal for molding
hour,a good hour,p139v_1,Cast of wax to represent an animal that one has not got
grain,grains,p002v_2,Emeralds of Brissac
grain,grains,p002v_3,Sapphire
grain,grains,p048r_2,Curing dogs of mange
grain,grains,p104r_2,For etching on iron
grain,grains,p116v_2,Mixture of tin and lead
grain,grains,p118v_1,Casting in frames
grain,grain,p100v_2,For ruby take some gold leaf
grain,grain,p149v_2,Gold solder
grain,pepper grains,p037r_2,Medicine for the stomach which heats it and unstops the liver
grain,grains of gold,p100v_2,For ruby take some gold leaf
grain,grains, like peas,p147v_4,Cast of latten
℥,℥,p002v_2,Emeralds of Brissac
℥,℥,p002v_3,Sapphire
℥,℥,p007v_4,Against gonorrhea
℥,℥,p010r_5,Powder for hourglasses
℥,℥,p043r_3,Purple
℥,℥,p047r_1,For teeth
℥,℥,p071v_1,Varnish
℥,℥,p083r_6,Excellent sand
℥,℥,p089v_1,Sal ammoniac and alabaster
℥,℥,p092r_1,Sand Mixture easy to melt
℥,℥,p092v_2,Congealing mercury
℥,℥,p097v_1,Mastic varnish dry in a half hour
℥,℥,p100v_1,Gemstones
℥,℥,p100v_2,For ruby take some gold leaf
℥,℥,p104r_2,For etching on iron
℥,℥,p104v_1,Against dogs’ mange
℥,℥,p118r_4,Looking-glass tin
℥,℥,p123r_1, A means di far correr lotnegra
℥,℥,p131v_1,When the cast of tin or lead becomes porous
℥,℥,p139r_1,Casts of lead and tin
℥,℥,p140v_3,Cast of lead and tin in plaster
℥,℥,p150r_2,Various alloys of tin and lead
℥,half an ℥,p047r_1,For teeth
℥,half an ℥,p104v_1,Against dogs’ mange
ounce,ounce,p003r_1,Counterfeit coral
ounce,ounce,p024r_1,Grenades
ounce,ounce,p039r_1,Goldsmith
ounce,ounce,p053v_1,Silkworms
ounce,ounce,p066r_6,* Or mat
ounce,ounce,p073r_5,For making bronze in gold color
ounce,ounce,p073v_2,Varnish
ounce,ounce,p073v_3,Another recipe for making varnish
ounce,ounce,p073v_4,Color of burnished copper
ounce,ounce,p075r_4,For making aquafortis
ounce,ounce,p076r_1,For making wood green
ounce,ounce,p076r_2,For making wood red
ounce,ounce,p076r_3,For making it blue
ounce,ounce,p076r_4,For making it violet 
ounce,ounce,p076r_5,For making it yellow
ounce,ounce,p077r_4,Recipe for making bronze and varnish of many sorts
ounce,ounce,p077v_3,Another varnish
ounce,ounce,p078r_1,Another varnish
ounce,ounce,p118r_4,Looking-glass tin
ounce,ounce,p118v_1,Casting in frames
ounce,ounce,p126v_1,Crocum ferri
ounce,ounces,p004r_1,Varnish of spike lavender oil
ounce,ounces,p040r_2,Aquafortis
ounce,ounces,p053v_1,Silkworms
ounce,ounces,p073v_2,Varnish
ounce,ounces,p074r_3,For making varnish
ounce,ounces,p075r_3,Bronze like tin
ounce,ounces,p076r_2,For making wood red
ounce,ounces,p076r_5,For making it yellow
ounce,ounces,p076v_4,For gilding iron or tin
ounce,ounces,p077r_4,Recipe for making bronze and varnish of many sorts
ounce,ounces,p077v_1,Another approved varnish
ounce,ounces,p079r_3,For making bronze in the color of gold
ounce,ounces,p099v_6,Varnish
ounce,ounces,p102v_2,Infusion of anthos or rosemary
ounce,ounces,p110v_3,Cast of lead and tin
ounce,ounces,p123r_1, A means di far correr lotnegra
ounce,ounces,p145v_1,Molding plants and flowers
ounce,half an ounce,p005v_1,For bronzing in yellow and white
ounce,half an ounce,p007v_3,For relieving the pain of G.
ounce,half an ounce,p052r_1,The work done in Algiers
ounce,half an ounce,p074r_3,For making varnish
ounce,half an ounce,p076r_3,For making it blue
ounce,quarter ounce,p073v_3,Another recipe for making varnish
ounce,half ounce,p078r_1,Another varnish
lb,lb,p003r_1,Counterfeit coral
lb,lb,p003r_2,Varnish for panels
lb,lb,p003r_3,Thick varnish for planks
lb,lb,p004r_1,Varnish of spike lavender oil
lb,lb,p004v_1,Black varnish for sword guard, bands for trunks, &amp;c
lb,lb,p007v_3,For relieving the pain of G.
lb,lb,p007v_4,Against gonorrhea
lb,lb,p010r_5,Powder for hourglasses
lb,lb,p016r_1,Founding of soft iron
lb,lb,p017r_1,On the gunner
lb,lb,p022r_1,Cannon ball, weighing 40 lb, having 12 lines, king's foot.
lb,lb,p022v_1,Orgues
lb,lb,p023r_1,On petards
lb,lb,p023v_1,
lb,lb,p024r_1,Grenades
lb,lb,p027v_7,60 lb musket, is 5 pans and a half or 6
lb,lb,p028v_1,Pewterers
lb,lb,p039r_1,Goldsmith
lb,lb,p044r_2,Pewterer
lb,lb,p048v_1,Extraction of regulus
lb,lb,p048v_2,Lead, tin
lb,lb,p049r_1,Casting of lead
lb,lb,p049r_4,Pewterers
lb,lb,p052r_1,The work done in Algiers
lb,lb,p053v_1,Silkworms
lb,lb,p069r_2,Sand
lb,lb,p072v_1,Casting
lb,lb,p079v_3,Tin for casting
lb,lb,p080r_1,Petard
lb,lb,p083r_6,Excellent sand
lb,lb,p089v_1,Sal ammoniac and alabaster
lb,lb,p094r_1,Furbisher
lb,lb,p110v_3,Cast of lead and tin
lb,lb,p118r_4,Looking-glass tin
lb,lb,p118v_1,Casting in frames
lb,lb,p131v_1,When the cast of tin or lead becomes porous
lb,lb,p135v_1,Casting in ☼
lb,lb,p139r_1,Casts of lead and tin
lb,lb,p145v_1,Molding plants and flowers
lb,lb,p150r_2,Various alloys of tin and lead
lb,lb,p167r_1,Petards
lb,lbs,p003r_3,Thick varnish for planks
lb,half a lb,p005v_1,For bronzing in yellow and white
lb,half a lb,p007v_3,For relieving the pain of G.
lb,half a lb,p048v_1,Extraction of regulus
lb,half a lb,p052r_1,The work done in Algiers
lb,lb, according to the king’s ordinance, per quintal,p017r_1,On the gunner
lb,lb per quintal,p017r_1,On the gunner
lb,half lb,p071v_1,Varnish
lb,lb a dozen,p094r_1,Furbisher
lb,lb &amp; a half or two,p116v_2,Mixture of tin and lead
bucket,bucket,p003r_3,Thick varnish for planks
bucket,bucket,p004r_2,For removing varnish from an old panel that is yellowish &amp; varnishing it anew
half,half,p005r_1,Steel mirrors
half,half,p007v_2,Against windy colic
half,half,p008v_4,Mixture of Pewterers 
half,half,p023v_1,
half,half,p047v_2,Founding
half,half,p049r_1,Casting of lead
half,half,p053r_3,Casting of lead
half,half,p061v_2,Frames of the Germans 
half,half,p068r_3,Casting
half,half,p079v_2,Antidote against the fumes of metals
half,half,p082v_4,Method of casting in bronze
half,half,p086v_1,Excellent sand for lead, tin, and copper
half,half,p092r_4,Molding statues
half,half,p107r_1,Catching lizards and snakes
half,half,p123r_1, A means di far correr lotnegra
half,half,p132v_2,Crocum ferri
half,half,p139r_1,Casts of lead and tin
half,half,p139v_1,Cast of wax to represent an animal that one has not got
half,half,p142v_3,Lute for luting your molds
half,half,p147v_4,Cast of latten
half,half,p148r_2,Whitening
half,half,p150r_2,Various alloys of tin and lead
half,half,p150v_1,Molding hollow
half,half,p154r_3,Sweetening silver
half,half,p163r_1,Perfumer
half,almost half,p061v_2,Frames of the Germans 
half,half ℥,p097v_1,Mastic varnish dry in a half hour
half,half of the others,p134v_1,For making ☀ run
half,half of its thickness,p158v_4,Gate
pace,pace,p005r_2,Concave mirrors
pace,paces,p017r_1,On the gunner
pace,paces,p024v_1,For bringing a cannon over land
pace,paces,p044r_1,The range of an arquebus
pace,paces,p045r_1,Loading an arquebus with hail shot
pace,paces,p049v_2,Grain of lead
pace,paces,p105v_3,Catching nightingales See the 15th folio after this.
day,days,p007r_1,For gilding with gold color and tinsel
day,days,p012r_2,Chimolée
day,days,p029r_1,Stucco for molding
day,days,p044v_2,Excellent water against the plague of Monsieur de Montorsin
day,days,p044v_3,White soporific oil
day,days,p048r_2,Curing dogs of mange
day,days,p053v_1,Silkworms
day,days,p055r_4,Onenev elbirro hcihw sllik fi eno spets no a draob ro a ueirse purrits 
day,days,p056r_1,Excellent tempering bath for cuirass bodies
day,days,p059v_4,Desiccative
day,days,p066r_6,* Or mat
day,days,p066v_1,For preventing teats from swelling d or to diminish overly large ones
day,days,p075v_4,Recipe for putting all woods in color
day,days,p076r_1,For making wood green
day,days,p076v_1,For making very beautiful color of gold &amp; of little expense
day,days,p077r_4,Recipe for making bronze and varnish of many sorts
day,days,p078r_3,For making green trwood
day,days,p085r_1,Green varnish for medals of copper
day,days,p089v_1,Sal ammoniac and alabaster
day,days,p089v_2,Glassmakers’ white sand from the mine, mixed with sal ammoniac
day,days,p102v_2,Infusion of anthos or rosemary
day,days,p105r_4,Gardening
day,days,p107r_1,Catching lizards and snakes
day,days,p109r_5,Snakes for molding
day,days,p114r_1,Second cast
day,days,p126v_3,Plants difficult to burn in the noyau
day,days,p132v_2,Crocum ferri
day,days,p144r_1,Turtles
day,days,p148v_1,Molding turtles
day,days,p152r_1,Molding a rat
day,days,p161r_1,Preparation of sand for frames
day,days,p162v_3,Bittern foot
day,day,p029r_1,Stucco for molding
day,day,p059v_4,Desiccative
day,day,p066r_6,* Or mat
day,day,p073r_1,For making blue varnish
day,day,p073v_4,Color of burnished copper
day,day,p096v_2,Color of water
day,day,p100v_2,For ruby take some gold leaf
day,day,p101v_1,Jacinth
day,day,p102v_2,Infusion of anthos or rosemary
day,day,p105v_4,Nightingale
day,day,p114r_1,Second cast
day,day,p126r_1,Molding fruits and animals in sugar
day,day,p139v_1,Cast of wax to represent an animal that one has not got
day,day,p161v_1,Crocum ferri
day,day,p165r_6,Repairing snakes and lizards
day,half a day,p004v_1,Black varnish for sword guard, bands for trunks, &amp;c
day,half a day,p120r_3,IlNightingale
day,every eight days,p044r_3,Arquebus
day,a day,p094r_1,Furbisher
day,twice a day,p103r_1,Against burns, excellent
day,three or four days and three days and three nights,p120r_2,Sand for casting in gold
day,several days,p120v_6,Keeping dry flowers in the same state all year
day,natural day,p123r_1, A means di far correr lotnegra
day,one day and one night,p126r_1,Molding fruits and animals in sugar
day,a day &amp; a night,p129v_1,Animals dried in the oven for a long time
dose,dose,p007v_2,Against windy colic
dose,dose,p101r_1,Topaz
dozen,dozen,p007v_2,Against windy colic
dozen,dozen,p044v_1,Horsehair sieves
dozen,dozen,p094r_1,Furbisher
dozen,dozens,p094r_1,Furbisher
ʒ,ʒ,p007v_4,Against gonorrhea
cane,cane,p009v_3,Waste book
cane,cane,p027v_4,2 quintals, is one cane long, which is 8 Montpellier pans
cane,canes,p023r_1,On petards
livre,livres,p009v_3,Waste book
livre,livres per canne,p009v_3,Waste book
canne,canne,p009v_3,Waste book
foot,foot,p014r_1,For walls of earth and rustic construction
foot,foot,p024v_1,For bringing a cannon over land
foot,foot,p025v_1,Gunner
foot,foot,p102r_2,For the furnace
foot,king's foot,p022r_1,Cannon ball, weighing 40 lb, having 12 lines, king's foot.
foot,half a foot,p040v_4,Aquafortis
foot,half a foot,p094r_1,Furbisher
month,month,p015r_2,Foundry casting
month,month,p041r_04,Ducks
month,month,p114r_1,Second cast
month,months,p016v_4,Keeping oranges
month,months,p106v_2,
shovel,shovels,p016r_1,Founding of soft iron
handful,handfuls,p016r_1,Founding of soft iron
handful,handfuls,p031r_1,New vine
handful,double handfuls,p056r_1,Excellent tempering bath for cuirass bodies
pan,pans,p016r_1,Founding of soft iron
pan,pans,p017r_1,On the gunner
pan,pans,p022v_1,Orgues
pan,pans,p023r_1,On petards
pan,pans,p027v_2,Falconet of 4 quintals, alternatively passe-volant, is 8 pans long
pan,pans,p027v_3,3 quintals, is 9 pans long
pan,pans,p027v_5,1 quintal, is six pans and a half
pan,pans,p027v_6,1 quintal and a half is 7 pans and a half
pan,pans,p027v_7,60 lb musket, is 5 pans and a half or 6
pan,pans,p027v_8,5 quintals is eleven pans and a half
pan,pans,p044r_1,The range of an arquebus
pan,pan,p016r_1,Founding of soft iron
pan,pan,p017r_1,On the gunner
pan,pan,p022v_1,Orgues
pan,pan,p023r_1,On petards
pan,pan &amp; a half,p016r_1,Founding of soft iron
pan,king’s pan,p017r_1,On the gunner
pan,pan of montpellier,p017r_1,On the gunner
pan,montpellier pans,p027v_4,2 quintals, is one cane long, which is 8 Montpellier pans
quintal,quintals,p016r_1,Founding of soft iron
quintal,quintals,p017r_1,On the gunner
quintal,quintals,p020v_5,Common saying
quintal,quintals,p023r_1,On petards
quintal,quintals,p023v_1,
quintal,quintals,p024v_1,For bringing a cannon over land
quintal,quintals,p025v_1,Gunner
quintal,quintals,p027v_2,Falconet of 4 quintals, alternatively passe-volant, is 8 pans long
quintal,quintals,p027v_3,3 quintals, is 9 pans long
quintal,quintals,p027v_4,2 quintals, is one cane long, which is 8 Montpellier pans
quintal,quintals,p027v_8,5 quintals is eleven pans and a half
quintal,quintals,p028r_1,The measure of the caliber of pieces
quintal,quintal,p017r_1,On the gunner
quintal,quintal,p023r_1,On petards
quintal,quintal,p027v_5,1 quintal, is six pans and a half
quintal,quintal,p027v_6,1 quintal and a half is 7 pans and a half
quintal,quintal,p028v_1,Pewterers
quintal,quintal,p032v_3,Founder
quintal,quintal,p044r_2,Pewterer
quintal,quintal,p048v_2,Lead, tin
quintal,quintal,p049r_4,Pewterers
quintal,quintal,p079v_3,Tin for casting
quintal,quintals &amp; a half,p017r_1,On the gunner
quintal,one quintal of metal for two of rosette,p017r_1,On the gunner
biggest,biggest,p016r_1,Founding of soft iron
pound,pounds,p017r_1,On the gunner
pound,pounds,p040r_2,Aquafortis
