prefLabel_en,verbatim_term,identity,title
mollifying,mollifying,p001v_1,For easing the belly
injectionem,injectionem,p007v_4,Against gonorrhea
toadstone,toadstone,p013v_3,Toadstone
defluxion,defluxion,p015v_5,Ears
injection,injection,p016v_1,Against Go
enema,enemas,p019v_3,Enemas
enema,enema,p103v_1,Enema
nourishing,nourishing,p020v_6,A form of regimen
wound,wounds,p021v_2,Defense of a town
wound,wounds,p024r_1,Grenades
whiten,whiten,p046r_1,For the teeth, oil of sulfur
dysentery,dysentery,p047r_5,Against diarrhea and dysentery
fume,fumes,p048v_1,Extraction of regulus
soften,softens,p066v_1,For preventing teats from swelling d or to diminish overly large ones
rheum,rheums,p077r_2, Medicine of the orientals against all maladies
humor,humor,p093r_3,Grafts
headache,headache,p103v_4,Earwax
remedy,remedy,p109v_1,Toad
plastered,plastered,p120v_1,Crocum ferri
antidote,antidote,p122r_2,Flower in the mouth of the snake
antidote,antidote against the fumes of metals,p079v_2,Antidote against the fumes of metals
poison,poison,p149r_2,Base gold from Germany, electrum
poison,poison,p170v_2,Against plague
plague,plague,p170v_2,Against plague
for easing the belly,for easing the belly,p001v_1,For easing the belly
for the stomach,for the stomach,p001v_1,For easing the belly
eases the belly,eases the belly,p001v_1,For easing the belly
against pain,against pains,p002r_2,Against pains
against the suffocation of the matrix,against the suffocation of the matrix,p007v_2,Against windy colic
against windy colic,against windy colic,p007v_2,Against windy colic
for relieving the pain of g.,for relieving the pain of g.,p007v_3,For relieving the pain of G.
against gonorrhea,against gonorrhea,p007v_4,Against gonorrhea
for getting rid of the redness of eyes or bruising,for getting rid of the redness of eyes or bruising,p011v_2,For getting rid of the redness of eyes or bruising
they will be neither able to move, nor speak, nor thwart thiefe,they will be neither able to move, nor speak, nor thwart thieves,p013v_3,Toadstone
one ought only to touch the ear &amp; the eye with the elbow,one ought only to touch the ear &amp; the eye with the elbow,p015v_5,Ears
comforts quite well,comforts quite well,p015v_5,Ears
tooth ache,tooth ache,p015v_6,Tooth ache
against go,against go,p016v_1,Against Go
for removing fine hair from the forehead,for removing fine hair from the forehead,p016v_2,For removing fine hair from the forehead
for whitening the face,for whitening the face,p020v_1,For whitening the face
against the windy colic,against the windy colic,p020v_2,Against winds, colic, &amp;c
for the winds of the belly,for the winds of the belly,p020v_2,Against winds, colic, &amp;c
against winds, colic, &amp;c,against winds, colic, &amp;c,p020v_2,Against winds, colic, &amp;c
against burn,against burn,p020v_4,Against burn
against burn,against burns,p103r_1,Against burns, excellent
a form of regiman,a form of regimen,p020v_6,A form of regimen
makes a good stomach,makes a good stomach,p020v_6,A form of regimen
benefits the stomach without heating the liver,benefits the stomach without heating the liver,p037r_2,Medicine for the stomach which heats it and unstops the liver
unstops the liver,unstops the liver,p037r_2,Medicine for the stomach which heats it and unstops the liver
medicine for the stomach which heats it,medicine for the stomach which heats it,p037r_2,Medicine for the stomach which heats it and unstops the liver
dissipates the phlegm &amp; the winds which arise from it,dissipates the phlegm &amp; the winds which arise from it,p037r_2,Medicine for the stomach which heats it and unstops the liver
nose bleed,nose bleed,p038v_2,Against nose bleed and for dyeing
forehead of the one who bleed,forehead of the one who bleeds,p038v_2,Against nose bleed and for dyeing
water against the plague,water against the plague,p044v_2,Excellent water against the plague of Monsieur de Montorsin
white soporific oil,white soporific oil,p044v_3,White soporific oil
will soon feel like sleeping,will soon feel like sleeping,p044v_3,White soporific oil
for the teeth,for the teeth,p046r_1,For the teeth, oil of sulfur
