prefLabel_en,verbatim_term,identity,title
guitar,guitar,p004r_1,Varnish of spike lavender oil
guitar,guitar,p007r_4,Fish glue or isinglass and mouth glue
cittern,cittern,p104v_4,Spinet playing by itself
cittern,cittern,p114r_1,Second cast
spinet,spinet,p104v_4,Spinet playing by itself
spinet,spinet,p111r_5,Iron wire
spinet,spinet,p156v_1,Molding a fly
spinet,spinet,p157r_5,Flies
spinet,spinet,p165v_1,Stance of animals
spinet,spinets,p112v_1,For molding Making the arrangement and disposition of the animal
mandore,mandore,p112v_1,For molding Making the arrangement and disposition of the animal
mandore,mandore,p113r_1,Tempering the sand and molding the first cast
mandore,mandore,p114r_1,Second cast
mandore,mandore,p116r_2,Molding de en noyau with the same sand, wax images or lead medals and suchlike
mandore,mandore,p117r_1,A means of molding flowers and plants
