prefLabel_en,verbatim_term,identity,title
savonne,savonne,p001r_3,List of books
synesiu,synesius,p001r_3,List of books
volaterranu,volaterranus,p001r_5,List of books and authors
higinu,higinus,p001r_5,List of books and authors
festu,festus,p001r_5,List of books and authors
seneca,seneca,p001r_5,List of books and authors
athenaeu,athenaeus,p001r_5,List of books and authors
spartianu,spartianus,p001r_5,List of books and authors
dion,dion,p001r_5,List of books and authors
serviu,servius,p001r_5,List of books and authors
noniu,nonius,p001r_5,List of books and authors
herodotu,herodotus,p001r_5,List of books and authors
macrobiu,macrobius,p001r_5,List of books and authors
appianu,appianus,p001r_5,List of books and authors
budaeu,budaeus,p001r_5,List of books and authors
magiu,magius,p001r_5,List of books and authors
pollux,pollux,p001r_5,List of books and authors
blondu,blondus,p001r_5,List of books and authors
sabellicu,sabellicus,p001r_5,List of books and authors
ptolomée,ptolomée,p005r_2,Concave mirrors
archimede,archimedes,p005r_2,Concave mirrors
poncet,poncet,p017r_1,On the gunner
poncet,poncet,p049r_1,Casting of lead
mathiol,mathiol,p035v_1,For preventing someone from eating a foodstuff
charlemaigne,charlemaigne,p038r_1,Sapphire
dieu,dieu,p079r_2,For making water for disease of the eyes
jésu,jésus,p085v_4,Experimented sands
sathan,sathan,p109r_5,Snakes for molding
gesneru,gesnerus,p119v_1,Fashion of preparing a spalt spat
herodote,herodote,p162r_1,For the workshop
polybe,polybe,p166r_1,For the workshop
platon,platon,p166r_1,For the workshop
cereri,cereris,p166r_1,For the workshop
orphei,orphei,p166r_1,For the workshop
achilli,achillis,p166r_1,For the workshop
chirone,chirone,p166r_1,For the workshop
homere,homere,p166r_1,For the workshop
homeru,homerus,p166r_1,For the workshop
numa,numa,p166r_1,For the workshop
ciceron,ciceron,p166r_1,For the workshop
david,david,p166r_1,For the workshop
pythagore,pythagore,p166r_1,For the workshop
apollo,apollo,p166r_1,For the workshop
pelidae,pelidae,p166r_1,For the workshop
orpheu,orpheus,p166r_1,For the workshop
vergile,vergile,p166r_1,For the workshop
josephe,josephe,p166r_1,For the workshop
cebé,cebés,p166r_1,For the workshop
ceré,cerés,p166r_1,For the workshop
serapi,serapis,p166r_1,For the workshop
pytagorien,pytagorien,p166r_1,For the workshop
n,n,p166r_1,For the workshop
othoni,othonis,p170v_2,Against plague
marmodaeu,marmodaeus,p170v_4,List of books
tilesiu,tilesius,p170v_4,List of books
mestre jehan cousin,mestre jehan cousin,p001r_1,List of names
mestre jehan garnier,mestre jehan garnier,p001r_1,List of names
mestre nicolas costé,mestre nicolas costé,p001r_1,List of names
olaus magnu,olaus magnus,p001r_3,List of books
mestre bernard palissi,mestre bernard palissi,p001r_3,List of books
paulus manutiu,paulus manutius,p001r_5,List of books and authors
iulius capitollin,iulius capitollin,p001r_5,List of books and authors
quintus curtiu,quintus curtius,p001r_5,List of books and authors
cornelius nepo,cornelius nepos,p001r_5,List of books and authors
flavius vopiscu,flavius vopiscus,p001r_5,List of books and authors
alexander aphrodisaeu,alexander aphrodisaeus,p001r_5,List of books and authors
iulius firmicu,iulius firmicus,p001r_5,List of books and authors
polydorus verg,polydorus verg,p001r_5,List of books and authors
dionisius halicarnassensi,dionisius halicarnassensis,p001r_5,List of books and authors
vincenzo sabio,vincenzo sabio,p002v_1,List of books
du cro,du cros,p009v_3,Waste book
françois du cro,françois du cros,p009v_3,Waste book
st andré,st andré,p009v_3,Waste book
saint paul,saint paul,p038v_4,Planting trees
saint anthoine,saint anthoine,p039r_2,Pastel woad
monsieur de montorsin,monsieur de montorsin,p044v_2,Excellent water against the plague of Monsieur de Montorsin
sainct michel,sainct michel,p049v_1,Birds
sainct michel,sainct michel,p049v_3,Birds
st jehan,st jehan,p052r_1,The work done in Algiers
sainct jehan,sainct jehan,p052r_1,The work done in Algiers
hieronymus vida albensis episcopus, de b cremonensi,hieronymus vida albensis episcopus, de b cremonensis,p053v_1,Silkworms
saint jehan,saint jehan,p053v_1,Silkworms
paul tier,paul tiers,p102v_2,Infusion of anthos or rosemary
maistre alexandre,maistre alexandre,p150v_1,Molding hollow
tyran de syracuse,tyran de syracuse,p152r_1,Molding a rat
sainct andré,sainct andré,p160r_1,Press for the large molds
sainct athanase,sainct athanase,p166r_1,For the workshop
justino martire,justino martire,p166r_1,For the workshop
valere max,valere max,p166r_1,For the workshop
aule gelle,aule gelle,p166r_1,For the workshop
tite live,tite live,p166r_1,For the workshop
sieur ouvryer,sieur ouvryer,p170v_1,1578-9 original first page
hyeronimus | mercuriali,hyeronimus | mercurialis,p170v_3,For preserving
abbatis | urspergensi,abbatis | urspergensis,p170v_3,For preserving
rembertus dodonaeu,rembertus dodonaeus,p170v_4,List of books
albertus magnu,albertus magnus,p170v_4,List of books
des orme,des ormes,p170v_4,List of books
georgio bucanano,georgio bucanano,p170v_4,List of books
