prefLabel_en,verbatim_term,identity,title
italie,italie,p001r_3,List of books
lyon,lyon,p001r_3,List of books
lyon,lyon,p010r_2,Stil de grain yellow
lyon,lyon,p030r_1,Lead
lyon,lyon,p053r_6,Casting of lead and copper
lyon,lyon,p090r_3,All sands can be rendered good
romae,romae,p001r_4,List of books
normandie,normandie,p001r_5,List of books and authors
alexandrium,alexandria,p001r_5,List of books and authors
brescium,brescia,p002v_1,List of books
brissac,brissac,p002v_2,Emeralds of Brissac
venice,venice,p003r_1,Counterfeit coral
venice,venice,p003r_2,Varnish for panels
venice,venice,p005r_1,Steel mirrors
venice,venice,p006r_1,For laying down and seating burnished gold and giving red or green or blue
venice,venice,p056r_2,Varnish for distemper
venice,venice,p057v_2,Painter
venice,venice,p066v_1,For preventing teats from swelling d or to diminish overly large ones
venice,venice,p073v_3,Another recipe for making varnish
venice,venice,p080r_2,Very hard white stucco
venice,venice,p137r_2,Huile tingente to make metals run
venice,venice,p149r_1,Softening iron and rendering it very soft
armeni,armeni,p006r_1,For laying down and seating burnished gold and giving red or green or blue
france,france,p009r_1,Plowman
france,france,p017r_1,On the gunner
france,france,p020r_2,Glassworker
france,france,p020v_5,Common saying
france,france,p024v_1,For bringing a cannon over land
france,france,p036v_3,Glassworkers’ glass
france,france,p053v_1,Silkworms
france,france,p066r_6" continued="yes,* Or mat
france,france,p107r_1,Catching lizards and snakes
france,france,p128v_1,Whitening of cast silver
france,france,p164r_3,Leady silver
france,france,p166v_3,Scented candle from Le Mans
gascony,gascony,p009r_1,Plowman
germany,germany,p011r_1,Painting esmail d’azur in oil
germany,germany,p028v_1,Pewterers
germany,germany,p030r_1,Lead
germany,germany,p032v_3,Founder
germany,germany,p050v_2,Curried steel and files
germany,germany,p106r_1,For casting
germany,germany,p107r_1,Catching lizards and snakes
germany,germany,p119r_1,Advice about the above
germany,germany,p119v_1,Fashion of preparing a spalt spat
germany,germany,p120r_2,Sand for casting in gold
germany,germany,p125r_1,Plaster
germany,germany,p137v_1,Tempering sand for molds of flat medals
germany,germany,p149r_2,Base gold from Germany, electrum
germany,germany,p149r_3,Various arts from Germany
albi,albi,p012r_4,Plaster
albi,albi,p020v_5,Common saying
armenian,armenian,p012v_1,Molding stucco promptly
armenian,armenian,p073v_4,Color of burnished copper
montauban,montauban,p016v_5,Candles
toulouse,toulouse,p017r_1,On the gunner
toulouse,toulouse,p020v_5,Common saying
toulouse,toulouse,p032v_1,Mat maker
toulouse,toulouse,p044v_1,Horsehair sieves
toulouse,toulouse,p069r_2,Sand
toulouse,toulouse,p071v_4,Sand
montpellier,montpellier,p017r_1,On the gunner
montpellier,montpellier,p027v_4,2 quintals, is one cane long, which is 8 Montpellier pans
montpellier,montpellier,p048v_1,Extraction of regulus
lorraine,lorraine,p020r_2,Glassworker
lorraine,lorraine,p036v_3,Glassworkers’ glass
lorraine,lorraine,p156v_1,Molding a fly
rodez,rodez,p020v_5,Common saying
