prefLabel_en,verbatim_term,identity,title
jujube,jujubes,p001v_1,For easing the belly
marshmallow,marshmallow,p001v_1,For easing the belly
gilliflower,gilliflower,p001v_1,For easing the belly
mallow,mallow,p001v_1,For easing the belly
cinnamon,cinnamon,p001v_1,For easing the belly
cinnamon,cinnamon,p047r_1,For teeth
cinnamon,cinnamon,p048r_3,Excellent mustard
prune,prunes,p001v_1,For easing the belly
prune,prune,p098r_2,Borders of a garden
cabbage,cabbage,p002r_2,Against pains
walnut,walnut,p003r_1,Counterfeit coral
walnut,walnut,p004v_1,Black varnish for sword guard, bands for trunks, &amp;c
walnut,walnut,p004v_3,Varnish of iron etchers
walnut,walnut,p006r_1,For laying down and setting burnished gold and giving red or green or blue
walnut,walnut,p046r_1,For the teeth, oil of sulfur
walnut,walnut,p051r_2,Cutters of printing plates
walnut,walnut,p057v_2,Painter
walnut,walnut,p058v_4,Azure
walnut,walnut,p058v_5,Paintbrushes
walnut,walnut,p059r_2,Azure
walnut,walnut,p060r_3,Oil
walnut,walnut,p063r_2,Drying of oil
walnut,walnut,p064r_2,Fatty oil
walnut,walnut,p067v_3,Huiles d’essence
walnut,walnut,p084v_4,Sand for lead, the most excellent of all, for high and low reliefs
walnut,walnut,p089v_2,Glassmakers’ white sand from the mine, mixed with sal ammoniac
walnut,walnut,p096v_3,Yellow varnish
walnut,walnut,p100r_1,Gold color
walnut,walnut,p104r_4,For gilding with silver on copper and latten
walnut,walnut,p108r_2,Spalt
walnut,walnut,p139v_1,Cast of wax to represent an animal that one has not got
walnut,walnuts,p007v_2,Against windy colic
walnut,walnuts,p057v_2,Painter
walnut,walnuts,p118v_1,Casting in frames
linseed,linseed,p004v_1,Black varnish for sword guard, bands for trunks, &amp;c
linseed,linseed,p004v_3,Varnish of iron etchers
linseed,linseed,p006r_1,For laying down and setting burnished gold and giving red or green or blue
linseed,linseed,p051r_2,Cutters of printing plates
linseed,linseed,p052v_1,Linseed
linseed,linseed,p074r_3,For making varnish
linseed,linseed,p077v_1,Another approved varnish
linseed,linseed,p101v_3,Varnish
linseed,linseed,p103r_1,Against burns, excellent
linseed,linseed,p104r_2,For etching on iron
garlic,garlic,p004v_1,Black varnish for sword guard, bands for trunks, &amp;c
garlic,garlic,p015v_6,Tooth ache
garlic,garlic,p039v_3,Tracing some history on glass
garlic,garlic,p051r_2,Cutters of printing plates
onion,onions,p004v_1,Black varnish for sword guard, bands for trunks, &amp;c
onion,onions,p074r_3,For making varnish
onion,onion,p020v_4,Against burn
linen,linen,p004v_3,Varnish of iron etchers
linen,linen,p039v_3,Tracing some history on glass
linen,linen,p098r_3,Locksmith
linen,linen,p105r_4,Gardening
bean,bean,p006r_1,For laying down and setting burnished gold and giving red or green or blue
bean,bean,p118v_1,Casting in frames
bean,bean,p135r_1,Couleur for gold or mixture
bean,bean,p135v_1,Casting in ☼
bean,bean,p139r_1,Casts of lead and tin
bean,beans,p009r_1,Plowman
prele,prele,p006r_1,For laying down and setting burnished gold and giving red or green or blue
saffron,saffron,p006r_1,For laying down and setting burnished gold and giving red or green or blue
saffron,saffron,p007r_3,Doublets
saffron,saffron,p020r_1,For making millas
saffron,saffron,p038r_2,Saffron
willow,willow,p006r_1,For laying down and setting burnished gold and giving red or green or blue
willow,willow,p038r_4,Amber
willow,willow,p081v_3,Sand
willow,willow,p083v_2, Molding in relief on one part and hollow on the other.
willow,willow,p084v_2,Eau Magistra
willow,willow,p091r_2,Molding with cuttlefish bone
willow,willow,p094r_1,Furbisher
willow,willow,p164r_2,Repairing flashing
