prefLabel_en,verbatim_term,identity,title
master,master,p001r_1,List of names
master,master,p017r_1,On the gunner
master,master,p131r_4,For teaching a dog well
master,masters,p017r_1,On the gunner
master,masters,p028v_1,Pewterers
master,masters,p032r_1,The body of the cuirass
master,masters,p062r_4,Drawing
master,masters,p062v_1,Drawing
currier,currier,p001r_1,List of names
currier,currier,p079r_1,Making gray wood
currier,currier's,p075v_1,For making gray wood
currier,curriers,p157v_2,Molding a bird
harvester,harvester,p001r_2,List
harvester,harvester,p166r_1,For the workshop
harvester,harvesters,p009r_1,Plowman
historicu,historicus,p001r_3,List of books
bergier,bergiers,p001r_3,List of books
king,king,p001r_3,List of books
king,king,p017r_1,On the gunner
king,king,p038r_1,Sapphire
king,king,p094r_1,Furbisher
blacksmith,blacksmith,p002v_3,Sapphire
furbisher,furbishers,p004v_1,Black varnish for sword guard, bands for trunks, &amp;c
furbisher,furbishers,p011v_3,For coating with or mat
furbisher,furbishers,p094r_1,Furbisher
furbisher,furbishers,p096v_3,Yellow varnish
furbisher,furbisher,p094r_1,Furbisher
woman,women,p005r_2,Concave mirrors
woman,women,p113r_1,Tempering the sand and molding the first cast
surgeon,surgeons,p005r_2,Concave mirrors
joiner,joiners,p007r_4,Fish glue or isinglass and mouth glue
joiner,joiners,p094r_1,Furbisher
joiner,joiner's,p010r_1,Counterfeit jasper
joiner,joiner,p032r_3,For layering gold in distemper
joiner,joiner,p069r_1,Joiner
joiner,joiner,p094r_1,Furbisher
fabrorum,fabrorum,p007v_4,Against gonorrhea
pewterer,pewterers,p008v_4,Mixture of Pewterers 
pewterer,pewterers,p028v_1,Pewterers
pewterer,pewterers,p048v_2,Lead, tin
pewterer,pewterers,p049r_1,Casting of lead
pewterer,pewterers,p049r_4,Pewterers
pewterer,pewterers,p068r_3,Casting
pewterer,pewterers,p079v_3,Tin for casting
pewterer,pewterer,p030r_2,Pewterer
pewterer,pewterer,p044r_2,Pewterer
plowman,plowman,p009r_1,Plowman
painter,painter,p009r_2,Painter
painter,painter,p031v_1,Painter
painter,painter,p032r_2,Painter
painter,painter,p057v_2,Painter
painter,painter,p061v_1,Water to give light for the painter
painter,painter,p064v_1,Apprenticeship of the painter
painter,painter,p065r_3,Mirror
painter,painter,p105r_3,Painter
painter,painters,p009v_1,Painters
painter,painters,p010r_4,Purple color
painter,painters,p032r_3,For layering gold in distemper
painter,painters,p040v_1,Cross of the commanders of Malta
painter,painters,p043r_2,White bronzing on plaster
painter,painters,p060r_1,First whitening of a panel
painter,painters,p060v_3,Spike lavender oil
painter,painters,p063r_4,Shadows
painter,painters,p065v_6,From nature
painter,painters,p067r_4,Varnish on paper
painter,painters,p068r_3,Casting
painter,painters,p093v_2,Azure
painter,painters,p097r_2,Gilding
painter,painters,p100v_2,For ruby take some gold leaf
painter,common painters,p011r_1,Painting esmail d’azur in oil
apprentice,apprentices,p009r_3,Merchant
apprentice,apprentices,p062r_4,Drawing
apprentice,apprentices,p062v_1,Drawing
apprentice,apprentice,p065v_4,White and black
apprentice,apprentice,p094r_1,Furbisher
apprentice,apprentice,p131r_4,For teaching a dog well
merchant,merchant,p009r_3,Merchant
merchant,merchant,p009v_2,Merchant
merchant,merchant,p038v_5,Merchant
merchant,merchants,p009v_2,Merchant
merchant,merchants,p053v_1,Silkworms
fuller,fuller,p012r_2,Chimolée
barber,barbers',p012r_4,Plaster
barber,barbers,p080v_1,Founders of small works  of tin
goldsmiths’,goldsmiths’,p012v_2,Cleaning yellow pearls
goldsmith,goldsmith,p012v_3,For whitening enilanroc
goldsmith,goldsmith,p039r_1,Goldsmith
goldsmith,goldsmith,p104v_3,Goldsmith
goldsmith,goldsmith,p108r_2,Spalt
goldsmith,goldsmith,p141r_1,Molding a crayfish
goldsmith,goldsmiths,p039r_1,Goldsmith
goldsmith,goldsmiths,p039v_3,Tracing some history on glass
goldsmith,goldsmiths,p040v_1,Cross of the commanders of Malta
goldsmith,goldsmiths,p107r_1,Catching lizards and snakes
goldsmith,goldsmiths,p120r_2,Sand for casting in gold
goldsmith,goldsmiths,p120v_6,Keeping dry flowers in the same state all year
goldsmith,goldsmiths,p121v_2,Silver for casting
goldsmith,goldsmiths,p123r_1, A means di far correr lotnegra
goldsmith,goldsmiths,p124v_1,Rouge clair enamel
goldsmith,goldsmiths,p124v_2,Casting with gold
goldsmith,goldsmiths,p128r_1,Casting in silver and gold
goldsmith,goldsmiths,p128v_1,Whitening of cast silver
goldsmith,goldsmiths,p133r_1,Hard wax for imprinting seals
goldsmith,goldsmiths,p136r_1,DEsm Enamelling thin works
goldsmith,goldsmiths,p138v_2,Gold cast very thinly
goldsmith,goldsmiths,p149r_2,Base gold from Germany, electrum
goldsmith,goldsmiths,p154r_3,Sweetening silver
goldsmith,goldsmiths,p157r_1,A means for goldsmiths for molding hollow
goldsmith,goldsmiths,p157r_2,Rouge clair
goldsmith,goldsmiths who work in large wares and plate,p149v_1,Molding vases in several pieces
