prefLabel_en,verbatim_term,identity,title
touch,touch,p005r_2,Concave mirrors
touch,touch,p093r_1,Olives
touch,touch,p121r_1,For keeping fruits all year
look,look,p005r_2,Concave mirrors
sonorou,sonorous,p008v_4,Mixture of Pewterers 
sonorou,sonorous,p028v_1,Pewterers
sonorou,sonorous,p044r_2,Pewterer
sonorou,sonorous,p086v_1,Excellent sand for lead, tin, and copper
deaf,deaf,p008v_4,Mixture of Pewterers 
sound,sound,p017r_1,On the gunner
pain,pain,p033r_1,Knife for cutting the nose or a finger
coolness,coolness,p033v_1,For making it seem that to someone that he has a piece of silver on his forehead
tasting,tasting,p033v_2,For making blood or wine issue from someone’s forehead or from a wall
loudly,loudly,p034r_2,XWager someone e that walking to a certain place and back, he cannot say boot without spur four times in a row
stinking,stinking,p036v_1,Founder
stinking,stinking,p114r_1,Second cast
stench,stench,p037v_2,Glassworker
taste,taste,p047v_1,A drink having a taste of wine
taste,bad taste to the food,p036v_1,Founder
taste,taste as of vinegar,p039r_2,Pastel woad
fragrant,fragrant,p067r_4,Varnish on paper
smell,smell,p081r_4,Carton
noise,noise,p085v_2,Mortars
ring,ring,p085v_2,Mortars
ring,ring,p086v_1,Excellent sand for lead, tin, and copper
observe,observe,p100r_2,Portraying from nature
touching,touching,p121r_1,For keeping fruits all year
hear,hear,p125r_3,Hearing from afar
hearing,hearing,p125r_3,Hearing from afar
stinky,stinky,p129v_1,Animals dried in the oven for a long time
scent,scent,p163r_1,Perfumer
scented,scented,p166v_3,Scented candle from Le Mans
hairs of your beard,hairs of your beard,p005r_2,Concave mirrors
bigger voice,bigger voice,p017r_1,On the gunner
bad odor,bad odor,p036v_1,Founder
bad odor,bad odor,p047r_1,For teeth
little whistle,little whistle,p055r_1,For firing a schioppo senza rumore
you will know its goodness by rubbing it with your finger, which will render it very black immediately,you will know its goodness by rubbing it with your finger, which will render it very black immediately,p072v_1,Casting
is not felt between your finger,is not felt between your fingers,p084v_1,Sand
break apart between your hand,break apart between your hands,p088v_2,Mineral sand
soft when handling it between your finger,soft when handling it between your fingers,p090r_3,All sands can be rendered good
one smells it &amp; brings it close to the nose,one smells it &amp; brings it close to the nose,p097r_2,Gilding
smells like sulfur,smells like sulfur,p098v_5,Founding
to scratch yourself well,to scratch yourself well,p108r_2,Spalt
soft to the touch,soft to the touch,p108r_2,Spalt
not attach to your hand,not attach to your hands,p111r_4,Clay earth
to the tongue you find the water moderately salty,to the tongue you find the water moderately salty,p111v_1,Sal ammoniac water
until you can you can hold the tip of your finger in the cast without burning yourself,until you can you can hold the tip of your finger in the cast without burning yourself,p116v_2,Mixture of tin and lead
of such a heat that you can handle it without harm, or that you can keep your finger in the gate without burning yourself,of such a heat that you can handle it without harm, or that you can keep your finger in the gate without burning yourself,p131v_1,When the cast of tin or lead becomes porous
so hot that you can bear putting your finger in it,so hot that you can bear putting your finger in it,p131v_1,When the cast of tin or lead becomes porous
when scraping it with the fingernail, it is a sign that the crocum is good, very fine &amp; well prepared,when scraping it with the fingernail, it is a sign that the crocum is good, very fine &amp; well prepared,p132v_2,Crocum ferri
perceived on the fingernail,perceived on the fingernail,p132v_2,Crocum ferri
you will find it so, by scraping a little harder than the other where there is none,you will find it so, by scraping a little harder than the other where there is none,p132v_2,Crocum ferri
of such heat that you cannot hold your finger there, without feeling strong heat,of such heat that you cannot hold your finger there, without feeling strong heat,p137v_1,Tempering sand for molds of flat medals
until you can hold your finger without harm in the hole of the gate,until you can hold your finger without harm in the hole of the gate,p139r_1,Casts of lead and tin
this wax is very soft &amp; amiable &amp; pliant as copper, and it is so strong because of the sulfur, which renders it meltable much before the other, thus you can prove on a hot slate,this wax is very soft &amp; amiable &amp; pliant as copper, and it is so strong because of the sulfur, which renders it meltable much before the other, thus you can prove on a hot slate,p139v_1,Cast of wax to represent an animal that one has not got
your wax has passed its high heat, which you will recognize when it no longer smoke,your wax has passed its high heat, which you will recognize when it no longer smokes,p139v_1,Cast of wax to represent an animal that one has not got
water so hot, that, at the beginning, you cannot hold your finger in it,water so hot, that, at the beginning, you cannot hold your finger in it,p139v_1,Cast of wax to represent an animal that one has not got
i could hold my finger to it without burning myself,i could hold my finger to it without burning myself,p140v_3,Cast of lead and tin in plaster
so that without burning yourself, you can hold your finger in it without burning yourself,so that without burning yourself, you can hold your finger in it without burning yourself,p144r_1,Turtles
they cry &amp; crackle once brought near the ear,they cry &amp; crackle once brought near the ear,p145r_2,Cuttlefish bone
of such heat that you can hold your finger there without harm in the hole,of such heat that you can hold your finger there without harm in the hole,p145v_2,
odor of itself,odor of itself,p158r_1,Mercury in the molds for cleaning
when they are still of such a heat as you have noticed before putting your finger in the hole, cast.,when they are still of such a heat as you have noticed before putting your finger in the hole, cast.,p164v_3,Molds
