prefLabel_en,verbatim_term,identity,title
hour,hours,p002v_2,Emeralds of Brissac
hour,hours,p002v_3,Sapphire
hour,hours,p004v_3,Varnish of iron etchers
hour,hours,p015v_6,Tooth ache
hour,hours,p043v_1,Varied and transmuted wine
hour,hours,p044r_4,Lake
hour,hours,p066r_6,* Or mat
hour,hours,p074r_3,For making varnish
hour,hours,p076r_1,For making wood green
hour,hours,p079r_3,For making bronze in the color of gold
hour,hours,p086v_1,Excellent sand for lead, tin, and copper
hour,hours,p092v_2,Congealing mercury
hour,hours,p094r_1,Furbisher
hour,hours,p098v_5,Founding
hour,hours,p104r_1,For eating away and dissolving entirely pure gold
hour,hours,p104r_5,Enameling a cornaline
hour,hours,p106v_3,Tiles
hour,hours,p109r_5,Snakes for molding
hour,hours,p123r_1, A means di far correr lotnegra
hour,hour,p003r_1,Counterfeit coral
hour,hour,p003r_3,Thick varnish for planks
hour,hour,p052r_1,The work done in Algiers
hour,hour,p060v_1,Varnish dry in an hour
hour,hour,p066r_6,* Or mat
hour,hour,p067v_3,Huiles d’essence
hour,hour,p075v_4,Recipe for putting all woods in color
hour,hour,p078v_3,For making bone or horn green
hour,hour,p096v_1,Grey guards
hour,good hours,p051r_2,Cutters of printing plates
hour,half an hour,p076v_4,For gilding iron or tin
hour,half hour,p097v_1,Mastic varnish dry in a half hour
hour,half hour,p115v_3,Reheating the noyau molds
hour,hour &amp; a half,p100v_1,Gemstones
hour,hour &amp; a half,p101r_1,Topaz
hour,quarter hour,p108r_2,Spalt
hour,quarter hour,p110r_3,Snakes
hour,quarter hour,p114r_1,Second cast
hour,an hour or a half,p112r_4,Putting to death the animal for molding
hour,a good hour,p139v_1,Cast of wax to represent an animal that one has not got
overnight,overnight,p003r_2,Varnish for panels
overnight,overnight,p077r_1,Against redness of the face
overnight,overnight,p149r_1,Softening iron and rendering it very soft
month,months,p003r_3,Thick varnish for planks
month,months,p016v_4,Keeping oranges
month,months,p052r_1,The work done in Algiers
month,months,p057v_2,Painter
month,months,p106v_2,
month,month,p041r_04,Ducks
month,month,p114r_1,Second cast
month,month of may,p063v_5,Flanders blue
month,all the months of the year,p093r_2,Observation from rustics
night,night,p007r_4,Fish glue or isinglass and mouth glue
night,night,p037v_3,Yellow Amber
night,night,p086v_1,Excellent sand for lead, tin, and copper
night,night,p088v_1,Sand from pulverized rock salt and sand from the mine finely ground on marble 
night,night,p114r_1,Second cast
night,night,p126r_1,Molding fruits and animals in sugar
night,night,p139v_1,Cast of wax to represent an animal that one has not got
night,night,p160v_4,Catching passerines
night,nights,p120r_2,Sand for casting in gold
night,at regular intervals, day &amp; night,p052r_1,The work done in Algiers
year,years,p009r_1,Plowman
year,years,p041v_2,Sheared ewes
year,years,p065v_4,White and black
year,years,p120r_2,Sand for casting in gold
year,year,p038v_3,Beautiful artichokes
year,year,p057v_2,Painter
year,year,p098r_3,Locksmith
year,year,p121r_1,For keeping fruits all year
year,year,p170v_1,1578-9 original first page
year,every year,p038v_3,Beautiful artichokes
year,every year,p039r_2,Pastel woad
year,whole year,p084r_4,Flour
year,every two years,p090v_2,Orange trees
year,all year,p098v_2,Salted artichokes
year,all year,p120v_6,Keeping dry flowers in the same state all year
day,day,p009v_3,Waste book
day,day,p017r_1,On the gunner
day,day,p059v_4,Desiccative
day,day,p066r_6,* Or mat
day,day,p066v_1,For preventing teats from swelling d or to diminish overly large ones
day,day,p073r_1,For making blue varnish
day,day,p073v_4,Color of burnished copper
day,day,p094r_1,Furbisher
day,day,p096v_2,Color of water
day,day,p100v_2,For ruby take some gold leaf
day,day,p101v_1,Jacinth
day,day,p102v_2,Infusion of anthos or rosemary
day,day,p105v_4,Nightingale
day,day,p114r_1,Second cast
day,day,p120r_3,IlNightingale
day,day,p126r_1,Molding fruits and animals in sugar
day,day,p132v_2,Crocum ferri
day,day,p139v_1,Cast of wax to represent an animal that one has not got
day,day,p161v_1,Crocum ferri
day,day,p165r_6,Repairing snakes and lizards
day,days,p020v_6,A form of regimen
day,days,p026r_2,Petard
day,days,p044v_2,Excellent water against the plague of Monsieur de Montorsin
day,days,p044v_3,White soporific oil
day,days,p048r_2,Curing dogs of mange
day,days,p053v_1,Silkworms
day,days,p055r_4,Onenev elbirro hcihw sllik fi eno spets no a draob ro a ueirse purrits 
day,days,p056r_1,Excellent tempering bath for cuirass bodies
day,days,p059v_4,Desiccative
day,days,p066r_6,* Or mat
day,days,p066v_1,For preventing teats from swelling d or to diminish overly large ones
day,days,p075v_4,Recipe for putting all woods in color
day,days,p076r_1,For making wood green
day,days,p076v_1,For making very beautiful color of gold &amp; of little expense
day,days,p077r_4,Recipe for making bronze and varnish of many sorts
day,days,p078r_3,For making green trwood
day,days,p085r_1,Green varnish for medals of copper
day,days,p089v_1,Sal ammoniac and alabaster
day,days,p089v_2,Glassmakers’ white sand from the mine, mixed with sal ammoniac
day,days,p102v_2,Infusion of anthos or rosemary
day,days,p105r_4,Gardening
day,days,p107r_1,Catching lizards and snakes
day,days,p109r_5,Snakes for molding
day,days,p114r_1,Second cast
day,days,p120r_2,Sand for casting in gold
day,days,p126v_3,Plants difficult to burn in the noyau
day,days,p132v_2,Crocum ferri
day,days,p144r_1,Turtles
day,days,p148v_1,Molding turtles
day,days,p152r_1,Molding a rat
day,days,p161r_1,Preparation of sand for frames
day,days,p162r_1,For the workshop
day,days,p162v_3,Bittern foot
day,half a day,p004v_1,Black varnish for sword guard, bands for trunks, &amp;c
day,every three days,p024r_1,Grenades
day,saint paul's day,p038v_4,Planting trees
day,the next day,p063v_7,Softening
day,the next day,p087v_3,Sand of the mine of Thoulouse
day,the next day,p143r_1,Molding turtles
day,the day after,p066r_6,* Or mat
day,one day or one night,p066r_6,* Or mat
day,every day,p081r_4,Carton
day,three days a week,p086v_1,Excellent sand for lead, tin, and copper
day,twice a day,p103r_1,Against burns, excellent
day,first day,p120r_3,IlNightingale
day,next day,p120r_3,IlNightingale
day,several days,p120v_6,Keeping dry flowers in the same state all year
day,natural day,p123r_1, A means di far correr lotnegra
day,a day &amp; a night,p129v_1,Animals dried in the oven for a long time
day,preceding day,p166r_1,For the workshop
longer,longer,p017r_1,On the gunner
longer,longer,p125r_1,Plaster
today,today,p038r_3,Sapphire
today,today,p082v_1,Clockmakers
summer,summer,p040r_1,Dye
summer,summer,p056v_1,Painter
summer,summer,p111v_4,Lizards
summer,all summer,p049v_3,Birds
hora,hora,p043r_3,Purple
morning,mornings,p046r_3,Against the falling sickness
morning,morning,p123r_1, A means di far correr lotnegra
morning,morning,p149r_1,Softening iron and rendering it very soft
morning,every morning,p020v_6,A form of regimen
morning,next morning,p086v_1,Excellent sand for lead, tin, and copper
morning,next morning,p120r_3,IlNightingale
week,week,p048r_2,Curing dogs of mange
week,weeks,p052r_1,The work done in Algiers
week,weeks,p053v_1,Silkworms
march,march,p049v_3,Birds
long,long,p062v_1,Drawing
long,long,p153v_1,Testing the goodness and strength of a sand to be reheated
long,long,p166r_1,For the workshop
long,all year long,p087v_2,Magistra
long,at least as long,p139v_1,Cast of wax to represent an animal that one has not got
time,time,p066r_6,* Or mat
time,long time,p011v_5,Polishing wheel of copper
time,long time,p037r_1,Founder
time,long time,p040v_3,Metal
time,long time,p041v_1,Glassworkers’ black
time,long time,p048v_2,Lead, tin
time,long time,p051r_2,Cutters of printing plates
time,long time,p057v_1,Sheath maker
time,long time,p077r_3,Fatty earth
time,long time,p097v_1,Mastic varnish dry in a half hour
time,long time,p103v_3,For making colors run
