prefLabel_en,verbatim_term,identity,title
marble,marble,p002v_2,Emeralds of Brissac
marble,marble,p005v_1,For bronzing in yellow and white
marble,marble,p006r_1,For laying down and seating burnished gold and giving red or green or blue
marble,marble,p008v_2,Or and argent moulu
marble,marble,p010r_5,Powder for hourglasses
marble,marble,p011r_1,Painting esmail d’azur in oil
marble,marble,p012r_4,Plaster
marble,marble,p012v_3,For whitening enilanroc
marble,marble,p013r_1,Flesh color from arsenic
marble,marble,p029r_1,Stucco for molding
marble,marble,p041r_03,Sand
marble,marble,p042v_4,Sand for casting
marble,marble,p048v_2,Lead, tin
marble,marble,p051r_2,Cutters of printing plates
marble,marble,p056v_1,Painter
marble,marble,p063r_6,Verdigris and another very beautiful bright green
marble,marble,p068r_3,Casting
marble,marble,p069r_2,Sand
marble,marble,p072r_2,Casting in copper 
marble,marble,p074r_1,For bronzing white
marble,marble,p075r_2,Bronze of copper
marble,marble,p075r_3,Bronze like tin
marble,marble,p075r_5,Or moulu
marble,marble,p078v_1,For making bronze in the color of steel
marble,marble,p078v_4,For making bronze
marble,marble,p084r_3,Eau magistra
marble,marble,p086v_1,Excellent sand for lead, tin, and copper
marble,marble,p088v_1,Sand from pulverized rock salt and sand from the mine finely ground on marble 
marble,marble,p089v_1,Sal ammoniac and alabaster
marble,marble,p093v_1,Faces in distemper
marble,marble,p101r_2,Salt for melting
marble,marble,p107r_1,Catching lizards and snakes
marble,marble,p108r_2,Spalt
marble,marble,p118v_1,Casting in frames
marble,marble,p134v_1,For making ☀ run
marble,marble,p148r_4,Crocum ferri
marble,marble,p154r_4,Iron scales
marble,marbles,p056v_1,Painter
marble,polished marble,p006v_2,For stampings to embellish and encrust or cover the edges of mirrors, the tops of chests, or the friezes of bed valances
stick,stick,p003r_1,Counterfeit coral
stick,stick,p023r_1,On petards
stick,stick,p036r_1,For transmuting a ball into a thimble, cunning
stick,stick,p039v_3,Tracing some history on glass
stick,stick,p042r_2,Wax for seal and imprint
stick,stick,p049v_2,Grain of lead
stick,stick,p050r_2,Molding
stick,stick,p056r_1,Excellent tempering bath for cuirass bodies
stick,stick,p060v_1,Varnish dry in an hour
stick,stick,p065v_2,Painting large figures
stick,stick,p078r_1,Another varnish
stick,stick,p094r_1,Furbisher
stick,stick,p106v_2,
stick,stick,p107r_1,Catching lizards and snakes
stick,stick,p108r_2,Spalt
stick,stick,p139v_1,Cast of wax to represent an animal that one has not got
stick,stick,p160v_3,Catching crayfish
stick,stick,p167r_1,Petards
stick,sticks,p054v_1,On dry preserves
stick,short stick,p023r_1,On petards
stick,large stick,p034r_4,XHow not to break a glass with a log or a large stick
stick,small stick,p035r_1,For telling someone that you will show teach him something he does not know, and neither do you
stick,small stick,p130r_1,Animals dried in an oven
stick,small stick,p145v_1,Molding plants and flowers
stick,willow stick,p038r_4,Amber
stick,small flat stick,p044v_1,Horsehair sieves
stick,cleft stick,p049v_2,Grain of lead
stick,long stick,p055r_4,Onenev elbirro hcihw sllik fi eno spets no a draob ro a ueirse purrits 
stick,wood stick,p082v_4,Method of casting in bronze
stick,fresil stick,p094r_1,Furbisher
stick,stick of the fustée,p094r_1,Furbisher
stick,round stick, which pastry makers,p112v_1,For molding Making the arrangement and disposition of the animal
stick,small sticks,p117r_1,A means of molding flowers and plants
stick,small pointed stick,p120r_3,IlNightingale
stick,little stick,p139v_1,Cast of wax to represent an animal that one has not got
stick,small stick of boxwood,p153r_2,Giving the thickness that you wish to a medal
stick,thick stick,p161r_1,Preparation of sand for frames
file,file,p003r_1,Counterfeit coral
file,file,p006v_1,For ga cachcages
file,file,p010r_1,Counterfeit jasper
file,file,p030r_2,Pewterer
file,file,p037v_3,Yellow Amber
file,file,p038r_1,Sapphire
file,file,p038r_4,Amber
file,file,p094r_1,Furbisher
file,file,p097r_3,Gilding with silver
file,file,p098r_3,Locksmith
file,file,p118v_1,Casting in frames
file,file,p131v_1,When the cast of tin or lead becomes porous
file,file,p138v_1,Talcum mixed in the molds
file,file,p150v_1,Molding hollow
file,file,p152v_1,Repairing cast things
file,files,p050v_2,Curried steel and files
file,files,p067v_1,Files
file,files,p141r_1,Molding a crayfish
file,files,p152v_1,Repairing cast things
file,large file,p016r_1,Founding of soft iron
file,square files,p067v_1,Files
file,soft files,p067v_1,Files
file,soft file,p096v_2,Color of water
file,small file,p148v_1,Molding turtles
file,small file,p150v_1,Molding hollow
file,small file,p163v_3,Repairing
file,small file,p164r_2,Repairing flashing
pestled,pestled,p003r_1,Counterfeit coral
pestled,pestled,p012v_1,Molding stucco promptly
pestled,pestled,p021v_2,Defense of a town
pestled,pestled,p024r_1,Grenades
pestled,pestled,p026r_2,Petard
pestled,pestled,p042v_6,White varnish on plaster
pestled,pestled,p044v_4,Stucco
pestled,pestled,p047r_5,Against diarrhea and dysentery
pestled,pestled,p047v_2,Founding
pestled,pestled,p048r_3,Excellent mustard
pestled,pestled,p055r_3,Against wounds
pestled,pestled,p065r_4,Fatty colors
pestled,pestled,p068r_3,Casting
pestled,pestled,p069r_2,Sand
pestled,pestled,p074r_3,For making varnish
pestled,pestled,p074v_3,Recipe for white gum
pestled,pestled,p077r_4,Recipe for making bronze and varnish of many sorts
pestled,pestled,p083r_2,Sand for copper medals
pestled,pestled,p083r_4,Another for lead
pestled,pestled,p084r_5,Sand from a mine in Thoulouse
pestled,pestled,p085v_4,Experimented sands
