prefLabel_en,verbatim_term,identity,title
firework,fireworks,p008r_2,For bursting grenades and giving force to fireworks
grenade,grenades,p008r_2,For bursting grenades and giving force to fireworks
grenade,grenades,p021v_2,Defense of a town
grenade,grenades,p024r_1,Grenades
grenade,grenades,p085v_2,Mortars
grenade,grenade,p024r_1,Grenades
arquebus,arquebus,p008r_3,Tempering of balls for piercing armor of proof
arquebus,arquebus,p017r_1,On the gunner
arquebus,arquebus,p022v_1,Orgues
arquebus,arquebus,p024r_1,Grenades
arquebus,arquebus,p024v_1,For bringing a cannon over land
arquebus,arquebus,p043v_3,Arquebusier
arquebus,arquebus,p043v_4,Hail shot of the arquebus
arquebus,arquebus,p044r_1,The range of an arquebus
arquebus,arquebus,p044r_3,Arquebus
arquebus,arquebus,p045r_1,Loading an arquebus with hail shot
arquebus,arquebus,p045v_1,Loading an arquebus
arquebus,arquebus,p129r_3,Viper color
arquebus,chambered arquebus,p043v_3,Arquebusier
arquebus,arquebus with hail shot,p045r_1,Loading an arquebus with hail shot
pistol,pistol,p008r_3,Tempering of balls for piercing armor of proof
pistol,pistol,p045r_1,Loading an arquebus with hail shot
artillery,artillery,p015r_2,Foundry casting
artillery,artillery,p024v_1,For bringing a cannon over land
artillery,artillery,p123r_1, A means di far correr lotnegra
cannon-perrier,cannon-perriers,p017r_1,On the gunner
cannon-perrier,cannon-perrier,p017r_1,On the gunner
cannon,cannon,p017r_1,On the gunner
cannon,cannon,p021r_1,Gunner
cannon,cannon,p021r_2,For firing a cannon at night
cannon,cannon,p021v_1,For unspiking a cannon
cannon,cannon,p022r_1,Cannon ball, weighing 40 lb, having 12 lines, king's foot.
cannon,cannon,p022v_1,Orgues
cannon,cannon,p023r_1,On petards
cannon,cannon,p024v_1,For bringing a cannon over land
cannon,cannon,p024v_4,A touch-hole at the level
cannon,cannon,p025v_1,Gunner
cannon,cannon,p045v_2,For adjusting a crooked cannon
cannon,cannon,p099v_2,Cannons
cannon,cannons,p017r_1,On the gunner
cannon,cannons,p021r_1,Gunner
cannon,cannons,p022v_1,Orgues
cannon,cannons,p024v_3,A steel touch-hole
cannon,cannons,p086v_1,Excellent sand for lead, tin, and copper
cannon,cannons,p099v_2,Cannons
cannon,cannons,p121v_2,Silver for casting
cannon,large cannon,p017r_1,On the gunner
cannon,large ordinary cannon,p022v_1,Orgues
cannon,double cannon,p022v_1,Orgues
canno,canno,p017r_1,On the gunner
canno,canno,p024v_1,For bringing a cannon over land
falconet,falconet,p017r_1,On the gunner
falconet,falconet,p027v_1,Falconet
falconet,falconet,p027v_2,Falconet of 4 quintals, alternatively passe-volant, is 8 pans long
piece,piece,p017r_1,On the gunner
piece,piece,p021r_1,Gunner
piece,piece,p021v_1,For unspiking a cannon
piece,piece,p024v_1,For bringing a cannon over land
piece,pieces,p017r_1,On the gunner
piece,pieces,p021r_2,For firing a cannon at night
piece,field piece,p017r_1,On the gunner
piece,medium pieces,p017r_1,On the gunner
piece,pleasure pieces,p017r_1,On the gunner
piece,bastarde piece,p017r_1,On the gunner
piece,small pieces,p017r_1,On the gunner
piece,field pieces,p017r_1,On the gunner
piece,old pieces,p017r_1,On the gunner
piece,smaller pieces,p017r_1,On the gunner
piece,large pieces,p017r_1,On the gunner
piece,fowling piece,p044r_1,The range of an arquebus
field,field,p017r_1,On the gunner
bastarde,bastardes,p017r_1,On the gunner
bastarde,bastarde,p017r_1,On the gunner
passe-volant,passe-volant,p017r_1,On the gunner
passe-volant,passe-volant,p027v_2,Falconet of 4 quintals, alternatively passe-volant, is 8 pans long
culverin,culverins,p017r_1,On the gunner
culverin,culverin,p017r_1,On the gunner
culverin,culverin,p026v_1,Culverin ball
culverin,bastard culverin,p017r_1,On the gunner
culverin,large culverin,p017r_1,On the gunner
culverin,large culverins,p017r_1,On the gunner
orgue,orgues,p017r_1,On the gunner
orgue,orgues,p022v_1,Orgues
gun,gun,p017r_1,On the gunner
petard,petards,p021v_2,Defense of a town
petard,petards,p023v_1,On petards
petard,petards,p167r_1,Petards
petard,petard,p023r_1,On petards
petard,petard,p167r_1,Petards
torch,torches,p024v_1,For bringing a cannon over land
cannonball,cannonball,p026r_1,Cannonball
musket,musket,p027v_7,60 lb musket, is 5 pans and a half or 6
musket,double musket,p017r_1,On the gunner
musket,simple musket,p017r_1,On the gunner
hackbut,hackbut,p044r_1,The range of an arquebus
schioppo,schioppo,p055r_1,For firing a schioppo senza rumore
scimitar,scimitars,p125r_2,Scimitars
scimitar,scimitar,p125r_2,Scimitars
arquebus à croc,arquebus à croc,p017r_1,On the gunner
arquebus à croc,arquebus à croc,p022v_1,Orgues
arquebus powder,arquebus powder,p017r_1,On the gunner
