word from the manuscript,index of the definition chosen, definition 0, definition 1,definition 2, 3,4,5,6,7,8,9
weasel,1,a person who is regarded as treacherous or sneaky (not in tree),small carnivorous mammal with short legs and elongated body and neck,,,,,,,,
aucupio,0,,,,,,,,,,
wolf,0,any of various predatory carnivorous canine mammals of North America and Eurasia that usually hunt in packs,Austrian composer (1860-1903) (not in tree),German classical scholar who claimed that the Iliad and Odyssey were composed by several authors (1759-1824) (not in tree),a man who is aggressive in making amorous advances to women (not in tree),a cruelly rapacious person (not in tree),,,,,
duck,0,small wild or domesticated web-footed broad-billed swimming bird usually having a depressed body and short legs,(cricket) a score of nothing by a batsman (not in tree),flesh of a duck (domestic or wild) (not in tree),a heavy cotton fabric of plain weave; used for clothing and tents (not in tree),,,,,,
squirrel,0,a kind of arboreal rodent having a long bushy tail,the fur of a squirrel (not in tree),,,,,,,,
lark,2,North American songbirds having a yellow breast,a songbird that lives mainly on the ground in open country; has streaky brown plumage,any of numerous predominantly Old World birds noted for their singing,any carefree episode (not in tree),,,,,,
mealworm,0,the larva of beetles of the family Tenebrionidae,,,,,,,,,
eagle,0,any of various large keen-sighted diurnal birds of prey noted for their broad wings and strong soaring flight,(golf) a score of two strokes under par on a hole (not in tree),a former gold coin in the United States worth 10 dollars (not in tree),an emblem representing power (not in tree),,,,,,
petit-gri,0,,,,,,,,,,
codfish,1,lean white flesh of important North Atlantic food fish; usually baked or poached (not in tree),major food fish of Arctic and cold-temperate waters,,,,,,,,
pig,0,domestic swine,a coarse obnoxious person (not in tree),a person regarded as greedy and pig-like (not in tree),uncomplimentary terms for a policeman (not in tree),mold consisting of a bed of sand in which pig iron is cast (not in tree),a crude block of metal (lead or iron) poured from a smelting furnace (not in tree),,,,
tellin,0,,,,,,,,,,
horse,0,solid-hoofed herbivorous quadruped domesticated since prehistoric times,a padded gymnastic apparatus on legs (not in tree),troops trained to fight on horseback (not in tree),a framework for holding wood that is being sawed (not in tree),a chessman shaped to resemble the head of a horse; can move two squares horizontally and one vertically (or vice versa) (not in tree),,,,,
og,0,,,,,,,,,,
lark,2,North American songbirds having a yellow breast,a songbird that lives mainly on the ground in open country; has streaky brown plumage,any of numerous predominantly Old World birds noted for their singing,any carefree episode (not in tree),,,,,,
human,0,"any living or extinct member of the family Hominidae characterized by superior intelligence, articulate speech, and erect carriage",,,,,,,,,
cuttlefish,0,ten-armed oval-bodied cephalopod with narrow fins as long as the body and a large calcareous internal shell,,,,,,,,,
