id,XPath_Location,folio,link,size_suggestion,notes
fig_p003v_1,/root[1]/div[1]/figure[1],p003v,https://drive.google.com/open?id=0B9-oNrvWdlO5ZUY4SkZBblA5MjA,medium,
fig_p006v_1,/root[1]/div[1]/figure[1],p006v,https://drive.google.com/open?id=0B9-oNrvWdlO5eVFRYjVCTmczcmM,small,
fig_p014r_1,/root[1]/div[1]/figure[1],p014r,https://drive.google.com/open?id=0B9-oNrvWdlO5b2lVN19SU1Z6UkU,medium,
fig_p016r_1,/root[1]/div[1]/figure[1],p016r,https://drive.google.com/open?id=0B9-oNrvWdlO5aUw0eThJNEVTelk,medium,
fig_p019r_1,/root[1]/div[1]/ab[7]/figure[1],p019r,https://drive.google.com/open?id=0B9-oNrvWdlO5WWY3VjdlVktqZVk,x-small,
fig_p019v_1,/root[1]/div[1]/ab[1]/figure[1],p019v,https://drive.google.com/open?id=0B9-oNrvWdlO5SUUzLXQ4UVlGR1U,small,maybe x-small
fig_p019v_2,/root[1]/div[1]/ab[1]/figure[2],p019v,https://drive.google.com/open?id=0B9-oNrvWdlO5cy0tdXF5MGJTLU0,small,maybe x-small
fig_p019v_3,/root[1]/div[1]/ab[1]/figure[3],p019v,https://drive.google.com/open?id=0B9-oNrvWdlO5R0VMdFQ3VC1lQmM,small,
fig_p019v_4,/root[1]/div[1]/ab[1]/figure[4],p019v,https://drive.google.com/open?id=0B9-oNrvWdlO5TGJOZGVvTmV1LW8,small,
fig_p022r_1,/root[1]/div[1]/figure[1],p022r,https://drive.google.com/open?id=0B9-oNrvWdlO5dWtBam9HWEpiaHc,large,
fig_p022v_1,/root[1]/figure[1],p022v,https://drive.google.com/open?id=0B9-oNrvWdlO5NkNrYkVZTlVnbDQ,x-small,
fig_p022v_2,/root[1]/div[1]/ab[1]/figure[1],p022v,https://drive.google.com/open?id=0B9-oNrvWdlO5RnQ2Ri1PenA1aDA,small,maybe x-small
fig_p023r_1,/root[1]/div[1]/figure[1],p023r,https://drive.google.com/open?id=0B9-oNrvWdlO5RzRNM284T3Q0eTQ,medium,
fig_p023v_1,/root[1]/div[1]/figure[1],p023v,https://drive.google.com/open?id=0B9-oNrvWdlO5Tm4ySC1wcUx6Yzg,medium,maybe large considering length
fig_p026r_1,/root[1]/div[1]/figure[1],p026r,https://drive.google.com/open?id=0B9-oNrvWdlO5SHVaaE9oQjRySlE,large,
fig_p026r_2,/root[1]/div[2]/figure[1],p026r,https://drive.google.com/open?id=0B9-oNrvWdlO5UGxoanZwVEw2akE,small,
fig_p026v_1,/root[1]/div[1]/figure[1],p026v,https://drive.google.com/open?id=0B9-oNrvWdlO5TmZXTkNLdDFjWms,large,
fig_p027r_1,/root[1]/div[1]/figure[1],p027r,https://drive.google.com/open?id=0B9-oNrvWdlO5S3loampQRU55UjQ,large,
fig_p027r_2,/root[1]/div[2]/figure[1],p027r,https://drive.google.com/open?id=0B9-oNrvWdlO5cE1VQlVlV2ZWakE,large,
fig_p027r_3,/root[1]/div[3]/figure[1],p027r,https://drive.google.com/open?id=0B9-oNrvWdlO5M2Ftb2g0bG1FQ3c,large,maybe medium
fig_p027v_1,/root[1]/div[1]/figure[1],p027v,https://drive.google.com/open?id=0B9-oNrvWdlO5bW1tdUg0czEzTjg,medium,
fig_p027v_2,/root[1]/div[2]/figure[1],p027v,https://drive.google.com/open?id=0B9-oNrvWdlO5OVloUjZocVpuVTg,medium,
fig_p027v_3,/root[1]/div[3]/figure[1],p027v,https://drive.google.com/open?id=0B9-oNrvWdlO5OGJ5MXhrMVFtVTA,medium,
fig_p027v_4,/root[1]/div[4]/figure[1],p027v,https://drive.google.com/open?id=0B9-oNrvWdlO5OWVRTXVjNTljRnM,medium,
fig_p027v_5,/root[1]/div[5]/figure[1],p027v,https://drive.google.com/open?id=0B9-oNrvWdlO5T2k5QjJ0ZGtfc1U,medium,maybe medium
fig_p027v_6,/root[1]/div[6]/figure[1],p027v,https://drive.google.com/open?id=0B9-oNrvWdlO5WmlyWDktZUhka1E,medium,maybe medium
fig_p027v_7,/root[1]/div[7]/figure[1],p027v,https://drive.google.com/open?id=0B9-oNrvWdlO5Z3BiOF9jTFlzdzA,medium,maybe medium
fig_p027v_8,/root[1]/div[8]/figure[1],p027v,https://drive.google.com/open?id=0B9-oNrvWdlO5MVh1MEdHdDZLWmc,medium,
fig_p028r_1,/root[1]/div[1]/figure[1],p028r,https://drive.google.com/open?id=0B9-oNrvWdlO5eUZXU293VGlmdVU,large,
fig_p029v_1,/root[1]/div[6]/ab[3]/figure[1],p029v,https://drive.google.com/open?id=0B9-oNrvWdlO5cXJfWVlSSGlKOGs,x-small,
fig_p033r_1,/root[1]/div[1]/figure[1],p033r,https://drive.google.com/open?id=0B9-oNrvWdlO5RWlDQlc4cU5HN3M,medium,
fig_p033r_2,/root[1]/div[2]/figure[1],p033r,https://drive.google.com/open?id=0B9-oNrvWdlO5SFNtME0xWURubzA,small,
fig_p033v_1,/root[1]/div[2]/figure[1],p033v,https://drive.google.com/open?id=0B9-oNrvWdlO5MXk2RzNQdF9aeDg,small,maybe medium
fig_p034v_1,/root[1]/div[1]/figure[1],p034v,https://drive.google.com/open?id=0B9-oNrvWdlO5VTA5cWtrWktEajQ,medium,maybe small
fig_p035r_1,/root[1]/div[2]/figure[1],p035r,https://drive.google.com/open?id=0B9-oNrvWdlO5SGstUTZ6TFRnUjg,medium,
