freq,verbatim_term,prefLabel_en
1,belly,belly
3,stomach,stomach
35,finger,finger
2,handful,handful
8,face,face
1,nipple,nipple
27,hand,hand
11,mouth,mouth
1,matrix,matrix
22,urine,urine
7,fingernail,fingernail
4,eyes,eye
3,nail,nail
9,foot,foot
3,eye,eye
6,ear,ear
1,elbow,elbow
2,ears,ear
1,nostril,nostril
1,tooth,tooth
2,handfuls,handful
5,forehead,forehead
8,thumb,thumb
1,wind,wind
1,winds,wind
42,fingers,finger
1,wounds,wound
2,feet,feet
1,knees,knee
1,fingers',finger
1,arm's,arm
6,nose,nose
1,thigh,thigh
17,hands,hand
1,palms,palm
3,saliva,saliva
4,head,head
2,blood,blood
1,arm,arm
2,fingertips,fingertip
1,liver,liver
1,breathes,breathe
3,breath,breath
1,ditto,ditto
2,teeth,teeth
1,neck,neck
1,temples,temple
1,back,back
2,fingertip,fingertip
1,legs,leg
1,cheeks,cheek
2,breathe,breathe
1,teats,teat
1,palm,palm
1,fistfuls,fistful
1,two,two
1,sweating,sweating
2,thumbs,thumb
1,hair,hair
2,flesh,flesh
1,burn,burn
1,burns,burn
1,veins,vein
1,headache,headache
1,earwax,earwax
1,throat,throat
1,underfoot,underfoot
1,tongue,tongue
1,fist,fist
1,armpit,armpit
1,phlegm,phlegm
1,knee,knee
1,digiti,digiti
1,manus,manu
1,naribus,naribus
1,ore,ore
4,little finger,finger
1,secret places,secret place
1,nail of your right thumb,nail
1,big finger,finger
1,winds of the belly,wind
1,distilled urine,urine
3,index finger,finger
1,middle finger,finger
1,right hand,hand
1,little &amp; ring fingers,little &amp; ring finger
1,sole of your feet,sole of your feet
1,hollow of the hands,hollow of the hand
1,sole of the feet,sole of the feet
1,bare hand,hand
1,ring finger,finger
1,joint of the little finger,joint of the little finger
1,back of your hand,back
1,ends of your fingernails,ends of your fingernail
1,old urine,urine
1,foam of urine,foam of urine
1,white thick which saliva that is found on the teeth,white thick which saliva that is found on the teeth
1,made by hand,made by hand
1,end of your finger,end of your finger
1,very light hand,hand
1,right d foot,foot
1,thumbs breadth,thumbs breadth
1,warm urine,urine
