freq,verbatim_term,prefLabel_en
1,colophony,colophony
1,cannon-perrier,cannon-perrier
1,bastarde,bastarde
1,bundle,bundle
1,panier,panier
1,basilics,basilic
1,line,line
1,fowlers,fowler
1,oleaginous,oleaginou
1,cocon,cocon
1,havets,havet
1,desramonet,desramonet
1,viscorter,viscorter
1,gaillardise,gaillardise
1,semperviva,semperviva
2,body,body
1,arson,arson
1,chameau,chameau
1,rings,ring
1,felin,felin
1,blades,blade
1,"estelles,","estelles,"
1,fustée,fustée
1,cord,cord
1,buttons,button
1,fresil,fresil
1,pontet,pontet
1,grateau,grateau
1,estamiere,estamiere
1,decrepitate,decrepitate
1,œillets,œillet
1,spat,spat
3,chaple,chaple
1,stuf,stuf
1,reheating,reheating
2,couleur,couleur
1,dandelion,dandelion
1,electrum,electrum
1,supraplus,supraplu
1,soft tin,soft tin
1,cuivre franc,cuivre franc
1,rock water,rock water
1,terre chimolée,terre chimolée
1,pan of montpellier,pan of montpellier
1,king’s inches,king’s inch
1,double cannon,double cannon
1,red from german,red from german
1,great metals,great metal
1,of the trellis,of the trelli
1,de armonic,de armonic
1,paris aulne,paris aulne
1,counter bone,counter bone
1,eye of the guard,eye of the guard
1,stick of the fustée,stick of the fustée
1,emery horn.,emery horn.
1,oil horn,oil horn
1,scabbard bench,scabbard bench
1,baton à felinder,baton à felinder
1,making them pass,making them pass
1,spangling work,spangling work
1,good feather alum,good feather alum
1,small eyes or holes,small eyes or hole
1,fatty earth,fatty earth
1,sal ammoniac water,sal ammoniac water
1,good tin,good tin
2,modeling wax,modeling wax
