freq,verbatim_term,prefLabel_en
138,water,water
2,cinnamon,cinnamon
10,sugar,sugar
25,minium,minium
14,verdet,verdet
10,luted,luted
43,marble,marble
5,crystal,crystal
5,sapphire,sapphire
6,pebbles,pebble
1,coryal,coryal
4,resin,resin
6,cement,cement
24,sulfur,sulfur
21,brick,brick
6,enamels,enamel
9,vermilion,vermilion
14,mastic,mastic
39,vinegar,vinegar
2,colophony,colophony
55,wood,wood
35,charcoal,charcoal
1,coral,coral
5,leaded,leaded
109,oil,oil
22,turpentine,turpentine
13,rosin,rosin
48,varnish,varnish
50,eau-de-vie,eau-de-vie
3,garlic,garlic
68,copper,copper
2,tinned,tinned
4,wheat,wheat
17,gum,gum
24,glue,glue
6,sandarac,sandarac
80,iron,iron
41,plaster,plaster
2,ebony,ebony
6,soap,soap
30,ashes,ash
2,galipot,galipot
4,jet,jet
15,sands,sand
2,onions,onion
8,smokes,smoke
4,pitch,pitch
3,lampblack,lampblack
17,linen,linen
22,verdigris,verdigri
17,salt,salt
14,steel,steel
6,putty,putty
6,arene,arene
95,tin,tin
11,tripoli,tripoli
10,rosette,rosette
14,straw,straw
51,paper,paper
3,candle,candle
12,wooden,wooden
19,ash,ash
16,quicksilver,quicksilver
5,ocher,ocher
102,gold,gold
28,ceruse,ceruse
1,bean,bean
1,prele,prele
14,tallow,tallow
6,saffron,saffron
3,brazilwood,brazilwood
16,azure,azure
6,bole,bole
1,pea,pea
6,sanguine,sanguine
1,mine,mine
1,horsetail,horsetail
113,lead,lead
13,gild,gild
8,felt,felt
22,aquafortis,aquaforti
14,cotton,cotton
2,satin,satin
2,tinsel,tinsel
15,massicot,massicot
4,velvet,velvet
27,lake,lake
2,sap-green,sap-green
1,isinglass,isinglass
1,salted,salted
2,glueing,glueing
74,metal,metal
17,metals,metal
2,touchstone,touchstone
1,walnuts,walnut
18,wine,wine
55,glass,glass
1,storax,storax
21,urine,urine
2,fumes,fume
1,mellis,melli
20,powder,powder
1,lard,lard
2,wadding,wadding
94,silver,silver
5,mercury,mercury
10,☿,☿
1,or,or
4,emerald,emerald
1,amethyst,amethyst
4,ruby,ruby
9,stones,stone
3,diamond,diamond
3,☾,☾
2,☼,☼
4,grais,grai
1,♀,♀
3,grain,grain
1,garnets,garnet
9,orpiment,orpiment
1,cambric,cambric
1,jasper,jasper
5,horn,horn
1,roses,rose
1,cornalines,cornaline
10,chalk,chalk
18,distemper,distemper
5,parchment,parchment
17,alum,alum
30,filth,filth
48,earth,earth
7,honey,honey
2,batture,batture
4,taffeta,taffetum
3,waters,water
2,azures,azure
10,enamel,enamel
106,sand,sand
23,stone,stone
2,nail,nail
14,leather,leather
1,chimolée,chimolée
7,cloth,cloth
2,white,white
6,alabaster,alabaster
11,oiled,oiled
5,stucco,stucco
1,pearl,pearl
6,arsenic,arsenic
1,enilanroc,enilanroc
1,agate,agate
13,charcoals,charcoal
3,vitriol,vitriol
6,silk,silk
13,flour,flour
3,horsehair,horsehair
2,pearls,pearl
1,toadstone,toadstone
5,bricks,brick
1,heather,heather
1,mud,mud
1,wisps,wisp
21,saltpeter,saltpeter
1,string,string
1,cord,cord
2,dyed,dyed
36,latten,latten
1,damascening,damascening
1,sandalwood,sandalwood
2,ivory,ivory
7,boxwood,boxwood
2,beryl,beryl
14,bronze,bronze
2,musk,musk
1,wallwort,wallwort
1,realgar,realgar
1,silks,silk
1,crimson,crimson
1,oranges,orange
6,bran,bran
19,smoke,smoke
6,ink,ink
1,cards,card
4,card,card
2,earthenware,earthenware
1,milk,milk
3,hay,hay
1,millet,millet
1,dough,dough
1,millas,milla
1,husks,husk
6,drugs,drug
1,puffball,puffball
1,juice,juice
1,onion,onion
1,verjuice,verjuice
1,centers,center
4,eggs,egg
3,plumb,plumb
1,buckram,buckram
16,canvas,canva
1,basan,basan
3,cork,cork
79,wax,wax
35,solder,solder
1,plates,plate
1,jelly,jelly
7,bread,bread
3,starch,starch
3,oils,oil
3,rubies,ruby
1,peas,pea
1,hazelnuts,hazelnut
1,tincture,tincture
5,lime,lime
1,shale,shale
3,rocaille,rocaille
1,cocon,cocon
2,straws,straw
5,dye,dye
1,tint,tint
5,copperas,coppera
3,litharge,litharge
1,wicker,wicker
5,saliva,saliva
3,blood,blood
1,air,air
2,amalgam,amalgam
4,egg,egg
6,quicklime,quicklime
1,embers,ember
1,arum,arum
1,foodstuff,foodstuff
5,calamine,calamine
2,saltwort,saltwort
1,preserves,preserf
2,seeds,seed
4,grease,grease
5,amber,amber
1,arène,arène
1,taffer,taffer
2,sapphires,sapphire
4,gemstones,gemstone
4,emery,emery
1,aquamarines,aquamarine
2,soot,soot
1,manganese,manganese
5,lye,lye
1,willow,willow
7,dung,dung
9,bones,bone
1,fir,fir
3,dyeing,dyeing
2,sorrel,sorrel
1,cochineal,cochineal
1,cloths,cloth
8,borax,borax
1,wool,wool
2,gilds,gild
2,enamelled,enamelled
1,gilt,gilt
3,thread,thread
1,vermeilles,vermeille
1,cendrée,cendrée
1,spirits,spirit
2,aspalte,aspalte
18,porphyry,porphyry
1,earths,earth
2,black,black
1,niello,niello
6,gilding,gilding
8,glair,glair
1,purpurina,purpurina
1,solfo,solfo
1,stagno,stagno
1,porfidio,porfidio
1,vetro,vetro
1,vernice,vernice
2,purple,purple
1,colla,colla
1,debris,debri
1,pansy,pansy
1,columbine,columbine
1,cornflower,cornflower
3,hairs,hair
4,hair,hair
2,rue,rue
1,theriac,theriac
1,dittany,dittany
1,cardboard,cardboard
1,grès,grè
1,residue,residue
1,broth,broth
1,beef,beef
20,lute,lute
4,potin,potin
1,food,food
2,cloves,clofe
1,,
2,skin,skin
1,regulus,regulu
11,antimony,antimony
6,sandiver,sandiver
1,fruit,fruit
9,carton,carton
1,pith,pith
1,spider,spider
1,rapeseed,rapeseed
1,almonds,almond
1,bitumen,bituman
5,tartar,tartar
2,cartons,carton
1,pastes,paste
1,sheet,sheet
1,barley,barley
1,rye,rye
1,fenugreek,fenugreek
11,earthen,earthen
1,yolks,yolk
2,yolk,yolk
1,germ,germ
1,tragacanth,tragacanth
2,soldering,soldering
6,sublimate,sublimate
1,sheep,sheep
8,bone,bone
1,incense,incense
1,ferret-silk,ferret-silk
1,floret,floret
1,balls,ball
1,porkfat,porkfat
2,fat,fat
1,sap,sap
1,vermicularis,vermiculari
1,horsedung,horsedung
1,earthworms,earthworm
1,ferlin,ferlin
3,pumice,pumouse
1,weld,weld
4,cristallin,cristallin
2,florey,florey
1,marbles,marble
1,aloe,aloe
4,glues,glue
1,crayons,crayon
2,asphaltum,asphaltum
2,quill,quill
2,crêpe,crêpe
1,taffetas,taffeta
5,bistre,bistre
1,incarnadine,incarnadine
11,butter,butter
2,mortar,mortar
1,dirt,dirt
1,flower,flower
2,ore,ore
2,umber,umber
1,cocon.,cocon.
3,gilded,gilded
1,sumac,sumac
3,magistra,magistra
1,muddying,muddying
36,clay,clay
1,tuf,tuf
3,paste,paste
1,maple,maple
1,elm,elm
1,gums,gum
1,camphor,camphor
7,slate,slate
2,grindings,grinding
1,sludge,sludge
1,nails,nail
1,nailheads,nailhead
3,tile,tile
1,persicaire,persicaire
2,oiling,oiling
6,salts,salt
1,shell,shell
1,leads,lead
1,marrow,marrow
1,blue,blue
1,maplewood,maplewood
1,brouillamini,brouillamini
1,bronzing,bronzing
1,arrabeic,arrabeic
1,arabic,arabic
2,vermillion,vermillion
1,solle,solle
2,rainwater,rainwater
1,woods,wood
1,madder,madder
1,fustet,fustet
1,goumiche,goumiche
2,rosemary,rosemary
1,benzoin,benzoin
1,trwood,trwood
1,ironware,ironware
1,eggshell,eggshell
1,ardides,ardide
1,saltwater,saltwater
1,grime,grime
1,scales,scale
3,metalline,metalline
1,k,k
3,rock,rock
3,dust,dust
1,ammoniac,ammoniac
2,mustard,mustard
1,soil,soil
1,oily,oily
1,rooftile,rooftile
1,verd,verd
1,shells,shell
1,flint,flint
3,rust,rust
2,waxed,waxed
1,"rowan,","rowan,"
1,thunderstone,thunderstone
3,flesh,flesh
2,waxes,wax
1,felin,felin
1,fresil,fresil
1,felinder,felinder
4,bloodstone,bloodstone
1,threads,thread
1,flin,flin
1,glued,glued
1,pearled,pearled
1,foil,foil
1,tinning,tinning
1,tow,tow
1,brine,brine
1,fruits,fruit
2,down,down
2,emeralds,emerald
2,firestone,firestone
2,topaz,topaz
1,jacinth,jacinth
1,unleaded,unleaded
1,anthos,antho
1,ointment,ointment
1,bile,bile
1,earwax,earwax
1,foam,foam
2,gravel,gravel
1,cornaline,cornaline
2,enameling,enameling
1,stavesacre,stavesacre
1,quills,quill
1,mealworms,mealworm
1,tiles,tile
1,lucerta,lucertum
2,spat,spat
1,animal,animal
1,woollen,woollen
1,impurity,impurity
2,impurities,impurity
1,spalt,spalt
1,magnet,magnet
1,piss,piss
2,minerals,mineral
1,mineral,mineral
1,salty,salty
1,chestnuts,chestnut
3,feather,feather
2,enameled,enameled
1,manure,manure
1,stuf,stuf
1,mushrooms,mushroom
1,marcasites,marcasite
3,smoked,smoked
1,tisane,tisane
1,aspalt,aspalt
1,billon,billon
4,couleur,couleur
24,crocum,crocum
1,ferro,ferro
3,soldered,soldered
1,ferri,ferri
1,aureas,aurea
3,luting,luting
1,zedoary,zedoary
6,filings,filing
1,metallic,metallic
1,otnegra,otnegra
1,quarton,quarton
1,almond,almond
1,syrup,syrup
1,molds,mold
1,bullitoyre,bullitoyre
1,plants,plant
1,cheese,cheese
2,lutes,lute
1,mold,mold
1,☀,☀
1,phlegm,phlegm
1,sol,sol
1,enamelling,enamelling
1,nastiness,nastiness
1,talcum,talcum
1,letter,letter
2,cinnabar,cinnabar
1,charcoaled,charcoaled
2,whitening,whitening
1,electrum,electrum
1,wire,wire
2,silvered,silvered
1,bullitoire,bullitoire
2,leady,leady
1,salpeter,salpeter
2,solders,solder
1,crust,crust
1,civet,civet
1,ambergris,ambergri
1,reals,real
1,slaver,slaver
1,☉,☉
1,pulverin,pulverin
1,perfume,perfume
1,paint,paint
1,opiate,opiate
1,ruta,rutum
1,aceto,aceto
1,acetum,acetum
2,pastel woad flowers,flower
1,marshmallow root,marshmallow root
1,chicken broth,broth
1,syrup of sweet jujubes,syrup
1,leaves of mallow &amp; gilliflower,leaves of mallow &amp; gilliflower
1,prunes of saint antonin,prunes of saint antonin
1,salt extracted from cabbage ash,salt
1,oil of jacob,oil
8,turpentine oil,oil
1,emeralds of brissac,emerald
1,blacksmith’s salt,blacksmith’s salt
13,walnut oil,oil
1,subtly ground vermilion,vermilion
1,pestled than of glass,pestled than of glass
1,very light tammy cloth,cloth
1,venice laque platte,venice laque platte
1,clear pitch resin,resin
1,counterfeit coral,coral
1,gules red enamel,gules red enamel
1,coarse canvas,canva
1,purified resin,resin
1,thorn branch,thorn branch
2,mastic varnish,varnish
3,venice turpentine,turpentine
1,pix graeca,pix graeca
9,linseed oil,oil
2,fine turpentine,turpentine
1,thick varnish,varnish
1,"turpentine it may be, whether fine or crude",turpentine
1,fine turpentine oil,oil
1,coarse common turpentine,turpentine
2,common turpentine,turpentine
11,cold water,water
4,distemper glue,glue
4,spike lavender,spike lavender
3,hide glue,glue
8,turpentine varnish,varnish
1,linseed varnish,varnish
2,pulverized mastic,mastic
1,pulverized sandarac,sandarac
18,spike lavender oil,oil
1,powdered sandarac gum,gum
1,lavender spike oil,oil
