freq,verbatim_term,prefLabel_en
6,grains,grain
1,|ʒ|,|ʒ|
20,hours,hour
22,℥,℥
41,lb,lb
7,hour,hour
21,ounce,ounce
2,bucket,bucket
1,lbs,lb
17,ounces,ounce
25,half,half
1,pace,pace
32,days,day
3,dozen,dozen
2,dose,dose
1,ʒ,ʒ
2,cane,cane
1,livres,livre
1,canne,canne
4,foot,foot
3,month,month
11,pans,pan
1,shovels,shovel
4,pan,pan
2,handfuls,handful
12,quintals,quintal
1,biggest,biggest
2,months,month
1,caliber,caliber
2,balls,ball
1,ball,ball
1,ladle,ladle
10,quintal,quintal
1,league,league
9,part,part
6,paces,pace
1,escutcheon,escutcheon
4,lines,line
3,pounds,pound
2,ladles,ladle
1,bundle,bundle
1,paniers,panier
1,panier,panier
1,tablets,tablet
1,plates,plate
7,finger,finger
4,line,line
19,fingers,finger
6,parts,part
2,empan,empan
1,canes,cane
3,feet,feet
1,kegs,keg
15,day,day
1,fingers',finger
1,arm's,arm
2,drops,drop
6,night,night
1,year,year
1,aulne,aulne
1,locks,lock
1,dour,dour
5,quarter,quarter
1,fifth,fifth
2,years,year
1,coats,coat
1,hora,hora
6,drop,drop
2,deniers,denier
2,inches,inch
3,sous,sou
2,spoonful,spoonful
1,carat,carat
1,week,week
1,quarters,quarter
1,weeks,week
1,once,once
1,leagues,league
1,pecks,peck
1,pint,pint
1,liards',liard
2,half-septier,half-septier
2,pound,pound
1,deniers'-worth,deniers-worth
1,half-septiers,half-septier
5,quart,quart
3,drams,dram
1,chopin,chopin
2,ana,ana
1,proportion,proportion
1,carolus,carolu
1,dozens,dozen
2,quarteron,quarteron
1,one-third,one-third
1,length,length
1,pauses,pause
1,gros,gro
2,grain,grain
1,pots,pot
1,lb.,lb.
1,spoonfuls,spoonful
1,infusions,infusion
1,infusion,infusion
1,paternoster,paternoster
2,crucibles,crucible
1,pot,pot
1,thumb,thumb
1,thumbs,thumb
1,gold,gold
1,hourglass,hourglass
2,denier,denier
1,morning,morning
1,pea,pea
1,reals,real
4,quarter part,part
1,a quarter of an hour,quarter
1,double handful,double handful
1,paternoster beads,paternoster bead
2,half a day,day
1,a good quarter of an hour,quarter
1,the size of a walnut,the size of a walnut
1,middle of the sheet,middle of the sheet
1,at the end of a table,at the end of a table
2,little finger,finger
4,half a lb,lb
5,half an ounce,ounce
1,half a walnut shell,half a walnut shell
1,size of a carnation pot,size of a carnation pot
1,for one night,for one night
1,six times as much,six times as much
1,a sixth part,part
1,eighth part,part
1,lb t.,lb t.
1,livres per canne,livre
1,pan &amp; a half,pan
1,one &amp; a half quintal,one &amp; a half quintal
1,needle’s worth,needle’s worth
1,thickness of two balls,thickness of two ball
1,thickness of one ball &amp; two thirds,thickness of one ball &amp; two third
3,up to the escutcheon,up to the escutcheon
1,"at the breech, 3 balls, &amp; 2 in front","at the breech, 3 balls, &amp; 2 in front"
1,at the breech it has three balls &amp; two in the front,at the breech it has three balls &amp; two in the front
1,diameter of a ball &amp; a half,diameter of a ball &amp; a half
