freq,verbatim_term,prefLabel_en
1,synesius,synesiu
1,savonne,savonne
3,king,king
1,dio,dio
1,budaeus,budaeu
1,magius,magiu
1,appianus,appianu
2,herodotus,herodotu
1,macrobius,macrobiu
1,volaterranus,volaterranu
1,spartianus,spartianu
1,sabellicus,sabellicu
1,athenaeus,athenaeu
1,pollux,pollux
1,festus,festu
1,hyginus,hyginu
1,blondus,blondu
1,nonius,noniu
1,servius,serviu
1,seneca,seneca
1,archimedes,archimede
1,ptolemy,ptolemy
2,poncet,poncet
1,mattioli,mattioli
1,charlemagne,charlemagne
1,god,god
1,jesus,jesu
1,satan,satan
1,gesnerus,gesneru
1,homer,homer
1,david,david
1,serapis,serapi
1,orpheus,orpheu
1,pythagorean,pythagorean
1,plato,plato
1,homerus,homeru
1,orphei,orphei
1,josephus,josephu
1,cicero,cicero
1,cereris,cereri
1,livy,livy
1,achillis,achilli
1,chirone,chirone
1,virgil,virgil
1,numa,numa
1,pelidae,pelidae
1,ceres,cere
1,pythagoras,pythagora
1,n,n
1,polybius,polybiu
1,apollo,apollo
1,cebes,cebe
1,othonis,othoni
1,marbodius,marbodiu
1,telesius,telesiu
1,master jehan cousin,master jehan cousin
1,master jehan garnier,master jehan garnier
1,master nicolas costé,master nicolas costé
1,olaus magnus,olaus magnu
1,queen mother,queen mother
1,master bernard palissy,master bernard palissy
1,quintus curtius,quintus curtiu
1,dionisius halicarnassensis,dionisius halicarnassensi
1,polydorus vergilius,polydorus vergiliu
1,flavius vopiscus,flavius vopiscu
1,julius firmicus,julius firmicu
1,julius capitollinus,julius capitollinu
1,alexander aphrodisaeus,alexander aphrodisaeu
1,cornelius nepos,cornelius nepo
1,paulus manutius,paulus manutiu
1,vincenzo sabio,vincenzo sabio
1,st. andrew,st. andrew
1,du cros,du cro
1,françois du cros,françois du cro
1,saint paul,saint paul
1,saint anthony,saint anthony
1,monsieur de montorsin,monsieur de montorsin
1,st john,st john
2,saint john,saint john
1,"hieronymus vida albensis episcopus, de b cremonensis","hieronymus vida albensis episcopus, de b cremonensi"
1,paul the third,paul the third
1,the one who taught me to mold them,the one who taught me to mold them
1,master alexandre,master alexandre
1,tyrant of syracuse,tyrant of syracuse
1,st andrews,st andrew
1,aulus gellius,aulus gelliu
1,st athanasius,st athanasiu
1,justino martire,justino martire
1,valerius maximus,valerius maximu
1,sieur ouvryer,sieur ouvryer
1,hieronymus | mercurialis,hieronymus | mercuriali
1,abbatis | urspergensis,abbatis | urspergensi
1,georgio bucanano,georgio bucanano
1,rembertus dodonaeus,rembertus dodonaeu
1,de l’orme,de l’orme
1,albertus magnus,albertus magnu
