freq,verbatim_term,prefLabel_en
5,lyon,lyon
1,italie,italie
1,romae,romae
1,normandie,normandie
1,alexandria,alexandrium
1,brescia,brescium
1,brissac,brissac
11,venice,venice
1,armeni,armeni
12,france,france
1,gascony,gascony
14,germany,germany
2,albi,albi
2,armenian,armenian
1,montauban,montauban
3,montpellier,montpellier
6,toulouse,toulouse
3,lorraine,lorraine
1,rodez,rodez
1,mende,mende
7,england,england
1,rome,rome
1,nuremberg,nuremberg
9,flanders,flander
1,milan,milan
8,flemish,flemish
4,german,german
1,rouen,rouen
1,englishman,englishman
1,bretagne,bretagne
3,english,english
1,brittany,brittany
1,monserrat,monserrat
2,cardona,cardona
1,carmail,carmail
1,lauragais,lauragai
1,auragne,auragne
1,catalonia,catalonium
7,spain,spain
1,malta,maltum
1,indian,indian
3,paris,pari
1,normandy,normandy
1,coustance,coustance
1,bayonne,bayonne
1,biscaye,biscaye
3,foix,foix
1,levantines,levantine
8,germans,german
1,biscay,biscay
1,algiers,algier
1,champaigne,champaigne
1,languedoc,languedoc
1,cremonensis,cremonensi
1,albensis,albensi
2,ghent,ghent
4,florence,florence
4,italians,italian
1,cambray,cambray
2,acre,acre
1,turkey,turkey
2,champagne,champagne
1,bolvenes,bolvene
1,irish,irish
1,ireland,ireland
1,carcassonne,carcassonne
1,partenay,partenay
1,orientals,oriental
5,thoulouse,thoulouse
1,fosseret,fosseret
1,ox,ox
1,touch,touch
1,blagnac,blagnac
1,aurignac,aurignac
1,cominge,cominge
1,venise,venise
1,italy,italy
1,lombardy,lombardy
1,dauphiné,dauphiné
1,vienne,vienne
1,spanish,spanish
1,dutch,dutch
1,augsburg,augsburg
1,rouan,rouan
2,capital,capital
1,hungary,hungary
1,damascus,damascu
1,turks,turk
3,garrigue,garrigue
1,rhine,rhine
1,syracuse,syracuse
1,argos,argo
1,phoenicians,phoenician
1,egypt,egypt
2,portuguese,portuguese
1,assyria,assyrium
1,levant,levant
1,sicilians,sicilian
1,greek,greek
1,greeks,greek
1,egyptians,egyptian
1,hebrews,hebrew
1,tyana,tyana
1,latins,latin
1,eleusis,eleusi
1,burgundy,burgundy
1,istre,istre
1,saint-frajou,saint-frajou
1,mechliniensis,mechliniensi
1,rue des escrivains,rue des escrivain
1,st jacques de la boucherie,st jacques de la boucherie
1,"rue de la heaumerie, at the sign of st claude","rue de la heaumerie, at the sign of st claude"
1,faubourg saint-germain,faubourg saint-germain
1,urb. rom.,urb. rom.
1,saint antonin,saint antonin
1,la rochelle,la rochelle
2,bonnes villes,bonnes ville
1,saint denis,saint deni
3,puy david,puy david
1,sainct michel,sainct michel
1,parys near the sainct chappelle,parys near the sainct chappelle
1,red sea,red sea
1,coast of greece,coast of greece
1,le mans,le man
