freq,verbatim_term,prefLabel_en
38,marble,marble
30,pestled,pestled
15,file,file
18,stick,stick
5,brazier,brazier
22,pot,pot
21,finger,finger
1,trivet,trivet
16,oven,oven
18,vessel,vessel
4,plate,plate
11,sponge,sponge
7,sieved,sieved
2,bucket,bucket
10,brush,brush
5,feather,feather
3,putty,putty
130,mold,mold
1,arene,arene
30,crucible,crucible
1,molded,molded
5,tripoli,tripoli
1,sheet,sheet
2,mirror,mirror
1,window,window
18,candle,candle
9,table,table
6,tooth,tooth
8,cloth,cloth
1,horsetail,horsetail
41,paintbrush,paintbrush
1,prele,prele
1,cannules,cannule
1,cannule,cannule
15,furnace,furnace
6,grate,grate
3,chafing-dish,chafing-dish
2,lamp,lamp
6,chisel,chisel
11,burin,burin
14,hammer,hammer
3,mouth,mouth
19,mortar,mortar
2,grais,grai
2,matrass,matrass
2,iron,iron
9,thread,thread
1,sieves,siefe
1,trowel,trowel
7,fingernail,fingernail
3,alembic,alembic
1,awl,awl
1,touchstone,touchstone
2,ashes,ash
2,knives,knife
1,sand,sand
9,points,point
5,wheel,wheel
2,leather,leather
3,brushes,brush
1,loom,loom
3,candles,candle
2,boards,board
1,bat,bat
1,ditch-spade,ditch-spade
1,beaters,beater
1,mallet,mallet
37,frame,frame
1,silverpoint,silverpoint
15,bellows,bellow
4,blast-pipe,blast-pipe
1,charcoals,charcoal
1,forges,forge
4,charcoal,charcoal
79,molds,mold
2,ladles,ladle
3,ladle,ladle
1,cauldrons,cauldron
7,compass,compass
6,ruler,ruler
6,quill,quill
1,syringe,syringe
4,sleeve,sleeve
2,hearth,hearth
1,lids,lid
1,embers,ember
5,glass,glass
1,quadrant,quadrant
1,mirrors,mirror
1,torches,torch
1,flasks,flasks
5,screw,screw
1,trepan,trepan
5,nail,nail
6,pestling,pestling
2,forks,fork
6,string,string
3,cord,cord
2,gimlet,gimlet
1,auger,auger
5,pegs,peg
1,bar,bar
3,wimble,wimble
1,bags,bag
1,bungs,bung
1,frails,frail
1,frail,frail
1,rammer,rammer
1,shovels,shovel
2,wedges,wedge
1,blades,blade
4,borer,borer
22,pestle,pestle
1,desgrusouer,desgrusouer
3,rope,rope
1,crossbar,crossbar
1,esgrusouer,esgrusouer
23,knife,knife
9,hand,hand
2,plane,plane
1,hammers,hammer
1,desgrusoue,desgrusoue
1,hammered,hammered
1,anvils,anvil
2,filter,filter
1,shale,shale
1,handle,handle
2,nailed,nailed
2,toothpick,toothpick
1,token,token
1,funnel,funnel
1,bedpost,bedpost
1,candlestick,candlestick
1,log,log
2,box,box
1,jewel,jewel
2,boxes,box
2,hat,hat
1,bushel,bushel
4,napkin,napkin
1,bell,bell
2,bag,bag
1,pouch,pouch
1,ball,ball
1,thimble,thimble
1,sheath,sheath
8,pincers,pincer
3,stone,stone
1,stake,stake
1,cane,cane
