freq,verbatim_term,prefLabel_en
1,fireworks,firework
4,grenades,grenade
12,arquebus,arquebus
2,pistol,pistol
3,artillery,artillery
1,cannon-perriers,cannon-perrier
12,cannon,cannon
2,canno,canno
3,falconet,falconet
4,piece,piece
1,field,field
2,pieces,piece
7,cannons,cannon
1,bastardes,bastarde
1,cannon-perrier,cannon-perrier
2,passe-volant,passe-volant
1,culverins,culverin
2,culverin,culverin
1,bastarde,bastarde
2,orgues,orgue
1,gun,gun
3,petards,petard
2,petard,petard
1,grenade,grenade
1,torches,torch
1,cannonball,cannonball
1,musket,musket
1,hackbut,hackbut
1,schioppo,schioppo
1,scimitars,scimitar
1,scimitar,scimitar
1,field piece,piece
1,large cannon,cannon
1,medium pieces,piece
1,pleasure pieces,piece
1,bastard culverin,culverin
1,bastarde piece,piece
1,double musket,musket
1,small pieces,piece
2,arquebus à croc,arquebus à croc
1,field pieces,piece
1,arquebus powder,arquebus powder
1,large culverin,culverin
1,simple musket,musket
1,large culverins,culverin
1,old pieces,piece
1,smaller pieces,piece
1,large pieces,piece
1,large ordinary cannon,cannon
1,double cannon,cannon
1,chambered arquebus,arquebus
1,fowling piece,piece
1,arquebus with hail shot,arquebus
